$|d ˈo l a
nitakusaidia|n ˌi t a k ˌu s a i d ˈi a
nitakushika|n ˌi t a k u ʃ ˈi k a
nitakushukuru|n ˌi t a k ˌu ʃ u k ˈu r u
nitakusukuma|n ˌi t a k ˌu s u k ˈu m a
nitakutafuta|n ˌi t a k ˌu t a f ˈu t a
nitakutelemkia|n ˌi t a k ˌu t e l e m k ˈi a
nitakutendea|n ˌi t a k ˌu t e n d ˈe a
nitakutia|n ˌi t a k u t ˈi a
nitakutoa|n ˌi t a k u t ˈo a
nitakutukuza|n ˌi t a k ˌu t u k ˈu z a
nitakuwa|n ˌi t a k ˈu w a
nitakuweka|n ˌi t a k u w ˈe k a
nitakuwepo|n ˌi t a k u w ˈe p o
nitakuzidisha|n ˌi t a k ˌu z i d ˈi ʃ a
nitakuzidishia|n ˌi t a k ˌu z i d i ʃ ˈi a
nitakwenda|n ˌi t a k w ˈe n d a
nitalegeza|n ˌi t a l e ɡ ˈe z a
nitalifanya|n ˌi t a l i f ˈa ɲ a
nitaliharibu|n ˌi t a l ˌi h a r ˈi b u
nitaliimbia|n ˌi t a l ˌi i m b ˈi a
nitalikumbuka|n ˌi t a l ˌi k u m b ˈu k a
nitalilinda|n ˌi t a l i l ˈi n d a
nitalilindahasira|n ˌi t a l ˌi l i n d ˌa h a s ˈi r a
nitalithibitisha|n ˌi t a l ˌi θ i b i t ˈi ʃ a
nitalitia|n ˌi t a l i t ˈi a
nitamani|n ˌi t a m ˈa n i
nitambariki|n ˌi t a m b a r ˈi k i
nitamfanya|n ˌi t a m f ˈa ɲ a
nitamfanyia|n ˌi t a m f a ɲ ˈi a
nitamfungua|n ˌi t a m f u ŋ ɡ ˈu a
nitamfutilia|n ˌi t a m f ˌu t i l ˈi a
nitamgawia|n ˌi t a m ɡ a w ˈi a
nitamhurumia|n ˌi t a m h ˌu r u m ˈi a
nitamimina|n ˌi t a m i m ˈi n a
nitamjengea|n ˌi t a m ɟ e ŋ ɡ ˈe a
nitamkabidhi|n ˌi t a m  k a b ˈi ð i
nitamkanyaga|n ˌi t a m  k a ɲ ˈa ɡ a
nitamkaza|n ˌi t a m  k ˈa z a
nitamkusanyia|n ˌi t a m  k ˌu s a ɲ ˈi a
nitamlaani|n ˌi t a m l a ˈa n i
nitamlipa|n ˌi t a m l ˈi p a
nitamngojea|n ˌi t a m ŋ ɡ o ɟ ˈe a
nitampa|n i t ˈa m p a
nitampatia|n ˌi t a m p a t ˈi a
nitampiga|n ˌi t a m p ˈi ɡ a
nitamponya|n ˌi t a m p ˈo ɲ a
nitamrehemu|n ˌi t a m  r e h ˈe m u
nitamrudi|n ˌi t a m  r ˈu d i
nitamrudishia|n ˌi t a m  r ˌu d i ʃ ˈi a
nitamruhusu|n ˌi t a m  r u h ˈu s u
nitamsubiri|n ˌi t a m s u b ˈi r i
nitamtafuta|n ˌi t a m t a f ˈu t a
nitamtazamia|n ˌi t a m t ˌa z a m ˈi a
nitamtenda|n ˌi t a m t ˈe n d a
nitamtia|n ˌi t a m t ˈi a
nitamuoa|n ˌi t a m u ˈo a
nitamuongelea|n ˌi t a m ˌu o ŋ ɡ e l ˈe a
nitamuuliza|n ˌi t a m ˌu u l ˈi z a
nitamvika|n ˌi t a m v ˈi k a
nitamvunja|n ˌi t a m v ˈu ɲ ɟ a
nitamwaga|n ˌi t a m w ˈa ɡ a
nitamwangusha|n ˌi t a m w a ŋ ɡ ˈu ʃ a
nitamwelekezea|n ˌi t a m w ˌe l e k e z ˈe a
nitamwita|n ˌi t a m w ˈi t a
nitamwomba|n ˌi t a m w ˈo m b a
nitamwongeza|n ˌi t a m w o ŋ ɡ ˈe z a
nitamwongoza|n ˌi t a m w o ŋ ɡ ˈo z a
nitamwoza|n ˌi t a m w ˈo z a
nitamwudhi|n ˌi t a m w ˈu ð i
nitamzidisha|n ˌi t a m z i d ˈi ʃ a
nitang'oa|n ˌi t a ŋ ˈo a
nitangazaye|n ˌi t a ŋ ɡ a z ˈa j e
nitaokoka|n ˌi t a o k ˈo k a
nitaondoa|n ˌi t a o n d ˈo a
nitaondoka|n ˌi t a o n d ˈo k a
nitaosha|n ˌi t a ˈo ʃ a
nitapaa|n ˌi t a p ˈa a
nitapaacha|n ˌi t a p a ˈa tʃ a
nitapainua|n ˌi t a p ˌa i n ˈu a
nitapanda|n ˌi t a p ˈa n d a
nitapata|n ˌi t a p ˈa t a
nitapatana|n ˌi t a p a t ˈa n a
nitapatukuza|n ˌi t a p ˌa t u k ˈu z a
nitapiga|n ˌi t a p ˈi ɡ a
nitapika|n ˌi t a p ˈi k a
nitapitia|n ˌi t a p i t ˈi a
nitarejeza|n ˌi t a r e ɟ ˈe z a
nitarekebisha|n ˌi t a r ˌe k e b ˈi ʃ a
nitarudi|n ˌi t a r ˈu d i
nitasafiri|n ˌi t a s a f ˈi r i
nitasema|n ˌi t a s ˈe m a
nitashinda|n ˌi t a ʃ ˈi n d a
nitashuka|n ˌi t a ʃ ˈu k a
nitasikia|n ˌi t a s i k ˈi a
nitasimama|n ˌi t a s i m ˈa m a
nitasitirika|n ˌi t a s ˌi t i r ˈi k a
nitataka|n ˌi t a t ˈa k a
nitatangaza|n ˌi t a t a ŋ ɡ ˈa z a
nitateka|n ˌi t a t ˈe k a
nitatekeleza|n ˌi t a t ˌe k e l ˈe z a
nitatembea|n ˌi t a t e m b ˈe a
nitatenda|n ˌi t a t ˈe n d a
nitatengeneza|n ˌi t a t ˌe ŋ ɡ e n ˈe z a
nitateta|n ˌi t a t ˈe t a
nitatia|n ˌi t a t ˈi a
nitatoa|n ˌi t a t ˈo a
nitatoka|n ˌi t a t ˈo k a
nitatukuzwa|n ˌi t a t u k ˈu z w a
nitatulia|n ˌi t a t u l ˈi a
nitatuma|n ˌi t a t ˈu m a
nitatumaini|n ˌi t a t ˌu m a ˈi n i
nitatwaa|n ˌi t a t w ˈa a
nitauambia|n ˌi t a ˌu a m b ˈi a
nitauangalia|n ˌi t a ˌu a ŋ ɡ a l ˈi a
nitauawa|n ˌi t a u ˈa w a
nitaufanya|n ˌi t a u f ˈa ɲ a
nitaufurahia|n ˌi t a ˌu f u r a h ˈi a
nitaugua|n ˌi t a u ɡ ˈu a
nitaulinda|n ˌi t a u l ˈi n d a
nitautaja|n ˌi t a u t ˈa ɟ a
nitauweka|n ˌi t a u w ˈe k a
nitauza|n ˌi t a ˈu z a
nitauzidisha|n ˌi t a ˌu z i d ˈi ʃ a
nitavikausha|n ˌi t a v ˌi k a ˈu ʃ a
nitavunja|n ˌi t a v ˈu ɲ ɟ a
nitawaambieni|n ˌi t a w ˌa a m b i ˈe n i
nitawaamsha|n ˌi t a w a ˈa m ʃ a
nitawaandikia|n ˌi t a w ˌa a n d i k ˈi a
nitawabariki|n ˌi t a w ˌa b a r ˈi k i
nitawachukueni|n ˌi t a w ˌa tʃ u k u ˈe n i
nitawaelimisha|n ˌi t a w ˌa e l i m ˈi ʃ a
nitawaghadhibisha|n ˌi t a w ˌa ɣ a ð i b ˈi ʃ a
nitawaharibu|n ˌi t a w ˌa h a r ˈi b u
nitawaheshimu|n ˌi t a w ˌa h e ʃ ˈi m u
nitawahukumu|n ˌi t a w ˌa h u k ˈu m u
nitawainulia|n ˌi t a w ˌa i n u l ˈi a
nitawaita|n ˌi t a w a ˈi t a
nitawaleta|n ˌi t a w a l ˈe t a
nitawaletea|n ˌi t a w ˌa l e t ˈe a
nitawalipa|n ˌi t a w a l ˈi p a
nitawalisha|n ˌi t a w a l ˈi ʃ a
nitawamwagia|n ˌi t a w ˌa m w a ɡ ˈi a
nitawanyeshea|n ˌi t a w ˌa ɲ e ʃ ˈe a
nitawaombea|n ˌi t a w ˌa o m b ˈe a
nitawaonea|n ˌi t a w ˌa o n ˈe a
nitawaongoza|n ˌi t a w ˌa o ŋ ɡ ˈo z a
nitawaonya|n ˌi t a w a ˈo ɲ a
nitawaonyesha|n ˌi t a w ˌa o ɲ ˈe ʃ a
nitawapa|n ˌi t a w ˈa p a
nitawapata|n ˌi t a w a p ˈa t a
nitawapimia|n ˌi t a w ˌa p i m ˈi a
nitawarudishia|n ˌi t a w ˌa r u d i ʃ ˈi a
nitawashusha|n ˌi t a w a ʃ ˈu ʃ a
nitawashutumu|n ˌi t a w ˌa ʃ u t ˈu m u
nitawasikia|n ˌi t a w ˌa s i k ˈi a
nitawatia|n ˌi t a w a t ˈi a
nitawatoa|n ˌi t a w a t ˈo a
nitawatolea|n ˌi t a w ˌa t o l ˈe a
nitawatuma|n ˌi t a w a t ˈu m a
nitawatwaa|n ˌi t a w a t w ˈa a
nitawauliza|n ˌi t a w ˌa u l ˈi z a
nitayaadhibu|n ˌi t a j ˌa a ð ˈi b u
nitayaamuru|n ˌi t a j ˌa a m ˈu r u
nitayaangusha|n ˌi t a j ˌa a ŋ ɡ ˈu ʃ a
nitayabatilisha|n ˌi t a j ˌa b a t i l ˈi ʃ a
nitayahimiza|n ˌi t a j ˌa h i m ˈi z a
nitayatenda|n ˌi t a j a t ˈe n d a
nitayatimiza|n ˌi t a j ˌa t i m ˈi z a
nitazaa|n ˌi t a z ˈa a
nitazamapo|n ˌi t a z a m ˈa p o
nitazameni|n ˌi t a z a m ˈe n i
nitazidi|n ˌi t a z ˈi d i
nitazinyosha|n ˌi t a z i ɲ ˈo ʃ a
nitaziongeza|n ˌi t a z ˌi o ŋ ɡ ˈe z a
nitazishusha|n ˌi t a z i ʃ ˈu ʃ a
nitazitetemesha|n ˌi t a z ˌi t e t e m ˈe ʃ a
nitazitupa|n ˌi t a z i t ˈu p a
nitazivunja|n ˌi t a z i v ˈu ɲ ɟ a
nitazungumza|n ˌi t a z u ŋ ɡ ˈu m z a
nithi|n ˈi θ i
nitiwe|n i t ˈi w e
nitoke|n i t ˈo k e
nittio|n i t t ˈi o
nittioen|n ˌi t t i ˈo e n
nittioett|n ˌi t t i ˈo e t t
nittiofem|n ˌi t t i ˈo f e m
nittiofemtusen|n ˌi t t i ˌo f e m t ˈu s e n
nittiofyra|n ˌi t t i ˈo f j r a
nittiofyratusen|n ˌi t t i ˌo f j r a t ˈu s e n
nittionio|n ˌi t t i o n ˈi o
nittioniotusen|n ˌi t t i ˌo n i o t ˈu s e n
nittiosex|n ˌi t t i ˈo s e k s
nittiosextusen|n ˌi t t i ˌo s e k s t ˈu s e n
nittiosju|n ˌi t t i ˈo s ɟ u
nittiosjutusen|n ˌi t t i ˌo s ɟ u t ˈu s e n
nittiotalet|n ˌi t t i o t ˈa l e t
nittiotre|n ˌi t t i ˈo t  r e
nittiotusen|n ˌi t t i o t ˈu s e n
nittiotvå|n ˌi t t i ˈo t v a
nittioåtta|n ˌi t t i o ˈa t t a
nittioåttatusen|n ˌi t t i ˌo a t t a t ˈu s e n
nittohundra|n ˌi t t o h ˈu n d  r a
nitton|n ˈi t t o n
nittonde|n i t t ˈo n d e
nittonhundra|n ˌi t t o n h ˈu n d  r a
nittontusen|n ˌi t t o n t ˈu s e n
nitume|n i t ˈu m e
nitumie|n ˌi t u m ˈi e
nitumike|n ˌi t u m ˈi k e
nitwae|n i t w ˈa e
niuambiaye|n ˌi u ˌa m b i ˈa j e
niufananishe|n ˌi u f ˌa n a n ˈi ʃ e
niukimbilie|n ˌi u k ˌi m b i l ˈi e
niulize|n ˌi u l ˈi z e
niuokoe|n ˌi u o k ˈo e
niupalilie|n ˌi u p ˌa l i l ˈi e
niupendao|n ˌi u p e n d ˈa o
niurithi|n ˌi u r ˈi θ i
niutilie|n ˌi u t i l ˈi e
niviambiaye|n ˌi v i ˌa m b i ˈa j e
niviumbavyo|n ˌi v i u m b ˈa v j o
nivue|n i v ˈu e
nivå|n ˈi v a
nivåer|n i v ˈa e r
nivån|n ˈi v a n
niwaeleze|n ˌi w a e l ˈe z e
niwafananishe|n ˌi w a f ˌa n a n ˈi ʃ e
niwafarijiye|n ˌi w a f ˌa r i ɟ ˈi j e
niwahubiri|n ˌi w a h u b ˈi r i
niwahutubie|n ˌi w a h ˌu t u b ˈi e
niwanunulie|n ˌi w a n ˌu n u l ˈi e
niwapo|n i w ˈa p o
niwarithishe|n ˌi w a r i θ ˈi ʃ e
niwarudishaye|n ˌi w a r ˌu d i ʃ ˈa j e
niwashukuru|n ˌi w a ʃ u k ˈu r u
niwatajavyo|n ˌi w a t a ɟ ˈa v j o
niwatakie|n ˌi w a t a k ˈi e
niwatawale|n ˌi w a t a w ˈa l e
niwaweke|n ˌi w a w ˈe k e
niwe|n ˈi w e
niwezeje|n ˌi w e z ˈe ɟ e
niwezi|n i w ˈe z i
niwie|n i w ˈi e
niyafutaye|n ˌi j a f u t ˈa j e
niyaone|n ˌi j a ˈo n e
niyatendaye|n ˌi j a t e n d ˈa j e
niyonzima|n ˌi j o n z ˈi m a
nizalishaye|n ˌi z a l i ʃ ˈa j e
niziitapo|n ˌi z i i t ˈa p o
nizipande|n ˌi z i p ˈa n d e
nizitandaye|n ˌi z i t a n d ˈa j e
nizitanguaye|n ˌi z i t ˌa ŋ ɡ u ˈa j e
nja|ɲ ɟ ˈa
njaa|ɲ ɟ ˈa a
njaalakini|ɲ ɟ ˌa a l a k ˈi n i
njaayeye|ɲ ɟ ˌa a j ˈe j e
njakafjäll|ɲ ɟ a k ˈa f ɟ a l l
njama|ɲ ɟ ˈa m a
njano|ɲ ɟ ˈa n o
njaro|ɲ ɟ ˈa r o
nje|ɲ ɟ ˈe
njebadilisha|ɲ ɟ ˌe b a d i l ˈi ʃ a
njegere|ɲ ɟ e ɡ ˈe r e
njema|ɲ ɟ ˈe m a
njemaafumbaye|ɲ ɟ ˌe m a ˌa f u m b ˈa j e
njia|ɲ ɟ ˈi a
njiakufahamu|ɲ ɟ ˌi a k ˌu f a h ˈa m u
njiani|ɲ ɟ i ˈa n i
njiti|ɲ ɟ ˈi t i
njiwa|ɲ ɟ ˈi w a
njombe|ɲ ɟ ˈo m b e
njoni|ɲ ɟ ˈo n i
njoo|ɲ ɟ ˈo o
njozi|ɲ ɟ ˈo z i
njuga|ɲ ɟ ˈu ɡ a
njugu|ɲ ɟ ˈu ɡ u
njöt|ɲ ɟ ˈo t
nkai|ŋ̩ k ˈa i
nkinda|ŋ̩  k ˈi n d a
nkokoro|ˌŋ̩  k o k ˈo r o
nkokua|ˌŋ̩  k o k ˈu a
nkondo|ŋ̩  k ˈo n d o
nkrofu|ŋ̩  k  r ˈo f u
nkroful|ŋ̩  k  r ˈo f u l
nkrumah|ŋ̩  k  r ˈu m a h
nkungwe|ŋ̩  k ˈu ŋ ɡ w e
nkurumah|ˌŋ̩  k u r ˈu m a h
nkya|ˈŋ̩ k j a
nnalubaale|n n ˌa l u b a ˈa l e
nnamdi|n n ˈa m d i
nne|ˈn̩ n e
nnechristiano|n n ˌe tʃ  r i s t i ˈa n o
nobel|n ˈo b e l
nobu|n ˈo b u
nodi|n ˈo d i
nofu|n ˈo f u
nog|n ˈo ɡ
noga|n ˈo ɡ a
nokia|n o k ˈi a
noll|n ˈo l l
nollett|n ˈo l l e t t
nollfem|n ˈo l l f e m
nollfyra|n ˈo l l f j r a
nollnio|n o l l n ˈi o
nollsex|n ˈo l l s e k s
nollsju|n ˈo l l s ɟ u
nolltre|n ˈo l l t  r e
nolltvå|n ˈo l l t v a
nollåtta|n o l l ˈa t t a
nolusapho|n ˌo l u s ˈa p h o
nonchalant|n ˌo n̩ tʃ ˈa l a n t
nondo|n ˈo n d o
nonsens|n ˈo n s e n s
noodle|n o ˈo d l e
nora|n ˈo r a
nord|n ˈo r d
nordamerika|n ˌo r d a m e r ˈi k a
norden|n ˈo r d e n
nordenskiöldsgatan|n ˌo r d e n s  k ˌi o l d s ɡ ˈa t a n
nordeuropeiskt|n ˌo r d e ˌu r o p ˈe i s k t
nordin|n ˈo r d i n
nordiska|n o r d ˈi s k a
nordligast|n o r d l ˈi ɡ a s t
nordnorges|n o r d n ˈo r ɡ e s
nordost|n ˈo r d o s t
nordväst|n ˈo r d v a s t
nordöstra|n o r d ˈo s t  r a
norge|n ˈo r ɡ e
normal|n ˈo r m a l
normalt|n ˈo r m a l t
norr|n ˈo r r
norra|n ˈo r r a
norrbotten|n o r r b ˈo t t e n
norrländsk|n ˈo r r l a n d s k
norrut|n ˈo r r u t
norsk|n ˈo r s k
norska|n ˈo r s k a
north|n ˈo r θ
norway|n ˈo r w a j
norwei|n o r w ˈe i
nosa|n ˈo s a
nosen|n ˈo s e n
noshörning|n o ʃ ˈo r n i ŋ ɡ
nostalgin|n o s t ˈa l ɡ i n
notan|n ˈo t a n
notepads|n o t ˈe p a d s
notes|n ˈo t e s
noti|n ˈo t i
notisi|n o t ˈi s i
novell|n ˈo v e l l
novemba|n o v ˈe m b a
november|n o v ˈe m b e r
now|n ˈo w
nsajigwa|n s a ɟ ˈi ɡ w a
nsasi|n s ˈa s i
nsemwa|n s ˈe m w a
nst|ˌe n ˌe s t ˈi
nsts|ˌe n ˌe s t ˌi ˈe s
nt|ˌe n t ˈi
nta|ˈn̩ t a
ntare|n t ˈa r e
ntaritik|n t a r ˈi t i k
ntolu|n t ˈo l u
ntungamirwe|n t ˌu ŋ ɡ a m ˈi r w e
ntunzu|n t ˈu n z u
ntwara|n t w ˈa r a
nu|n ˈu
nubbar|n ˈu b b a r
nudlar|n ˈu d l a r
nuet|n ˈu e t
nuförtiden|n ˌu f o r t ˈi d e n
nuhu|n ˈu h u
nukänsla|n u k ˈa n s l a
numera|n u m ˈe r a
nummer|n ˈu m m e r
numren|n ˈu m  r e n
numret|n ˈu m  r e t
nundu|n ˈu n d u
nungu|n ˈu ŋ ɡ u
nungunungu|n ˌu ŋ ɡ u n ˈu ŋ ɡ u
nunnelika|n ˌu n n e l ˈi k a
nunueni|n ˌu n u ˈe n i
nuru|n ˈu r u
nusu|n ˈu s u
nusutufe|n ˌu s u t ˈu f e
nutek|n ˈu t e k
nuvarande|n ˌu v a r ˈa n d e
nuzri|n ˈu z  r i
nwia|n̩ w ˈi a
ny|ɲ
nyabire|ɲ a b ˈi r e
nyabogati|ɲ ˌa b o ɡ ˈa t i
nyabula|ɲ a b ˈu l a
nyaburuma|ɲ ˌa b u r ˈu m a
nyabweshongoile|ɲ ˌa b w e ʃ ˌo ŋ ɡ o ˈi l e
nyadhifa|ɲ a ð ˈi f a
nyaishozi|ɲ ˌa i ʃ ˈo z i
nyakagando|ɲ ˌa k a ɡ ˈa n d o
nyalali|ɲ a l ˈa l i
nyama|ɲ ˈa m a
nyamagana|ɲ ˌa m a ɡ ˈa n a
nyamazeni|ɲ ˌa m a z ˈe n i
nyambe|ɲ ˈa m b e
nyamibata|ɲ ˌa m i b ˈa t a
nyamkuba|ɲ a m  k ˈu b a
nyamuragira|ɲ ˌa m u r a ɡ ˈi r a
nyanchage|ɲ ˌa n̩ tʃ ˈa ɡ e
nyanda|ɲ ˈa n d a
nyandarua|ɲ ˌa n d a r ˈu a
nyandhifa|ɲ a n ð ˈi f a
nyandligt|ɲ ˈa n d l i ɡ t
nyangalata|ɲ ˌa ŋ ɡ a l ˈa t a
nyange|ɲ ˈa ŋ ɡ e
nyangombe|ɲ a ŋ ɡ ˈo m b e
nyangumi|ɲ a ŋ ɡ ˈu m i
nyanibah|ɲ a n ˈi b a h
nyanja|ɲ ˈa ɲ ɟ a
nyans|ɲ ˈa n s
nyansera|ɲ a n s ˈe r a
nyansskiftningarna|ɲ ˌa n s s  k i f t n i ŋ ɡ ˈa r n a
nyanställer|ɲ a n s t ˈa l l e r
nyanya|ɲ ˈa ɲ a
nyanyuka|ɲ a ɲ ˈu k a
nyanywa|ɲ ˈa ɲ u a
nyanza|ɲ ˈa n z a
nyara|ɲ ˈa r a
nyaraka|ɲ a r ˈa k a
nyaroboro|ɲ ˌa r o b ˈo r o
nyasa|ɲ ˈa s a
nyasi|ɲ ˈa s i
nyati|ɲ ˈa t i
nyavu|ɲ ˈa v u
nyayo|ɲ ˈa j o
nyboma|ɲ b ˈo m a
nybro|ɲ b  r ˈo
nybyggda|ɲ b j ɡ ɡ d ˈa
nybörjare|ɲ b o r ɟ ˈa r e
nyckel|ɲ k k ˈe l
nyckeln|ɲ k k ˈe l n
nycklar|ɲ k k l ˈa r
nyegezi|ɲ e ɡ ˈe z i
nyekundu|ɲ e k ˈu n d u
nyembamba|ɲ e m b ˈa m b a
nyembe|ɲ ˈe m b e
nyemelezi|ɲ ˌe m e l ˈe z i
nyengine|ɲ e ŋ ɡ ˈi n e
nyenkla|ɲ ˈe ŋ k l a
nyenza|ɲ ˈe n z a
nyenzo|ɲ ˈe n z o
nyepesi|ɲ e p ˈe s i
nyerere|ɲ e r ˈe r e
nyeri|ɲ ˈe r i
nyeti|ɲ ˈe t i
nyeupe|ɲ e ˈu p e
nyeusi|ɲ e ˈu s i
nyfikna|ɲ f ˈi k n a
nyfödda|ɲ f ˈo d d a
nyförlovad|ɲ f o r l ˈo v a d
nyfött|ɲ f ˈo t t
nygren|ɲ ɡ  r ˈe n
nyheten|ɲ h ˈe t e n
nyheter|ɲ h ˈe t e r
nyheterna|ɲ h e t ˈe r n a
nyhetsbyrå|ɲ h ˈe t s b j r a
nyhetsbyrån|ɲ h ˈe t s b j r a n
nyhetsorgan|ɲ h e t s ˈo r ɡ a n
nyhetstjänster|ɲ h e t s t ɟ ˈa n s t e r
nyihara|ɲ i h ˈa r a
nyika|ɲ ˈi k a
nyimbo|ɲ ˈi m b o
nyingi|ɲ ˈi ŋ ɡ i
nyingine|ɲ i ŋ ɡ ˈi n e
nyinginezo|ɲ ˌi ŋ ɡ i n ˈe z o
nyingiwasio|ɲ ˌi ŋ ɡ i w a s ˈi o
nyinine|ɲ i n ˈi n e
nyinvesteringar|ɲ ˌi n v e s t e r ˈi ŋ ɡ a r
nyiragongo|ɲ ˌi r a ɡ ˈo ŋ ɡ o
nyirenda|ɲ i r ˈe n d a
nykomlingarna|ɲ  k ˌo m l i ŋ ɡ ˈa r n a
nykär|ɲ k ˈa r
nyköping|ɲ  k ˈo p i ŋ ɡ
nyligen|ɲ l ˈi ɡ e n
nymfparakiten|ɲ  m f p ˌa r a k ˈi t e n
nyodling|ɲ ˈo d l i ŋ ɡ
nyodlingsområdenas|ɲ ˌo d l i ŋ ɡ s ˌo m  r a d ˈe n a s
nyoka|ɲ ˈo k a
nyoma|ɲ ˈo m a
nyonga|ɲ ˈo ŋ ɡ a
nyongani|ɲ o ŋ ɡ ˈa n i
nyongeza|ɲ o ŋ ɡ ˈe z a
nyoni|ɲ ˈo n i
nyoofu|ɲ o ˈo f u
nyoosha|ɲ o ˈo ʃ a
nyopererad|ɲ ˌo p e r ˈe r a d
nyororo|ɲ o r ˈo r o
nyosheni|ɲ o ʃ ˈe n i
nyota|ɲ ˈo t a
nyote|ɲ ˈo t e
nyoyo|ɲ ˈo j o
nyoyoni|ɲ o j ˈo n i
nypremiären|ɲ p  r ˌe m i ˈa r e n
nyslungad|ɲ s l ˈu ŋ ɡ a d
nyss|ɲ s s
nystas|ɲ s t ˈa s
nytt|ɲ t t
nytta|ɲ t t ˈa
nyttiga|ɲ t t ˈi ɡ a
nyua|ɲ ˈu a
nyuki|ɲ ˈu k i
nyukilia|ɲ ˌu k i l ˈi a
nyuklia|ɲ u k l ˈi a
nyuma|ɲ ˈu m a
nyumba|ɲ ˈu m b a
nyumbani|ɲ u m b ˈa n i
nyumbanitu|ɲ ˌu m b a n ˈi t u
nyumbu|ɲ ˈu m b u
nyumonia|ɲ ˌu m o n ˈi a
nyundo|ɲ ˈu n d o
nyungu|ɲ ˈu ŋ ɡ u
nyupptäckta|ɲ u p p t ˈa k k t a
nyuso|ɲ ˈu s o
nyuta|ɲ ˈu t a
nyutexaminerade|ɲ ˌu t e k s ˌa m i n e r ˈa d e
nyutkommen|ɲ u t  k ˈo m m e n
nyuzi|ɲ ˈu z i
nyvunna|ɲ v ˈu n n a
nywere|ɲ u ˈe r e
nyår|ɲ ˈa r
nyåret|ɲ ˈa r e t
nyårsafton|ɲ a r s ˈa f t o n
nyårsnatten|ɲ a r s n ˈa t t e n
nyöppnade|ɲ o p p n ˈa d e
nyöversättningen|ɲ ˌo v e r s a t t n ˈi ŋ ɡ e n
nzega|n z ˈe ɡ a
nzi|ˈn̩ z i
nzige|n z ˈi ɡ e
nzima|n z ˈi m a
nzito|n z ˈi t o
nzitu|n z ˈi t u
nzohe|n z ˈo h e
nzoia|ˌn̩ z o ˈi a
nzuguni|n z u ɡ ˈu n i
nzuri|n z ˈu r i
nâgombe|n a ɡ ˈo m b e
nä|n ˈa
nädu|n ˈa d u
nädå|n ˈa d a
nähä|n ˈa h a
nämligen|n a m l ˈi ɡ e n
nämnare|n a m n ˈa r e
nämnas|n ˈa m n a s
nämner|n ˈa m n e r
när|n ˈa r
nära|n ˈa r a
närde|n ˈa r d e
närhelst|n ˈa r h e l s t
närheten|n a r h ˈe t e n
näring|n ˈa r i ŋ ɡ
näringslivet|n ˌa r i ŋ ɡ s l ˈi v e t
näringslivets|n ˌa r i ŋ ɡ s l ˈi v e t s
närmare|n a r  m ˈa r e
närmast|n ˈa r m a s t
närmaste|n a r  m ˈa s t e
närts|n ˈa r t s
närvarande|n ˌa r v a r ˈa n d e
närvaro|n a r v ˈa r o
näsa|n ˈa s a
näsan|n ˈa s a n
näsbjörnsungar|n ˌa s b ɟ o r n s ˈu ŋ ɡ a r
näshornsfågel|n ˌa ʃ o r n s f ˈa ɡ e l
näsroten|n a s  r ˈo t e n
näst|n ˈa s t
nästa|n ˈa s t a
nästan|n ˈa s t a n
nät|n ˈa t
nätanvändningen|n ˌa t a n v a n d n ˈi ŋ ɡ e n
nätet|n ˈa t e t
nätter|n ˈa t t e r
nättjänster|n a t t ɟ ˈa n s t e r
nätverk|n ˈa t v e r k
nätverken|n a t v ˈe r k e n
nätverkets|n a t v ˈe r k e t s
nätverksföretaget|n ˌa t v e r  k s f ˌo r e t ˈa ɡ e t
nätverksjättarna|n ˌa t v e r  k s ɟ a t t ˈa r n a
nå|n ˈa
nådde|n ˈa d d e
någon|n ˈa ɡ o n
någondera|n ˌa ɡ o n d ˈe r a
någons|n ˈa ɡ o n s
någonsin|n a ɡ ˈo n s i n
någonstans|n a ɡ ˈo n s t a n s
någonting|n a ɡ ˈo n t i ŋ ɡ
någorlunda|n ˌa ɡ o r l ˈu n d a
något|n ˈa ɡ o t
någotdera|n ˌa ɡ o t d ˈe r a
några|n ˈa ɡ  r a
nåja|n ˈa ɟ a
nål|n ˈa l
nån|n ˈa n
nånting|n ˈa n t i ŋ ɡ
når|n ˈa r
nåt|n ˈa t
nått|n ˈa t t
nåväl|n ˈa v a l
nödbostäder|n ˌo d b o s t ˈa d e r
nödvändig|n o d v ˈa n d i ɡ
nödvändiga|n ˌo d v a n d ˈi ɡ a
nödvändigaste|n ˌo d v a n d i ɡ ˈa s t e
nödvändighet|n ˌo d v a n d ˈi ɣ e t
nödvändigt|n o d v ˈa n d i ɡ t
nöjd|n ˈo ɟ d
nöjda|n ˈo ɟ d a
nöjde|n ˈo ɟ d e
nöje|n ˈo ɟ e
nöjen|n ˈo ɟ e n
nöjesmakare|n ˌo ɟ e s  m a k ˈa r e
o'connell|o k ˈo n n e l l
o+|ˈo (en) p l ˈʌ s (sw)
oacceptabelt|ˌo a k k e p t ˈa b e l t
oacceptabla|ˌo a k k e p t ˈa b l a
oanade|ˌo a n ˈa d e
oanständiga|ˌo a n s t a n d ˈi ɡ a
oartikulerade|ˌo a r t ˌi k u l e r ˈa d e
oartikulerat|ˌo a r t ˌi k u l ˈe r a t
oaser|o ˈa s e r
oavgjort|o ˈa v ɡ ɟ o r t
oavsett|o ˈa v s e t t
obalans|o b ˈa l a n s
obali|o b ˈa l i
obama|o b ˈa m a
obearbetade|ˌo b e ˌa r b e t ˈa d e
