afia|AE F IY0 AE
mlizokuwa|M L IY0 Z OW0 K UW0 W AE
mlo|M L OW0
mlowezi|M L OW0 W EH0 Z IY0
mlozi|M L OW0 Z IY0
mluzi|M L UW0 Z IY0
mmaka|M M AE K AE
mmavimavi|M M AE V IY0 M AE V IY0
mme|M M EH0
mmea|M M EH0 AE
mmeamini|M M EH0 AE M IY0 N IY0
mmeelewa|M M EH0 EH0 L EH0 W AE
mmefanya|M M EH0 F AE N IY0 AE
mmefanywa|M M EH0 F AE N IY0 W AE
mmefika|M M EH0 F IY0 K AE
mmefufuka|M M EH0 F UW0 F UW0 K AE
mmehuzunika|M M EH0 HH UW0 Z UW0 N IY0 K AE
mmehuzunish|M M EH0 HH UW0 Z UW0 N IY0 SH
mmeifanya|M M EH0 IY0 F AE N IY0 AE
mmeipokea|M M EH0 IY0 P OW0 K EH0 AE
mmeishi|M M EH0 IY0 SH IY0
mmeitwa|M M EH0 IY0 T W AE
mmekipokea|M M EH0 K IY0 P OW0 K EH0 AE
mmekosea|M M EH0 K OW0 S EH0 AE
mmekufa|M M EH0 K UW0 F AE
mmekula|M M EH0 K UW0 L AE
mmekuwa|M M EH0 K UW0 W AE
mmekwisha|M M EH0 K W IY0 SH AE
mmelala|M M EH0 L AE L AE
mmelikataa|M M EH0 L IY0 K AE T AE AE
mmemhukumu|M M EH0 M HH UW0 K UW0 M UW0
mmemkosea|M M EH0 M K OW0 S EH0 AE
mmemleta|M M EH0 M L EH0 T AE
mmempokea|M M EH0 M P OW0 K EH0 AE
mmemsaliti|M M EH0 M S AE L IY0 T IY0
mmemtumainia|M M EH0 M T UW0 M AE IY0 N IY0 AE
mmemwasi|M M EH0 M W AE S IY0
mmenielewa|M M EH0 N IY0 EH0 L EH0 W AE
mmeniita|M M EH0 N IY0 IY0 T AE
mmenilazimi|M M EH0 N IY0 L AE Z IY0 M IY0
mmeniona|M M EH0 N IY0 OW0 N AE
mmenunuliwa|M M EH0 N UW0 N UW0 L IY0 W AE
mmeo|M M EH0 OW0
mmeokolewa|M M EH0 OW0 K OW0 L EH0 W AE
mmeona|M M EH0 OW0 N AE
mmeoshwa|M M EH0 OW0 SH W AE
mmepata|M M EH0 P AE T AE
mmepatwa|M M EH0 P AE T W AE
mmepewa|M M EH0 P EH0 W AE
mmepokea|M M EH0 P OW0 K EH0 AE
mmeponywa|M M EH0 P OW0 N IY0 W AE
mmeremeto|M M EH0 R EH0 M EH0 T OW0
mmesahau|M M EH0 S AE HH AE UW0
mmeshamwekea|M M EH0 SH AE M W EH0 K EH0 AE
mmeshiriki|M M EH0 SH IY0 R IY0 K IY0
mmesikia|M M EH0 S IY0 K IY0 AE
mmesimama|M M EH0 S IY0 M AE M AE
mmetakata|M M EH0 T AE K AE T AE
mmetawanyik|M M EH0 T AE W AE N IY0 IY0 K
mmeteuliwa|M M EH0 T EH0 UW0 L IY0 W AE
mmetii|M M EH0 T IY0 IY0
mmeto|M M EH0 T OW0
mmetoka|M M EH0 T OW0 K AE
mmetupwa|M M EH0 T UW0 P W AE
mmeuamini|M M EH0 UW0 AE M IY0 N IY0
mmeuficha|M M EH0 UW0 F IY0 T SH AE
mmewaita|M M EH0 W AE IY0 T AE
mmewazuia|M M EH0 W AE Z UW0 IY0 AE
mmewekewa|M M EH0 W EH0 K EH0 W AE
mmeyaeneza|M M EH0 Y AE EH0 N EH0 Z AE
mmezaliwa|M M EH0 Z AE L IY0 W AE
mmezitakasa|M M EH0 Z IY0 T AE K AE S AE
mmiminiko|M M IY0 M IY0 N IY0 K OW0
mminyano|M M IY0 N IY0 AE N OW0
mmoia|M M OW0 IY0 AE
mmomonyoko|M M OW0 M OW0 N IY0 OW0 K OW0
mmoyomoyo|M M OW0 Y OW0 M OW0 Y OW0
mmsipoona|M M S IY0 P OW0 OW0 N AE
mmumunye|M M UW0 M UW0 N IY0 EH0
mmung|unye M M UW0 NG UW0 N IY0 EH0
mmwaka|M M W AE K AE
mmweko|M M W EH0 K OW0
mna|M N AE
mnaa|M N AE AE
mnaacha|M N AE AE T SH AE
mnaafikiana|M N AE AE F IY0 K IY0 AE N AE
mnaamini|M N AE AE M IY0 N IY0
mnaamka|M N AE AE M K AE
mnacho|M N AE T SH OW0
mnachoamini|M N AE T SH OW0 AE M IY0 N IY0
mnachokiona|M N AE T SH OW0 K IY0 OW0 N AE
mnachoona|M N AE T SH OW0 OW0 N AE
mnachopaswa|M N AE T SH OW0 P AE S W AE
mnachosikia|M N AE T SH OW0 S IY0 K IY0 AE
mnachotaka|M N AE T SH OW0 T AE K AE
mnachotumia|M N AE T SH OW0 T UW0 M IY0 AE
mnafahamu|M N AE F AE HH AE M UW0
mnafanya|M N AE F AE N IY0 AE
mnafiki|M N AE F IY0 K IY0
mnafikiri|M N AE F IY0 K IY0 R IY0
mnafurahi|M N AE F UW0 R AE HH IY0
mnahukumu|M N AE HH UW0 K UW0 M UW0
mnaiacha|M N AE IY0 AE T SH AE
mnaifahamu|M N AE IY0 F AE HH AE M UW0
mnaishi|M N AE IY0 SH IY0
mnaisikia|M N AE IY0 S IY0 K IY0 AE
mnaitimiza|M N AE IY0 T IY0 M IY0 Z AE
mnakula|M N AE K UW0 L AE
mnakutana|M N AE K UW0 T AE N AE
mnakuwa|M N AE K UW0 W AE
mnalala|M N AE L AE L AE
mnalo|M N AE L OW0
mnalotumain|M N AE L OW0 T UW0 M AE IY0 N
mnammeza|M N AE M M EH0 Z AE
mnamo|M N AE M OW0
mnamtafuta|M N AE M T AE F UW0 T AE
mnamtii|M N AE M T IY0 IY0
mnamtumikia|M N AE M T UW0 M IY0 K IY0 AE
mnamwamini|M N AE M W AE M IY0 N IY0
mnamwasi|M N AE M W AE S IY0
mnana|M N AE N AE
mnanaa|M N AE N AE AE
mnanasi|M N AE N AE S IY0
mnanihukumu|M N AE N IY0 HH UW0 K UW0 M UW0
mnanitafuta|M N AE N IY0 T AE F UW0 T AE
mnao|M N AE OW0
mnaoamini|M N AE OW0 AE M IY0 N IY0
mnaocheka|M N AE OW0 T SH EH0 K AE
mnaoishi|M N AE OW0 IY0 SH IY0
mnaoitwa|M N AE OW0 IY0 T W AE
mnaokaa|M N AE OW0 K AE AE
mnaokolewa|M N AE OW0 K OW0 L EH0 W AE
mnaolia|M N AE OW0 L IY0 AE
mnaomcha|M N AE OW0 M T SH AE
mnaomtumain|M N AE OW0 M T UW0 M AE IY0 N
mnaona|M N AE OW0 N AE
mnaonekana|M N AE OW0 N EH0 K AE N AE
mnaonisikili|M N AE OW0 N IY0 S IY0 K IY0 L IY0
mnaopewa|M N AE OW0 P EH0 W AE
mnaosema|M N AE OW0 S EH0 M AE
mnaosikia|M N AE OW0 S IY0 K IY0 AE
mnaosimama|M N AE OW0 S IY0 M AE M AE
mnaotekelez|M N AE OW0 T EH0 K EH0 L EH0 Z
mnaoteseka|M N AE OW0 T EH0 S EH0 K AE
mnaotimiza|M N AE OW0 T IY0 M IY0 Z AE
mnaotumikia|M N AE OW0 T UW0 M IY0 K IY0 AE
mnaotumikiw|M N AE OW0 T UW0 M IY0 K IY0 W
mnaowapa|M N AE OW0 W AE P AE
mnapaswa|M N AE P AE S W AE
mnapatwa|M N AE P AE T W AE
mnapokaa|M N AE P OW0 K AE AE
mnapokea|M N AE P OW0 K EH0 AE
mnapokula|M N AE P OW0 K UW0 L AE
mnapokunywa|M N AE P OW0 K UW0 N IY0 W AE
mnapokusanya|M N AE P OW0 K UW0 S AE N IY0 AE
mnapokutana|M N AE P OW0 K UW0 T AE N AE
mnapokuwa|M N AE P OW0 K UW0 W AE
mnapompata|M N AE P OW0 M P AE T AE
mnapoona|M N AE P OW0 OW0 N AE
mnapopatwa|M N AE P OW0 P AE T W AE
mnaposali|M N AE P OW0 S AE L IY0
mnaposimama|M N AE P OW0 S IY0 M AE M AE
mnapotoka|M N AE P OW0 T OW0 K AE
mnapotukanw|M N AE P OW0 T UW0 K AE N W
mnara|M N AE R AE
mnaraha|M N AE R AE HH AE
mnari|M N AE R IY0
mnasafiri|M N AE S AE F IY0 R IY0
mnasafisha|M N AE S AE F IY0 SH AE
mnasema|M N AE S EH0 M AE
mnashiriki|M N AE SH IY0 R IY0 K IY0
mnashtuka|M N AE SH T UW0 K AE
mnasikia|M N AE S IY0 K IY0 AE
mnasimama|M N AE S IY0 M AE M AE
mnaso|M N AE S OW0
mnasoni|M N AE S OW0 N IY0
mnatafuta|M N AE T AE F UW0 T AE
mnataka|M N AE T AE K AE
mnatamani|M N AE T AE M AE N IY0
mnatazamia|M N AE T AE Z AE M IY0 AE
mnateseka|M N AE T EH0 S EH0 K AE
mnatia|M N AE T IY0 AE
mnatimiza|M N AE T IY0 M IY0 Z AE
mnato|M N AE T OW0
mnatoa|M N AE T OW0 AE
mnatolewa|M N AE T OW0 L EH0 W AE
mnatoza|M N AE T OW0 Z AE
mnatukanwa|M N AE T UW0 K AE N W AE
mnatumaini|M N AE T UW0 M AE IY0 N IY0
mnatuuliza|M N AE T UW0 UW0 L IY0 Z AE
mnaulizana|M N AE UW0 L IY0 Z AE N AE
mnavu|M N AE V UW0
mnavumilia|M N AE V UW0 M IY0 L IY0 AE
mnavyoamini|M N AE V Y OW0 AE M IY0 N IY0
mnavyofanya|M N AE V Y OW0 F AE N IY0 AE
mnavyoishi|M N AE V Y OW0 IY0 SH IY0
mnavyoona|M N AE V Y OW0 OW0 N AE
mnavyoonyes|M N AE V Y OW0 OW0 N IY0 EH0 S
mnavyopaswa|M N AE V Y OW0 P AE S W AE
mnavyosikia|M N AE V Y OW0 S IY0 K IY0 AE
mnavyotaka|M N AE V Y OW0 T AE K AE
mnavyotaman|M N AE V Y OW0 T AE M AE N
mnavyowahuku|M N AE V Y OW0 W AE HH UW0 K UW0
mnavyowahukum|M N AE V Y OW0 W AE HH UW0 K UW0 M
mnawafanyia|M N AE W AE F AE N IY0 IY0 AE
mnawahukumu|M N AE W AE HH UW0 K UW0 M UW0
mnawaita|M N AE W AE IY0 T AE
mnawakopesha|M N AE W AE K OW0 P EH0 SH AE
mnawanyonya|M N AE W AE N IY0 OW0 N IY0 AE
mnawatwika|M N AE W AE T W IY0 K AE
mnawavumili|M N AE W AE V UW0 M IY0 L IY0
mnawaza|M N AE W AE Z AE
mnaweza|M N AE W EH0 Z AE
mnawili|M N AE W IY0 L IY0
mnayaonea|M N AE Y AE OW0 N EH0 AE
mnayaua|M N AE Y AE UW0 AE
mnaye|M N AE Y EH0
mnayemtafuta|M N AE Y EH0 M T AE F UW0 T AE
mnayemwita|M N AE Y EH0 M W IY0 T AE
mnayemwona|M N AE Y EH0 M W OW0 N AE
mnayesema|M N AE Y EH0 S EH0 M AE
mnayo|M N AE Y OW0
mnayofanya|M N AE Y OW0 F AE N IY0 AE
mnayoifanya|M N AE Y OW0 IY0 F AE N IY0 AE
mnayokaa|M N AE Y OW0 K AE AE
mnayopata|M N AE Y OW0 P AE T AE
mnayopokezan|M N AE Y OW0 P OW0 K EH0 Z AE N
mnayosema|M N AE Y OW0 S EH0 M AE
mnayostahil|M N AE Y OW0 S T AE HH IY0 L
mnayotaka|M N AE Y OW0 T AE K AE
mnayoteseka|M N AE Y OW0 T EH0 S EH0 K AE
mnayotumain|M N AE Y OW0 T UW0 M AE IY0 N
mnayowapa|M N AE Y OW0 W AE P AE
mnayoweza|M N AE Y OW0 W EH0 Z AE
mnayoyaona|M N AE Y OW0 Y AE OW0 N AE
mnayoyasikia|M N AE Y OW0 Y AE S IY0 K IY0 AE
mnayoyote|M N AE Y OW0 Y OW0 T EH0
mnazaa|M N AE Z AE AE
mnazi|M N AE Z IY0
mnazini|M N AE Z IY0 N IY0
mnazo|M N AE Z OW0
mnchani|M N T SH AE N IY0
mnena|M N EH0 N AE
mnene|M N EH0 N EH0
mnenea|M N EH0 N EH0 AE
mneni|M N EH0 N IY0
mnepo|M N EH0 P OW0
mneso|M N EH0 S OW0
mng|ang'anio M NG AE NG AE N IY0 OW0
mng|ao M NG AE OW0
mng|ariza M NG AE R IY0 Z AE
mng|arizo M NG AE R IY0 Z OW0
mng|aro M NG AE R OW0
mnili|M N IY0 L IY0
mno|M N OW0
mnofu|M N OW0 F UW0
mnokoa|M N OW0 K OW0 AE
mnong|ono M N OW0 NG OW0 N OW0
mnono|M N OW0 N OW0
mnukio|M N UW0 K IY0 OW0
mnuko|M N UW0 K OW0
mnumanuma|M N UW0 M AE N UW0 M AE
mnuna|M N UW0 N AE
mnung|uniko M N UW0 NG UW0 N IY0 K OW0
mnuni|M N UW0 N IY0
mnuno|M N UW0 N OW0
mnunuzi|M N UW0 N UW0 Z IY0
mnururisho|M N UW0 R UW0 R IY0 SH OW0
mnyaa|M N IY0 AE AE
mnyakuzi|M N IY0 AE K UW0 Z IY0
mnyama|M N IY0 AE M AE
mnyamavu|M N IY0 AE M AE V UW0
mnyang|anyen M N IY0 AE NG AE N IY0 EH0 N
mnyang|anyi M N IY0 AE NG AE N IY0 IY0
mnyanya|M N IY0 AE N IY0 AE
mnyanyaso|M N IY0 AE N IY0 AE S OW0
mnyapara|M N IY0 AE P AE R AE
mnyara|M N IY0 AE R AE
mnyenyekeo|M N IY0 EH0 N IY0 EH0 K EH0 OW0
mnyenyekevu|M N IY0 EH0 N IY0 EH0 K EH0 V UW0
mnyenyereko|M N IY0 EH0 N IY0 EH0 R EH0 K OW0
mnyeo|M N IY0 EH0 OW0
mnyerereko|M N IY0 EH0 R EH0 R EH0 K OW0
mnyevu|M N IY0 EH0 V UW0
mnyimi|M N IY0 IY0 M IY0
mnyimo|M N IY0 IY0 M OW0
mnyiri|M N IY0 IY0 R IY0
mnyiririko|M N IY0 IY0 R IY0 R IY0 K OW0
mnyo|M N IY0 OW0
mnyofu|M N IY0 OW0 F UW0
mnyonyore|M N IY0 OW0 N IY0 OW0 R EH0
mnyoo|M N IY0 OW0 OW0
mnyororo|M N IY0 OW0 R OW0 R OW0
mnyunyizo|M N IY0 UW0 N IY0 IY0 Z OW0
mnyunyo|M N IY0 UW0 N IY0 OW0
mnyunyusio|M N IY0 UW0 N IY0 UW0 S IY0 OW0
mnyuso|M N IY0 UW0 S OW0
mnywanywa|M N IY0 W AE N IY0 W AE
mnywe|M N IY0 W EH0
mnywo|M N IY0 W OW0
mofa|M OW0 F AE
mofimu|M OW0 F IY0 M UW0
molekyuli|M OW0 L EH0 K Y UW0 L IY0
moma|M OW0 M AE
momonyoa|M OW0 M OW0 N IY0 OW0 AE
momonyoka|M OW0 M OW0 N IY0 OW0 K AE
mong|onyoa M OW0 NG OW0 N IY0 OW0 AE
moni|M OW0 N IY0
monkoa|M OW0 N K OW0 AE
monyoa|M OW0 N IY0 OW0 AE
mora|M OW0 R AE
mori|M OW0 R IY0
morita|M OW0 R IY0 T AE
mororo|M OW0 R OW0 R OW0
morta|M OW0 R T AE
moshi|M OW0 SH IY0
mosi|M OW0 S IY0
mota|M OW0 T AE
motakaa|M OW0 T AE K AE AE
moto|M OW0 T OW0
motokaa|M OW0 T OW0 K AE AE
motomoto|M OW0 T OW0 M OW0 T OW0
motoni|M OW0 T OW0 N IY0
moyo|M OW0 Y OW0
moyoni|M OW0 Y OW0 N IY0
moza|M OW0 Z AE
mpa|M P AE
mpaazo|M P AE AE Z OW0
mpaka|M P AE K AE
mpakani|M P AE K AE N IY0
mpakato|M P AE K AE T OW0
mpakazi|M P AE K AE Z IY0
mpakizi|M P AE K IY0 Z IY0
mpako|M P AE K OW0
mpakuzi|M P AE K UW0 Z IY0
mpalilio|M P AE L IY0 L IY0 OW0
mpalilizi|M P AE L IY0 L IY0 Z IY0
mpalio|M P AE L IY0 OW0
mpalizi|M P AE L IY0 Z IY0
mpana|M P AE N AE
mpapai|M P AE P AE IY0
mpapatiko|M P AE P AE T IY0 K OW0
mpapayu|M P AE P AE Y UW0
mpapura|M P AE P UW0 R AE
mpapuro|M P AE P UW0 R OW0
mparamuzi|M P AE R AE M UW0 Z IY0
mparapi|M P AE R AE P IY0
mpare|M P AE R EH0
mparuro|M P AE R UW0 R OW0
mparuzi|M P AE R UW0 Z IY0
mparuzo|M P AE R UW0 Z OW0
mpasi|M P AE S IY0
mpasua|M P AE S UW0 AE
mpasuko|M P AE S UW0 K OW0
mpasuo|M P AE S UW0 OW0
mpata|M P AE T AE
mpatanishi|M P AE T AE N IY0 SH IY0
mpatanishwe|M P AE T AE N IY0 SH W EH0
mpate|M P AE T EH0
mpato|M P AE T OW0
mpe|M P EH0
mpea|M P EH0 AE
mpekecho|M P EH0 K EH0 T SH OW0
mpeketevu|M P EH0 K EH0 T EH0 V UW0
mpeketo|M P EH0 K EH0 T OW0
mpekuzi|M P EH0 K UW0 Z IY0
mpele|M P EH0 L EH0
mpeleke|M P EH0 L EH0 K EH0
mpelekwa|M P EH0 L EH0 K W AE
mpelelezi|M P EH0 L EH0 L EH0 Z IY0
mpeni|M P EH0 N IY0
mpenyezi|M P EH0 N IY0 EH0 Z IY0
mpenyezo|M P EH0 N IY0 EH0 Z OW0
mpepea|M P EH0 P EH0 AE
mpepezi|M P EH0 P EH0 Z IY0
mpera|M P EH0 R AE
mpesi|M P EH0 S IY0
mpeta|M P EH0 T AE
mpeto|M P EH0 T OW0
mpevu|M P EH0 V UW0
mpevushi|M P EH0 V UW0 SH IY0
mpiko|M P IY0 K OW0
mpila|M P IY0 L AE
mpilipili|M P IY0 L IY0 P IY0 L IY0
mpima|M P IY0 M AE
mpimo|M P IY0 M OW0
mpini|M P IY0 N IY0
mpipa|M P IY0 P AE
mpira|M P IY0 R AE
mpirani|M P IY0 R AE N IY0
mpishi|M P IY0 SH IY0
mpita|M P IY0 T AE
mpitapo|M P IY0 T AE P OW0
mpokea|M P OW0 K EH0 AE
mpokee|M P OW0 K EH0 EH0
mpokeeni|M P OW0 K EH0 EH0 N IY0
mpokezi|M P OW0 K EH0 Z IY0
mpole|M P OW0 L EH0
mponyi|M P OW0 N IY0 IY0
mpoopoo|M P OW0 OW0 P OW0 OW0
mpopoo|M P OW0 P OW0 OW0
mpoporo|M P OW0 P OW0 R OW0
mpororo|M P OW0 R OW0 R OW0
mposa|M P OW0 S AE
mpotee|M P OW0 T EH0 EH0
mpotevu|M P OW0 T EH0 V UW0
mpotezi|M P OW0 T EH0 Z IY0
mpoto|M P OW0 T OW0
mpotovu|M P OW0 T OW0 V UW0
mpulizio|M P UW0 L IY0 Z IY0 OW0
mpupu|M P UW0 P UW0
mpupuzi|M P UW0 P UW0 Z IY0
mpurukushani|M P UW0 R UW0 K UW0 SH AE N IY0
mpururo|M P UW0 R UW0 R OW0
mpuuzi|M P UW0 UW0 Z IY0
mpuzi|M P UW0 Z IY0
mpwa|M P W AE
mpwae|M P W AE EH0
mpwamu|M P W AE M UW0
mpweke|M P W EH0 K EH0
mpwitompwito|M P W IY0 T OW0 M P W IY0 T OW0
mpya|M P Y AE
mpyampya|M P Y AE M P Y AE
mpyaro|M P Y AE R OW0
mpyoro|M P Y OW0 R OW0
mrama|M R AE M AE
mramali|M R AE M AE L IY0
mranaa|M R AE N AE AE
mrao|M R AE OW0
mraruo|M R AE R UW0 OW0
mrasharasha|M R AE SH AE R AE SH AE
mrashi|M R AE SH IY0
mrasimu|M R AE S IY0 M UW0
mrau|M R AE UW0
mrefu|M R EH0 F UW0
mrehani|M R EH0 HH AE N IY0
mrela|M R EH0 L AE
mrenaha|M R EH0 N AE HH AE
mrera|M R EH0 R AE
mrihani|M R IY0 HH AE N IY0
mrihi|M R IY0 HH IY0
mrima|M R IY0 M AE
mrina|M R IY0 N AE
mripuko|M R IY0 P UW0 K OW0
mrisi|M R IY0 S IY0
mrithi|M R IY0 TH IY0
mriti|M R IY0 T IY0
mroho|M R OW0 HH OW0
mropoko|M R OW0 P OW0 K OW0
mrua|M R UW0 AE
mruko|M R UW0 K OW0
mrusho|M R UW0 SH OW0
mrututu|M R UW0 T UW0 T UW0
mruzi|M R UW0 Z IY0
msafa|M S AE F AE
msafara|M S AE F AE R AE
msafiri|M S AE F IY0 R IY0
msafisho|M S AE F IY0 SH OW0
msaha|M S AE HH AE
msahala|M S AE HH AE L AE
msahaulifu|M S AE HH AE UW0 L IY0 F UW0
msaka|M S AE K AE
msakalawa|M S AE K AE L AE W AE
msako|M S AE K OW0
msala|M S AE L AE
msalani|M S AE L AE N IY0
msali|M S AE L IY0
msalie|M S AE L IY0 EH0
msalimina|M S AE L IY0 M IY0 N AE
msalimuni|M S AE L IY0 M UW0 N IY0
msaliti|M S AE L IY0 T IY0
msalkheri|M S AE L K EH0 R IY0
msamaha|M S AE M AE HH AE
msamehe|M S AE M EH0 HH EH0
msamiati|M S AE M IY0 AE T IY0
msamilo|M S AE M IY0 L OW0
msana|M S AE N AE
msanaa|M S AE N AE AE
msanaka|M S AE N AE K AE
msanamaki|M S AE N AE M AE K IY0
msanapiti|M S AE N AE P IY0 T IY0
msani|M S AE N IY0
msanifu|M S AE N IY0 F UW0
msanii|M S AE N IY0 IY0
msanu|M S AE N UW0
msapata|M S AE P AE T AE
msarifu|M S AE R IY0 F UW0
msasa|M S AE S AE
msasi|M S AE S IY0
msawazisho|M S AE W AE Z IY0 SH OW0
msazo|M S AE Z OW0
msema|M S EH0 M AE
msemalo|M S EH0 M AE L OW0
mseme|M S EH0 M EH0
msemi|M S EH0 M IY0
msemo|M S EH0 M OW0
msepetuko|M S EH0 P EH0 T UW0 K OW0
msese|M S EH0 S EH0
mseto|M S EH0 T OW0
msewe|M S EH0 W EH0
mshahala|M SH AE HH AE L AE
mshahara|M SH AE HH AE R AE
mshairi|M SH AE IY0 R IY0
mshakiki|M SH AE K IY0 K IY0
mshale|M SH AE L EH0
mshamara|M SH AE M AE R AE
mshamo|M SH AE M OW0
msharafu|M SH AE R AE F UW0
msharasi|M SH AE R AE S IY0
mshari|M SH AE R IY0
msharifu|M SH AE R IY0 F UW0
mshaufu|M SH AE UW0 F UW0
mshauri|M SH AE UW0 R IY0
mshawasha|M SH AE W AE SH AE
mshawishi|M SH AE W IY0 SH IY0
mshazari|M SH AE Z AE R IY0
mshelisheli|M SH EH0 L IY0 SH EH0 L IY0
mshihiri|M SH IY0 HH IY0 R IY0
mshika|M SH IY0 K AE
mshikaki|M SH IY0 K AE K IY0
mshikamano|M SH IY0 K AE M AE N OW0
mshikano|M SH IY0 K AE N OW0
mshikilio|M SH IY0 K IY0 L IY0 OW0
mshikio|M SH IY0 K IY0 OW0
mshikizo|M SH IY0 K IY0 Z OW0
mshiko|M SH IY0 K OW0
mshipa|M SH IY0 P AE
mshipi|M SH IY0 P IY0
mshirazi|M SH IY0 R AE Z IY0
mshirika|M SH IY0 R IY0 K AE
mshiriki|M SH IY0 R IY0 K IY0
mshirikina|M SH IY0 R IY0 K IY0 N AE
mshitaka|M SH IY0 T AE K AE
mshitiri|M SH IY0 T IY0 R IY0
mshokishoki|M SH OW0 K IY0 SH OW0 K IY0
mshona|M SH OW0 N AE
mshoni|M SH OW0 N IY0
mshono|M SH OW0 N OW0
mshoro|M SH OW0 R OW0
mshororo|M SH OW0 R OW0 R OW0
mshtaka|M SH T AE K AE
mshtaki|M SH T AE K IY0
mshtakiwa|M SH T AE K IY0 W AE
mshtarii|M SH T AE R IY0 IY0
mshtiri|M SH T IY0 R IY0
mshtuko|M SH T UW0 K OW0
mshtuo|M SH T UW0 OW0
mshuko|M SH UW0 K OW0
mshuku|M SH UW0 K UW0
mshukuru|M SH UW0 K UW0 R UW0
mshukuruni|M SH UW0 K UW0 R UW0 N IY0
mshumaa|M SH UW0 M AE AE
mshupavu|M SH UW0 P AE V UW0
mshushio|M SH UW0 SH IY0 OW0
mshusho|M SH UW0 SH OW0
msi|M S IY0
msiape|M S IY0 AE P EH0
msichana|M S IY0 T SH AE N AE
msichoke|M S IY0 T SH OW0 K EH0
msichukue|M S IY0 T SH UW0 K UW0 EH0
msifanye|M S IY0 F AE N IY0 EH0
msife|M S IY0 F EH0
msifike|M S IY0 F IY0 K EH0
msifikiri|M S IY0 F IY0 K IY0 R IY0
msifu|M S IY0 F UW0
msifuni|M S IY0 F UW0 N IY0
msifurahi|M S IY0 F UW0 R AE HH IY0
msihi|M S IY0 HH IY0
msihukumu|M S IY0 HH UW0 K UW0 M UW0
msiiache|M S IY0 IY0 AE T SH EH0
msiifanye|M S IY0 IY0 F AE N IY0 EH0
msiishi|M S IY0 IY0 SH IY0
msiitwe|M S IY0 IY0 T W EH0
msikae|M S IY0 K AE EH0
msikate|M S IY0 K AE T EH0
msikia|M S IY0 K IY0 AE
msikilivu|M S IY0 K IY0 L IY0 V UW0
msikilizano|M S IY0 K IY0 L IY0 Z AE N OW0
msikilizeni|M S IY0 K IY0 L IY0 Z EH0 N IY0
msikita|M S IY0 K IY0 T AE
msikiti|M S IY0 K IY0 T IY0
msikitini|M S IY0 K IY0 T IY0 N IY0
msikivu|M S IY0 K IY0 V UW0
msikizi|M S IY0 K IY0 Z IY0
msikwao|M S IY0 K W AE OW0
msilaumiane|M S IY0 L AE UW0 M IY0 AE N EH0
msilaumu|M S IY0 L AE UW0 M UW0
msile|M S IY0 L EH0
msilie|M S IY0 L IY0 EH0
msilimu|M S IY0 L IY0 M UW0
msilipize|M S IY0 L IY0 P IY0 Z EH0
msimamia|M S IY0 M AE M IY0 AE
msimamizi|M S IY0 M AE M IY0 Z IY0
msimamo|M S IY0 M AE M OW0
msimhuzunis|M S IY0 M HH UW0 Z UW0 N IY0 S
msimkataze|M S IY0 M K AE T AE Z EH0
msimo|M S IY0 M OW0
msimpe|M S IY0 M P EH0
msimsalimu|M S IY0 M S AE L IY0 M UW0
msimu|M S IY0 M UW0
msimulizi|M S IY0 M UW0 L IY0 Z IY0
msimwite|M S IY0 M W IY0 T EH0
msiniamini|M S IY0 N IY0 AE M IY0 N IY0
msinililie|M S IY0 N IY0 L IY0 L IY0 EH0
msinung|uni M S IY0 N UW0 NG UW0 N IY0
msinyimane|M S IY0 N IY0 IY0 M AE N EH0
msinywe|M S IY0 N IY0 W EH0
msio|M S IY0 OW0
msioteshe|M S IY0 OW0 T EH0 SH EH0
msipatwe|M S IY0 P AE T W EH0
msipayuke|M S IY0 P AE Y UW0 K EH0
msipeperush|M S IY0 P EH0 P EH0 R UW0 SH
msipoamini|M S IY0 P OW0 AE M IY0 N IY0
msipokaa|M S IY0 P OW0 K AE AE
msipokula|M S IY0 P OW0 K UW0 L AE
msipoteze|M S IY0 P OW0 T EH0 Z EH0
msipowasameh|M S IY0 P OW0 W AE S AE M EH0 HH
msipowasamehe|M S IY0 P OW0 W AE S AE M EH0 HH EH0
msira|M S IY0 R AE
msiri|M S IY0 R IY0
msirisha|M S IY0 R IY0 SH AE
msisahau|M S IY0 S AE HH AE UW0
msishike|M S IY0 SH IY0 K EH0
msishiriki|M S IY0 SH IY0 R IY0 K IY0
msishirikia|M S IY0 SH IY0 R IY0 K IY0 AE
msisimko|M S IY0 S IY0 M K OW0
msisitizo|M S IY0 S IY0 T IY0 Z OW0
msitamu|M S IY0 T AE M UW0
msitari|M S IY0 T AE R IY0
msitiri|M S IY0 T IY0 R IY0
msitirimstir|M S IY0 T IY0 R IY0 M S T IY0 R
msitishike|M S IY0 T IY0 SH IY0 K EH0
msitiwe|M S IY0 T IY0 W EH0
msitoe|M S IY0 T OW0 EH0
msitoke|M S IY0 T OW0 K EH0
msitoze|M S IY0 T OW0 Z EH0
msitu|M S IY0 T UW0
msituni|M S IY0 T UW0 N IY0
msiutumie|M S IY0 UW0 T UW0 M IY0 EH0
msivae|M S IY0 V AE EH0
msiwachukiz|M S IY0 W AE T SH UW0 K IY0 Z
msiwachukuli|M S IY0 W AE T SH UW0 K UW0 L IY0
msiwafuate|M S IY0 W AE F UW0 AE T EH0
msiwahukumu|M S IY0 W AE HH UW0 K UW0 M UW0
