a|AE
furvus|F UW RRR UW UW S
furō|F UW RRR OW0
furōrī|F UW RRR OW0 RRR IY
fusciceps|F UW S K IY K EH0 P S
fuscicollis|F UW S K IY K OW0 L L IY S
fuscicornis|F UW S K IY K OW0 RRR N IY S
fuscicostus|F UW S K IY K OW0 S T UW S
fuscina|F UW S K IY N AE
fuscinula|F UW S K IY N UW L AE
fuscipennis|F UW S K IY P EH0 N N IY S
fuscipēs|F UW S K IY P EH0 S
fuscitarsis|F UW S K IY T AE RRR S IY S
fuscoguttātus|F UW S K OW0 G UW T T AE T UW S
fuscus|F UW S K UW S
fuscēscēns|F UW S K EH0 S K EH0 N S
fuscō|F UW S K OW0
futtilitās|F UW T T IY L IY T AE S
futuō|F UW T UW OW0
futūrum|F UW T UW RRR UW M
futūrus|F UW T UW RRR UW S
futūtiō|F UW T UW T IY OW0
futūtor|F UW T UW T OW0 RRR
futūtrīx|F UW T UW T RRR IY K S
fuērunt|F UW EH0 RRR UW N T
fuī|F UW IY
fābricius|F AE B RRR IY K IY UW S
fābricābilis|F AE B RRR IY K AE B IY L IY S
fābricātiō|F AE B RRR IY K AE T IY OW0
fābricātor|F AE B RRR IY K AE T OW0 RRR
fābricātrīx|F AE B RRR IY K AE T RRR IY K S
fābricātōrius|F AE B RRR IY K AE T OW0 RRR IY UW S
fābula|F AE B UW L AE
fābulor|F AE B UW L OW0 RRR
fābulāre|F AE B UW L AE RRR EH0
fābulārī|F AE B UW L AE RRR IY
fābulātor|F AE B UW L AE T OW0 RRR
fābulō|F AE B UW L OW0
fābulōsus|F AE B UW L OW0 S UW S
fācundia|F AE K UW N D IY AE
fācundus|F AE K UW N D UW S
fāgea|F AE G EH0 AE
fāgina|F AE G IY N AE
fāgineus|F AE G IY N EH0 UW S
fāginus|F AE G IY N UW S
fāgus|F AE G UW S
fāma|F AE M AE
fāmam|F AE M AE M
fāmiger|F AE M IY G EH0 RRR
fāmigerātus|F AE M IY G EH0 RRR AE T UW S
fāmōsa|F AE M OW0 S AE
fāmōsus|F AE M OW0 S UW S
fānitālis|F AE N IY T AE L IY S
fāns|F AE N S
fānulum|F AE N UW L UW M
fānum|F AE N UW M
fānāticus|F AE N AE T IY K UW S
fānāticī|F AE N AE T IY K IY
fās|F AE S
fāstus|F AE S T UW S
fāstī|F AE S T IY
fāstū|F AE S T UW
fāta|F AE T AE
fātifer|F AE T IY F EH0 RRR
fātiloquium|F AE T IY L OW0 K IY UW M
fātiloquus|F AE T IY L OW0 K UW S
fātum|F AE T UW M
fātus|F AE T UW S
fātālis|F AE T AE L IY S
fēcunditās|F EH0 K UW N D IY T AE S
fēcundus|F EH0 K UW N D UW S
fēlis|F EH0 L IY S
fēliō|F EH0 L IY OW0
fēllebris|F EH0 L L EH0 B RRR IY S
fēllā|F EH0 L L AE
fēllō|F EH0 L L OW0
fēlēs|F EH0 L EH0 S
fēlīciter|F EH0 L IY K IY T EH0 RRR
fēlīcitās|F EH0 L IY K IY T AE S
fēlīciāna|F EH0 L IY K IY AE N AE
fēlīciānus|F EH0 L IY K IY AE N UW S
fēlīneus|F EH0 L IY N EH0 UW S
fēlīnus|F EH0 L IY N UW S
fēlīx|F EH0 L IY K S
fēmella|F EH0 M EH0 L L AE
fēmellārius|F EH0 M EH0 L L AE RRR IY UW S
fēmineus|F EH0 M IY N EH0 UW S
fēminātus|F EH0 M IY N AE T UW S
fēminīne|F EH0 M IY N IY N EH0
fēminīnus|F EH0 M IY N IY N UW S
fēminīnē|F EH0 M IY N IY N EH0
fēminīs|F EH0 M IY N IY S
fēmur|F EH0 M UW RRR
fēnuculum|F EH0 N UW K UW L UW M
fēnum|F EH0 N UW M
fēnārius|F EH0 N AE RRR IY UW S
fēria|F EH0 RRR IY AE
fēriae|F EH0 RRR IY AE EH0
fērior|F EH0 RRR IY OW0 RRR
fēriātus|F EH0 RRR IY AE T UW S
fērālis|F EH0 RRR AE L IY S
fērōnia|F EH0 RRR OW0 N IY AE
fēstra|F EH0 S T RRR AE
fēstum|F EH0 S T UW M
fēstus|F EH0 S T UW S
fēstīs|F EH0 S T IY S
fēstīviter|F EH0 S T IY UW IY T EH0 RRR
fēstīvitās|F EH0 S T IY UW IY T AE S
fēstīvum|F EH0 S T IY UW UW M
fēstīvus|F EH0 S T IY UW UW S
fēstīvālis|F EH0 S T IY UW AE L IY S
fēteō|F EH0 T EH0 OW0
fētidus|F EH0 T IY D UW S
fētificō|F EH0 T IY F IY K OW0
fētiālis|F EH0 T IY AE L IY S
fētor|F EH0 T OW0 RRR
fētulentus|F EH0 T UW L EH0 N T UW S
fētus|F EH0 T UW S
fētālia|F EH0 T AE L IY AE
fētō|F EH0 T OW0
fētōsus|F EH0 T OW0 S UW S
fētūra|F EH0 T UW RRR AE
fī|F IY
fībrēnus|F IY B RRR EH0 N UW S
fībula|F IY B UW L AE
fībulāris|F IY B UW L AE RRR IY S
fībulārēs|F IY B UW L AE RRR EH0 S
fīcedula|F IY K EH0 D UW L AE
fīculea|F IY K UW L EH0 AE
fīculneus|F IY K UW L N EH0 UW S
fīcus|F IY K UW S
fīcāna|F IY K AE N AE
fīcāria|F IY K AE RRR IY AE
fīcāriam|F IY K AE RRR IY AE M
fīcārius|F IY K AE RRR IY UW S
fīcāriās|F IY K AE RRR IY AE S
fīcātum|F IY K AE T UW M
fīcō|F IY K OW0
fīdentia|F IY D EH0 N T IY AE
fīdus|F IY D UW S
fīdēs|F IY D EH0 S
fīdūcia|F IY D UW K IY AE
fīdūciāria|F IY D UW K IY AE RRR IY AE
fīdūciārie|F IY D UW K IY AE RRR IY EH0
fīdūciārius|F IY D UW K IY AE RRR IY UW S
fīgō|F IY G OW0
fīlia|F IY L IY AE
fīliaster|F IY L IY AE S T EH0 RRR
fīlifōrmis|F IY L IY F OW0 RRR M IY S
fīliola|F IY L IY OW0 L AE
fīliolus|F IY L IY OW0 L UW S
fīlipēs|F IY L IY P EH0 S
fīlius|F IY L IY UW S
fīliālis|F IY L IY AE L IY S
fīliī|F IY L IY IY
fīlum|F IY L UW M
fīlāmentōsa|F IY L AE M EH0 N T OW0 S AE
fīlāmentōse|F IY L AE M EH0 N T OW0 S EH0
fīlāmentōsus|F IY L AE M EH0 N T OW0 S UW S
fīlāmentōsās|F IY L AE M EH0 N T OW0 S AE S
fīlāmentōsī|F IY L AE M EH0 N T OW0 S IY
fīlāmentōsō|F IY L AE M EH0 N T OW0 S OW0
fīlāmentōsōs|F IY L AE M EH0 N T OW0 S OW0 S
fīne|F IY N EH0
fīnem|F IY N EH0 M
fīnis|F IY N IY S
fīnitimus|F IY N IY T IY M UW S
fīniō|F IY N IY OW0
fīnālis|F IY N AE L IY S
fīnālitās|F IY N AE L IY T AE S
fīnēs|F IY N EH0 S
fīnīta|F IY N IY T AE
fīnīte|F IY N IY T EH0
fīnītis|F IY N IY T IY S
fīnītiō|F IY N IY T IY OW0
fīnītor|F IY N IY T OW0 RRR
fīnītus|F IY N IY T UW S
fīnītās|F IY N IY T AE S
fīnītī|F IY N IY T IY
fīnītīs|F IY N IY T IY S
fīnītīvus|F IY N IY T IY UW UW S
fīnītō|F IY N IY T OW0
fīnītōs|F IY N IY T OW0 S
fīsus|F IY S UW S
fītō|F IY T OW0
fīuntō|F IY UW N T OW0
fīō|F IY OW0
fōcillō|F OW0 K IY L L OW0
fōcilō|F OW0 K IY L OW0
fōculum|F OW0 K UW L UW M
fōcāle|F OW0 K AE L EH0
fōmentum|F OW0 M EH0 N T UW M
fōmes|F OW0 M EH0 S
fōns|F OW0 N S
fōrma|F OW0 RRR M AE
fōrmella|F OW0 RRR M EH0 L L AE
fōrmula|F OW0 RRR M UW L AE
fōrmālis|F OW0 RRR M AE L IY S
fōrmālēs|F OW0 RRR M AE L EH0 S
fōrmāticus|F OW0 RRR M AE T IY K UW S
fōrmātiō|F OW0 RRR M AE T IY OW0
fōrmō|F OW0 RRR M OW0
fōrmōnsus|F OW0 RRR M OW0 N S UW S
fōrmōsa|F OW0 RRR M OW0 S AE
fōrmōsus|F OW0 RRR M OW0 S UW S
fōrmōsānus|F OW0 RRR M OW0 S AE N UW S
fōvēre|F OW0 UW EH0 RRR EH0
fū|F UW
fūcinus|F UW K IY N UW S
fūcō|F UW K OW0
fūcōsus|F UW K OW0 S UW S
fūfae|F UW F AE EH0
fūfidius|F UW F IY D IY UW S
fūfius|F UW F IY UW S
fūlīginōsus|F UW L IY G IY N OW0 S UW S
fūlīgō|F UW L IY G OW0
fūmant|F UW M AE N T
fūmante|F UW M AE N T EH0
fūmantēs|F UW M AE N T EH0 S
fūmantī|F UW M AE N T IY
fūmeus|F UW M EH0 UW S
fūmidus|F UW M IY D UW S
fūmifer|F UW M IY F EH0 RRR
fūmificus|F UW M IY F IY K UW S
fūmigat|F UW M IY G AE T
fūmigābundus|F UW M IY G AE B UW N D UW S
fūmigārēs|F UW M IY G AE RRR EH0 S
fūmigō|F UW M IY G OW0
fūmipennis|F UW M IY P EH0 N N IY S
fūmus|F UW M UW S
fūmāriolum|F UW M AE RRR IY OW0 L UW M
fūmārium|F UW M AE RRR IY UW M
fūmārī|F UW M AE RRR IY
fūmāte|F UW M AE T EH0
fūmātus|F UW M AE T UW S
fūmō|F UW M OW0
fūmōsus|F UW M OW0 S UW S
fūnctiō|F UW N K T IY OW0
fūnctiōnālis|F UW N K T IY OW0 N AE L IY S
fūnebre|F UW N EH0 B RRR EH0
fūnebris|F UW N EH0 B RRR IY S
fūnebrēs|F UW N EH0 B RRR EH0 S
fūnereus|F UW N EH0 RRR EH0 UW S
fūnerālis|F UW N EH0 RRR AE L IY S
fūnerāns|F UW N EH0 RRR AE N S
fūnerārius|F UW N EH0 RRR AE RRR IY UW S
fūnerātus|F UW N EH0 RRR AE T UW S
fūnerātīcius|F UW N EH0 RRR AE T IY K IY UW S
fūnerō|F UW N EH0 RRR OW0
fūnestus|F UW N EH0 S T UW S
fūnestō|F UW N EH0 S T OW0
fūniculus|F UW N IY K UW L UW S
fūnis|F UW N IY S
fūnus|F UW N UW S
fūnālis|F UW N AE L IY S
fūnārius|F UW N AE RRR IY UW S
fūnētum|F UW N EH0 T UW M
fūr|F UW RRR
fūrius|F UW RRR IY UW S
fūror|F UW RRR OW0 RRR
fūrtificus|F UW RRR T IY F IY K UW S
fūrtum|F UW RRR T UW M
fūrtīvus|F UW RRR T IY UW UW S
fūrunculus|F UW RRR UW N K UW L UW S
fūrātrīna|F UW RRR AE T RRR IY N AE
fūrāx|F UW RRR AE K S
fūrīna|F UW RRR IY N AE
fūrō|F UW RRR OW0
fūsa|F UW S AE
fūsilis|F UW S IY L IY S
fūsiō|F UW S IY OW0
fūsiōne|F UW S IY OW0 N EH0
fūsiōnem|F UW S IY OW0 N EH0 M
fūsiōnēs|F UW S IY OW0 N EH0 S
fūsiōnī|F UW S IY OW0 N IY
fūsta|F UW S T AE
fūstīgō|F UW S T IY G OW0
fūsus|F UW S UW S
fūtilis|F UW T IY L IY S
fūtilitās|F UW T IY L IY T AE S
fūtis|F UW T IY S
gaba|G AE B AE
gabala|G AE B AE L AE
gabalium|G AE B AE L IY UW M
gabalus|G AE B AE L UW S
gabalī|G AE B AE L IY
gabata|G AE B AE T AE
gabellus|G AE B EH0 L L UW S
gabiī|G AE B IY IY
gabonicus|G AE B OW0 N IY K UW S
gabonēnsis|G AE B OW0 N EH0 N S IY S
gabriēl|G AE B RRR IY EH0 L
gabrī|G AE B RRR IY
gabīnius|G AE B IY N IY UW S
gadara|G AE D AE RRR AE
gadarēnus|G AE D AE RRR EH0 N UW S
gadelicus|G AE D EH0 L IY K UW S
gadolinium|G AE D OW0 L IY N IY UW M
gaelī|G AE EH0 L IY
gaesum|G AE EH0 S UW M
gaesōn|G AE EH0 S OW0 N
gaetūlī|G AE EH0 T UW L IY
gagae|G AE G AE EH0
gainās|G AE IY N AE S
gaiserīcus|G AE IY S EH0 RRR IY K UW S
galacticus|G AE L AE K T IY K UW S
galactītēs|G AE L AE K T IY T EH0 S
galaesus|G AE L AE EH0 S UW S
galapagoēnsis|G AE L AE P AE G OW0 EH0 N S IY S
galaria|G AE L AE RRR IY AE
galaticor|G AE L AE T IY K OW0 RRR
galaticus|G AE L AE T IY K UW S
galaxia|G AE L AE K S IY AE
galaxias|G AE L AE K S IY AE S
galbaneus|G AE L B AE N EH0 UW S
galbanum|G AE L B AE N UW M
galbanus|G AE L B AE N UW S
galbanātus|G AE L B AE N AE T UW S
galbeum|G AE L B EH0 UW M
galbineus|G AE L B IY N EH0 UW S
galbinus|G AE L B IY N UW S
galbinātus|G AE L B IY N AE T UW S
galbulus|G AE L B UW L UW S
galbus|G AE L B UW S
galea|G AE L EH0 AE
galeos|G AE L EH0 OW0 S
galeāris|G AE L EH0 AE RRR IY S
galeātus|G AE L EH0 AE T UW S
galeō|G AE L EH0 OW0
galgulus|G AE L G UW L UW S
galindae|G AE L IY N D AE EH0
gallaecia|G AE L L AE EH0 K IY AE
gallaecus|G AE L L AE EH0 K UW S
gallaecī|G AE L L AE EH0 K IY
galleta|G AE L L EH0 T AE
gallia|G AE L L IY AE
gallicia|G AE L L IY K IY AE
gallicinium|G AE L L IY K IY N IY UW M
gallicrūs|G AE L L IY K RRR UW S
gallicus|G AE L L IY K UW S
gallitālutae|G AE L L IY T AE L UW T AE EH0
gallium|G AE L L IY UW M
gallius|G AE L L IY UW S
galliō|G AE L L IY OW0
gallonicus|G AE L L OW0 N IY K UW S
gallīna|G AE L L IY N AE
gallīnāceus|G AE L L IY N AE K EH0 UW S
gallīnācius|G AE L L IY N AE K IY UW S
gallōnius|G AE L L OW0 N IY UW S
galvanicus|G AE L UW AE N IY K UW S
galēna|G AE L EH0 N AE
galēnās|G AE L EH0 N AE S
galēpsus|G AE L EH0 P S UW S
galērius|G AE L EH0 RRR IY UW S
galērum|G AE L EH0 RRR UW M
galērus|G AE L EH0 RRR UW S
galērītus|G AE L EH0 RRR IY T UW S
galīlaea|G AE L IY L AE EH0 AE
galīlaeus|G AE L IY L AE EH0 UW S
gamba|G AE M B AE
gambius|G AE M B IY UW S
gambiēnsis|G AE M B IY EH0 N S IY S
gandarī|G AE N D AE RRR IY
gangaba|G AE N G AE B AE
gangra|G AE N G RRR AE
ganicus|G AE N IY K UW S
ganniō|G AE N N IY OW0
gannītus|G AE N N IY T UW S
ganta|G AE N T AE
ganus|G AE N UW S
ganymēdes|G AE N Y UW1 M EH0 D EH0 S
garamantēs|G AE RRR AE M AE N T EH0 S
garba|G AE RRR B AE
garciō|G AE RRR K IY OW0
gardinus|G AE RRR D IY N UW S
gargara|G AE RRR G AE RRR AE
gargilius|G AE RRR G IY L IY UW S
gargēttus|G AE RRR G EH0 T T UW S
gargōnius|G AE RRR G OW0 N IY UW S
gariepīnus|G AE RRR IY EH0 P IY N UW S
garriō|G AE RRR RRR IY OW0
garrulus|G AE RRR RRR UW L UW S
garrīre|G AE RRR RRR IY RRR EH0
garsaura|G AE RRR S AE UW RRR AE
garulī|G AE RRR UW L IY
garum|G AE RRR UW M
garumna|G AE RRR UW M N AE
gas|G AE S
gasconicus|G AE S K OW0 N IY K UW S
gassinadēs|G AE S S IY N AE D EH0 S
gastaldus|G AE S T AE L D UW S
gastaldī|G AE S T AE L D IY
gastaldō|G AE S T AE L D OW0
gaster|G AE S T EH0 RRR
gastricus|G AE S T RRR IY K UW S
gatheae|G AE T EH0 AE EH0
gattaeī|G AE T T AE EH0 IY
gau|G AE UW
gaudebundus|G AE UW D EH0 B UW N D UW S
gaudentius|G AE UW D EH0 N T IY UW S
gaudeō|G AE UW D EH0 OW0
gaudibundus|G AE UW D IY B UW N D UW S
gaudium|G AE UW D IY UW M
gaudivigens|G AE UW D IY UW IY G EH0 N S
gaudiālis|G AE UW D IY AE L IY S
gaudos|G AE UW D OW0 S
gaulopēs|G AE UW L OW0 P EH0 S
gaulos|G AE UW L OW0 S
gaulus|G AE UW L UW S
gaurus|G AE UW RRR UW S
gaurātae|G AE UW RRR AE T AE EH0
gausape|G AE UW S AE P EH0
gausapēs|G AE UW S AE P EH0 S
gavilius|G AE UW IY L IY UW S
gaza|G AE Z Z AE
gazophylacium|G AE Z Z OW0 P Y UW1 L AE K IY UW M
gazēlum|G AE Z Z EH0 L UW M
gazētae|G AE Z Z EH0 T AE EH0
gebadaeī|G EH0 B AE D AE EH0 IY
gebbanītae|G EH0 B B AE N IY T AE EH0
gedanēnsis|G EH0 D AE N EH0 N S IY S
gedeōn|G EH0 D EH0 OW0 N
gedrōsia|G EH0 D RRR OW0 S IY AE
gegānius|G EH0 G AE N IY UW S
gehenna|G EH0 HH EH0 N N AE
geidumnī|G EH0 IY D UW M N IY
geiserīcus|G EH0 IY S EH0 RRR IY K UW S
gelandō|G EH0 L AE N D OW0
gelbēs|G EH0 L B EH0 S
geldūba|G EH0 L D UW B AE
gelela|G EH0 L EH0 L AE
gelem|G EH0 L EH0 M
geler|G EH0 L EH0 RRR
gelicidium|G EH0 L IY K IY D IY UW M
gelidus|G EH0 L IY D UW S
gellius|G EH0 L L IY UW S
gelā|G EH0 L AE
gelārem|G EH0 L AE RRR EH0 M
gelārās|G EH0 L AE RRR AE S
gelārēs|G EH0 L AE RRR EH0 S
gelās|G EH0 L AE S
gelāsius|G EH0 L AE S IY UW S
gelāsse|G EH0 L AE S S EH0
gelāssem|G EH0 L AE S S EH0 M
gelāssēs|G EH0 L AE S S EH0 S
gelātis|G EH0 L AE T IY S
gelātus|G EH0 L AE T UW S
gelātīs|G EH0 L AE T IY S
gelāverimus|G EH0 L AE UW EH0 RRR IY M UW S
gelāveris|G EH0 L AE UW EH0 RRR IY S
gelāveritis|G EH0 L AE UW EH0 RRR IY T IY S
gelēs|G EH0 L EH0 S
gelō|G EH0 L OW0
gelōnī|G EH0 L OW0 N IY
gelū|G EH0 L UW
gemebundus|G EH0 M EH0 B UW N D UW S
gemellipara|G EH0 M EH0 L L IY P AE RRR AE
gemellus|G EH0 M EH0 L L UW S
geminius|G EH0 M IY N IY UW S
geminus|G EH0 M IY N UW S
geminātis|G EH0 M IY N AE T IY S
geminātiō|G EH0 M IY N AE T IY OW0
geminātus|G EH0 M IY N AE T UW S
geminātīs|G EH0 M IY N AE T IY S
gemināverimus|G EH0 M IY N AE UW EH0 RRR IY M UW S
gemināveris|G EH0 M IY N AE UW EH0 RRR IY S
gemināveritis|G EH0 M IY N AE UW EH0 RRR IY T IY S
geminī|G EH0 M IY N IY
geminō|G EH0 M IY N OW0
gemmeus|G EH0 M M EH0 UW S
gemmifer|G EH0 M M IY F EH0 RRR
gemmārius|G EH0 M M AE RRR IY UW S
gemmātis|G EH0 M M AE T IY S
gemmātīs|G EH0 M M AE T IY S
gemmāverimus|G EH0 M M AE UW EH0 RRR IY M UW S
gemmāveris|G EH0 M M AE UW EH0 RRR IY S
gemmāveritis|G EH0 M M AE UW EH0 RRR IY T IY S
gemmō|G EH0 M M OW0
gemō|G EH0 M OW0
gena|G EH0 N AE
genabum|G EH0 N AE B UW M
genaunī|G EH0 N AE UW N IY
gener|G EH0 N EH0 RRR
genera|G EH0 N EH0 RRR AE
genericus|G EH0 N EH0 RRR IY K UW S
generā|G EH0 N EH0 RRR AE
generālis|G EH0 N EH0 RRR AE L IY S
generāre|G EH0 N EH0 RRR AE RRR EH0
generātis|G EH0 N EH0 RRR AE T IY S
generātiō|G EH0 N EH0 RRR AE T IY OW0
generātīs|G EH0 N EH0 RRR AE T IY S
generāverimus|G EH0 N EH0 RRR AE UW EH0 RRR IY M UW S
generāveris|G EH0 N EH0 RRR AE UW EH0 RRR IY S
generāveritis|G EH0 N EH0 RRR AE UW EH0 RRR IY T IY S
generō|G EH0 N EH0 RRR OW0
generōsus|G EH0 N EH0 RRR OW0 S UW S
genethliacus|G EH0 N EH0 T L IY AE K UW S
genetrīx|G EH0 N EH0 T RRR IY K S
genetīvus|G EH0 N EH0 T IY UW UW S
geneālogia|G EH0 N EH0 AE L OW0 G IY AE
geneālogus|G EH0 N EH0 AE L OW0 G UW S
geneālogī|G EH0 N EH0 AE L OW0 G IY
geneālogō|G EH0 N EH0 AE L OW0 G OW0
geniculum|G EH0 N IY K UW L UW M
geniculāte|G EH0 N IY K UW L AE T EH0
geniculātus|G EH0 N IY K UW L AE T UW S
genimen|G EH0 N IY M EH0 N
genitor|G EH0 N IY T OW0 RRR
genitus|G EH0 N IY T UW S
genitālis|G EH0 N IY T AE L IY S
genitīva|G EH0 N IY T IY UW AE
genitīvus|G EH0 N IY T IY UW UW S
genitīvī|G EH0 N IY T IY UW IY
genitīvō|G EH0 N IY T IY UW OW0
genius|G EH0 N IY UW S
geniālis|G EH0 N IY AE L IY S
genticus|G EH0 N T IY K UW S
gentīle|G EH0 N T IY L EH0
gentīlicius|G EH0 N T IY L IY K IY UW S
gentīliciō|G EH0 N T IY L IY K IY OW0
gentīlis|G EH0 N T IY L IY S
gentīliter|G EH0 N T IY L IY T EH0 RRR
gentīlitius|G EH0 N T IY L IY T IY UW S
gentīlitus|G EH0 N T IY L IY T UW S
gentīlitās|G EH0 N T IY L IY T AE S
genua|G EH0 N UW AE
genucius|G EH0 N UW K IY UW S
genuīnus|G EH0 N UW IY N UW S
genāva|G EH0 N AE UW AE
genētae|G EH0 N EH0 T AE EH0
genīoglōssus|G EH0 N IY OW0 G L OW0 S S UW S
genīoglōssī|G EH0 N IY OW0 G L OW0 S S IY
genīohyoīdeus|G EH0 N IY OW0 HH Y UW1 OW0 IY D EH0 UW S
genīohyoīdeī|G EH0 N IY OW0 HH Y UW1 OW0 IY D EH0 IY
genō|G EH0 N OW0
genū|G EH0 N UW
genūflectō|G EH0 N UW F L EH0 K T OW0
genūflexus|G EH0 N UW F L EH0 K S UW S
genūsus|G EH0 N UW S UW S
geraestos|G EH0 RRR AE EH0 S T OW0 S
geraestus|G EH0 RRR AE EH0 S T UW S
geranītis|G EH0 RRR AE N IY T IY S
gerasus|G EH0 RRR AE S UW S
gerasēna|G EH0 RRR AE S EH0 N AE
gerasēnam|G EH0 RRR AE S EH0 N AE M
gerasēne|G EH0 RRR AE S EH0 N EH0
gerasēnus|G EH0 RRR AE S EH0 N UW S
gerdius|G EH0 RRR D IY UW S
gerente|G EH0 RRR EH0 N T EH0
gergesēne|G EH0 RRR G EH0 S EH0 N EH0
gergovia|G EH0 RRR G OW0 UW IY AE
gergīthus|G EH0 RRR G IY T UW S
gerlachus|G EH0 RRR L AE K UW S
germa|G EH0 RRR M AE
germen|G EH0 RRR M EH0 N
germinātis|G EH0 RRR M IY N AE T IY S
germinātīs|G EH0 RRR M IY N AE T IY S
germināverimus|G EH0 RRR M IY N AE UW EH0 RRR IY M UW S
germināveris|G EH0 RRR M IY N AE UW EH0 RRR IY S
germināveritis|G EH0 RRR M IY N AE UW EH0 RRR IY T IY S
germinō|G EH0 RRR M IY N OW0
germāna|G EH0 RRR M AE N AE
germāne|G EH0 RRR M AE N EH0
germānia|G EH0 RRR M AE N IY AE
germānicus|G EH0 RRR M AE N IY K UW S
germānitās|G EH0 RRR M AE N IY T AE S
germānium|G EH0 RRR M AE N IY UW M
germānus|G EH0 RRR M AE N UW S
germānē|G EH0 RRR M AE N EH0
germānīs|G EH0 RRR M AE N IY S
germānō|G EH0 RRR M AE N OW0
gerrae|G EH0 RRR RRR AE EH0
gerrhus|G EH0 RRR RRR UW S
gerrō|G EH0 RRR RRR OW0
gerula|G EH0 RRR UW L AE
gerulus|G EH0 RRR UW L UW S
gerulāta|G EH0 RRR UW L AE T AE
gerunda|G EH0 RRR UW N D AE
gerundium|G EH0 RRR UW N D IY UW M
gerundīve|G EH0 RRR UW N D IY UW EH0
gerundīvum|G EH0 RRR UW N D IY UW UW M
gerundīvus|G EH0 RRR UW N D IY UW UW S
gerundīvī|G EH0 RRR UW N D IY UW IY
gerundīvīs|G EH0 RRR UW N D IY UW IY S
gerundīvō|G EH0 RRR UW N D IY UW OW0
gerundīvōrum|G EH0 RRR UW N D IY UW OW0 RRR UW M
gerundīvōs|G EH0 RRR UW N D IY UW OW0 S
gerēnia|G EH0 RRR EH0 N IY AE
gerēns|G EH0 RRR EH0 N S
gerō|G EH0 RRR OW0
gerūnium|G EH0 RRR UW N IY UW M
gerūsia|G EH0 RRR UW S IY AE
gesocribātē|G EH0 S OW0 K RRR IY B AE T EH0
gesoriacum|G EH0 S OW0 RRR IY AE K UW M
gessissēmus|G EH0 S S IY S S EH0 M UW S
gessius|G EH0 S S IY UW S
gessī|G EH0 S S IY
gestricia|G EH0 S T RRR IY K IY AE
gestriciēnsis|G EH0 S T RRR IY K IY EH0 N S IY S
gestābilis|G EH0 S T AE B IY L IY S
gestāmen|G EH0 S T AE M EH0 N
gestātis|G EH0 S T AE T IY S
gestātīs|G EH0 S T AE T IY S
gestātōrius|G EH0 S T AE T OW0 RRR IY UW S
gestāverimus|G EH0 S T AE UW EH0 RRR IY M UW S
gestāveris|G EH0 S T AE UW EH0 RRR IY S
gestāveritis|G EH0 S T AE UW EH0 RRR IY T IY S
gethonē|G EH0 T OW0 N EH0
geudos|G EH0 UW D OW0 S
geusiae|G EH0 UW S IY AE EH0
gevalia|G EH0 UW AE L IY AE
gevalēnsis|G EH0 UW AE L EH0 N S IY S
geōdēs|G EH0 OW0 D EH0 S
geōgraphia|G EH0 OW0 G RRR AE P IY AE
geōgraphicus|G EH0 OW0 G RRR AE P IY K UW S
geōgraphus|G EH0 OW0 G RRR AE P UW S
geōmetria|G EH0 OW0 M EH0 T RRR IY AE
geōmetricus|G EH0 OW0 M EH0 T RRR IY K UW S
geōrgia|G EH0 OW0 RRR G IY AE
geōrgius|G EH0 OW0 RRR G IY UW S
geōrgiāna|G EH0 OW0 RRR G IY AE N AE
geōrgiāne|G EH0 OW0 RRR G IY AE N EH0
geōrgiānus|G EH0 OW0 RRR G IY AE N UW S
geōrgiānās|G EH0 OW0 RRR G IY AE N AE S
geōrgiānī|G EH0 OW0 RRR G IY AE N IY
geōrgiānō|G EH0 OW0 RRR G IY AE N OW0
geōrgiānōs|G EH0 OW0 RRR G IY AE N OW0 S
geōrgiēnsis|G EH0 OW0 RRR G IY EH0 N S IY S
ghanēnsis|G HH AE N EH0 N S IY S
gibber|G IY B B EH0 RRR
gibbiflōrus|G IY B B IY F L OW0 RRR UW S
gibbirōstris|G IY B B IY RRR OW0 S T RRR IY S
gibbus|G IY B B UW S
gibbōsus|G IY B B OW0 S UW S
gifhornēnsis|G IY F HH OW0 RRR N EH0 N S IY S
giganteus|G IY G AE N T EH0 UW S
gigasporus|G IY G AE S P OW0 RRR UW S
gigia|G IY G IY AE
giglius|G IY G L IY UW S
gignō|G IY G N OW0
gigurrī|G IY G UW RRR RRR IY
gigās|G IY G AE S
gigēria|G IY G EH0 RRR IY UW M
gigōnus|G IY G OW0 N UW S
gilarus|G IY L AE RRR UW S
gildō|G IY L D OW0
gillō|G IY L L OW0
gilvus|G IY L UW UW S
gindanēs|G IY N D AE N EH0 S
gindarus|G IY N D AE RRR UW S
gingiber|G IY N G IY B EH0 RRR
gingidion|G IY N G IY D IY OW0 N
gingriō|G IY N G RRR IY OW0
gingīva|G IY N G IY UW AE
giraffa|G IY RRR AE F F AE
gissa|G IY S S AE
gitanae|G IY T AE N AE EH0
glaber|G L AE B EH0 RRR
glabrirōstris|G L AE B RRR IY RRR OW0 S T RRR IY S
glabriō|G L AE B RRR IY OW0
glabrātus|G L AE B RRR AE T UW S
glaciāle|G L AE K IY AE L EH0
glaciālis|G L AE K IY AE L IY S
glaciālēs|G L AE K IY AE L EH0 S
glaciārium|G L AE K IY AE RRR IY UW M
glaciēr|G L AE K IY EH0 RRR
glaciēs|G L AE K IY EH0 S
glaciō|G L AE K IY OW0
gladiolus|G L AE D IY OW0 L UW S
