ء|Q
قيطون|Q AE T UW N
قيظ|K AE Y DH
قيقب|K AE Y K AE B
قيلولة|K AE Y L UW L AE
قيمة|G IY M AE
قينة|K AE Y N AE
ك|K AA F
كآبة|K AE Q AE B AE
كأب|K AE Q B
كأس|K AE Q S
كأن|K AE Q AE N N AE
كائن|K AE Q IY N
كابل|K AE B UW L
كابلي|K AE B UW L IY Y Y
كابوس|K AE B UW S
كابول|K AE B UW L
كاتدرائية|K AE T IY D RRR AE Q IY Y Y AE
كاتيون|K AE T Y UW N
كاحل|K AE HH IY L
كادس|K AE D IY S
كاذب|K AE DH IY B
كاذي|K AE DH IY Y Y
كاراتيه|K AE RRR AE T EH0
كاراطي|K AE RRR AE T IY
كارة|K AE RRR AE
كارى|K AE RRR AE
كازاخستان|K AE Z AE HH IY S T AE N
كازخستان|K AE Z AE HH IY S T AE N
كازون|K AE Z UW N
كاسيت|K AE S IY T
كاشف|K AE SH IY F
كاشم|K AE SH IY M
كاعب|K AE RH IY B
كاغد|K AE HH IY DH
كاغذ|K AE HH IY DH
كاغيد|K AE HH IY D
كاف|K AE F IY N
كافأ|K AE F AE Q AE
كافتيريا|K AE F IY T IY RRR IY Y AE
كافر|K AE F IY RRR
كافور|K AE F UW RRR
كاكنج|K AE K IY N D
كالون|K AE L UW N
كامبودي|K AE M B UW D IY Y Y
كامبوديا|K AE M B OW0 D IY Y AE
كامخ|K AE M IY HH
كامرا|K AE M RRR AE
كامل|K AE M IY L
كان|K AE N AE
كانبرا|K AE N B IY RRR AE
كانون|K AE N UW N
كاهنة|K AE HH IY N AE
كبابة|K UW B AE B AE
كباث|K AE B AE TH
كبد|K AE B IY D
كبر|K AE B UW RRR AE
كبرياء|K IY B RRR IY Y AE Q
كبريت|K IY B RRR IY T
كبش|K AE B SH
كبكب|K AE B K AE B AE
كبل|K IY B L
كبير|K B IY RRR
كبيرة|K AE B IY RRR AE
كبيس|K AE B IY S
كبيكج|K AE B IY K AE D
كتاب|K UW T T AE B
كتابة|K IY T AE B AE
كتابخانة|K IY T AE B HH AE N AE
كتان|K AE T T AE N
كتب|K UW T UW B
كتف|K IY T F
كتلة|K UW T L AE
كثافة|K AE TH AE F AE
كثيب|K AE TH IY B
كثير|K AE TH IY RRR
كثيرا|K AE TH IY RRR AE
كثيراء|K AE TH IY RRR AE Q
كثيف|K AE TH IY F
كحلاء|K AE HH L AE Q
كدس|K AE D S
كدين|K UW D IY N
كذاب|K AE DH DH AE B
كذين|K UW DH IY N
كذينق|K UW DH IY N AE K
كراث|K UW RRR RRR AE TH
كراج|G AE RRR AE D
كراخة|K AE RRR AE HH AE
كراز|K UW RRR RRR AE Z
كراميل|K AE RRR AE M IY L
كراني|K AE RRR RRR AE N IY Y Y
كراويا|K AE RRR AE W IY Y AE
كراوية|K AE RRR AE W IY Y AE
كرباج|K UW RRR B AE D
كربة|K UW RRR B AE
كربون|K AE RRR B UW N
كرة|K UW RRR AE
كرج|K UW RRR D
كرح|K IY RRR HH
كرخ|K IY RRR HH
كردون|K UW RRR D UW N
كرز|K AE RRR AE Z
كرس|K IY RRR S
كرسوع|K UW RRR S UW RH
كرسي|K UW RRR S IY Y Y
كرفس|K AE RRR AE F S
كرك|K UW RRR K
كركم|K UW RRR K UW M
كركند|K AE RRR K AE N D
كرنب|K UW RRR UW N B
كرنيب|K IY RRR N IY B
كره|K UW RRR HH
كرها|K AE RRR HH AE N
كرواتي|K UW RRR UW W AE T IY Y Y
كرواتيا|K UW RRR UW W AE T IY Y AE
كروياء|K AE RRR AE W Y AE Q
كروية|K UW RRR AE W IY Y Y AE
كرى|K AE RRR AE
كرياس|K IY RRR Y AE S
كزاز|K UW Z Z AE Z
كزبرة|K AH0 Z B AH0 RRR AH0
كزمازج|K AE Z M AE Z AE D
كزمازق|K AE Z M AE Z AE K
كزمازك|K AE Z M AE Z AE K
كسا|K AE S AE
كساء|K IY S AE Q
كسبة|K UW S B AE
كستبان|K UW S T UW B AE N
كستج|K UW S T AE D
كستيج|K UW S T IY D
كسحاء|K AE S HH AE Q
كسرة|K AE S RRR AE
كسوة|K UW S W AE
كسوف|K UW S UW F
كسيح|K AE S IY HH
كشتبان|K UW SH T UW B AE N
كشمش|K IY SH M IY SH
كشنى|K UW SH N AE
كشوت|K UW SH UW TH
كشوث|K UW SH UW TH
كعبة|K AE RH B AE
كعك|K AE RH K
كفات|K IY F AE T
كفاح|K IY F AE HH
كفالة|K AE F AE L AE
كفرية|K UW F RRR IY Y Y AE
كفى|K AE F AE
كل|K UW L L
كلأ|K AE L AE Q AE
كلب|K AE L B
كلبة|K AE L B AE
كلح|K AE L AE HH AE
كلخ|K AE L HH
كلك|K AE L AE K
كلكلانج|K AE L K AE L AE N AE D
كلما|K UW L L AE M AE
كلمة|K AE L IY M AE
كلميم|G UW L M IY M
كلوتة|K AE L L UW T AE
كليب|K L IY B
كليل|K AE L IY L
كم|K UW M
كمء|K AE M Q
كمأ|K AE M AE Q
كمأة|K AE M Q AE
كماة|K UW M AE HH
كماشير|K AE M AE SH IY RRR
كمام|K IY M AE M
كمامة|K IY M AE M AE
كمان|K AE M AE N
كمبيوتر|K AE M B Y UW T AE RRR
كمثراة|K UW M M AE TH RRR AE HH
كمثرى|K UW M M AE TH RRR AE
كمح|K AE M AE HH AE
كمر|K AE M AE RRR
كمون|K AE M M UW N
كمي|K AE M IY Y Y
كميت|K UW M AE Y T
كناب|K IY N AE B
كنار|K AE N AE RRR
كنارة|K IY N N AE RRR AE
كناية|K IY N AE Y AE
كنباث|K IY N B AE TH
كندا|K AE N AE D AE
كندس|K UW N D UW S
كندوج|K AE N D UW D
كنز|K AE N Z
كنزة|K AE N Z AE
كنف|K AE N AE F AE
كنية|K UW N Y AE
كنيسة|K AE N IY S AE
كهرباء|K AE HH RRR UW B AE Q
كهرمان|K AE HH RRR AE M AE N
كهرو|K AE HH RRR UW
كهروتقني|K AE HH RRR UW T IY K N IY Y Y
كهروحراري|K AE HH RRR UW HH AE RRR AE RRR IY Y Y
كهروساكن|K AE HH RRR UW S AE K IY N
كهروستاتيكي|K AE HH RRR UW S T AE T IY K IY Y Y
كهروسكوني|K AE HH RRR UW S UW K UW N IY Y Y
كهروضوئي|K AE HH RRR UW D AE W Q IY Y Y
كهرومائي|K AE HH RRR UW M AE Q IY Y Y
كهرومتحرك|K AE HH RRR UW M UW T AE HH AE RRR RRR IY K
كهرومغناطيسي|K AE HH RRR UW M IY HH N AE T IY S IY Y Y
كهرومنزلي|K AE HH RRR UW M AE N Z IY L IY Y Y
كهف|K AH0 HH F
كهنوت|K AE HH AE N UW T
كواكب|K AE W AE K IY B
كوالا|K UW W AE L AE
كوب|K UW B
كوبا|K UW B AE
كوبنهاجن|K UW B IY N HH AE G IY N
كوبنهاغن|K UW B IY N HH AE HH AE N
كوة|K UW W W AE
كوثر|K AE W TH AE RRR
كوثل|K AE W TH AE L
كوج|K UW D
كوخ|K UW HH
كودن|K AE W D AE N
كودين|K UW D IY N
كوذين|K UW DH IY N
كورة|K UW RRR AE
كوريا|K UW RRR IY Y AE
كوز|K UW Z
كوسا|K UW S AE
كوستاريكا|K OW0 S T AE RRR IY K AE
كوسوفو|K UW S UW F UW
كوسى|K UW S AE
كوشاد|K UW SH AE D
كوع|K UW RH
كوكب|K AE W K AE B
كوكبة|K AE W K AE B AE
كولان|K UW L AE N
كولومبو|K UW L UW M B UW
كولومبيا|K OW0 L OW0 M B IY Y AE
كوم|K OW0 M
كون|K AE W W AE N AE
كويكب|K UW W AE Y K IY B
كيد|K AE Y D
كيرلس|K IY RRR UW L UW S
كيف|K AE Y Y AE F AE
كيلوغرام|K IY L UW HH RRR AE M
كيلومتر|K IY L OW0 M IY T EH0 RRR
كينيا|K IY N Y AE
كيول|K AE Y Y UW L
ل|L
لأك|L AE Q AE K AE
لألأ|L AE Q L AE Q AE
لأن|L IY Q AE N N AE
لؤلؤ|L UW Q L UW Q
لؤلؤة|L UW Q L UW Q AE
لئلا|L IY Q AE L L AE
لا|L AE
لاءم|L AE Q AE M AE
لاأدري|L AE Q AE D RRR IY Y Y
لائحة|L AE Q IY HH AE
لاتفي|L AE T V IY Y Y
لاتفيا|L AE T V IY Y AE
لاث|L AE TH AE
لاج|L AE D AE
لاح|L AE HH AE
لاحق|L AE HH IY K
لاحم|L AE HH IY M
لادن|L AE D AE N
لاذ|L AE DH AE
لاذن|L AE DH AE N
لازوردي|L AE Z UW W AE RRR D IY Y Y
لاسلطوي|L AE S UW L T AE W IY Y Y
لاسلطوية|L AE S UW L T AE W IY Y Y AE
لاسلكي|L AE S IY L K IY Y Y
لاط|L AE T AE
لاعية|L AE RH IY Y AE
لافتة|L AE F IY T AE
لام|L AE M AE
لامبالاة|L AE M UW B AE L AE HH
لاهوتي|L AE HH UW T IY Y Y
لاهور|L AE HH UW RRR
لاوس|L AE W S
لبأ|L IY B AE Q
لباس|L IY B AE S
لبان|L UW B AE N
لبسة|L IY B S AE
لبلاب|L AE B L AE B
لبلابي|L AE B L AE B IY Y Y
لبلبي|L AE B L AE B IY Y Y
لبن|L AE B AE N
لبنان|L UW B N AE N
لبوس|L AE B UW S
لبى|L AE B B AE
لتواني|L IY T W AE N IY Y Y
لتوانيا|L IY T UW W AE N IY Y AE
لثة|L IY TH AE
لثغة|L UW TH HH AE
لثم|L AE TH AE M AE
لج|L UW D D
لجأ|L AE D AE Q AE
لجأة|L AE D AE Q AE
لجئ|L AE D AE Q AE
لجام|L IY D AE M
لجنة|L AE D N AE
لجوء|L UW D UW Q
لجين|L UW D AE Y N
لحاء|L IY HH AE Q
لحاق|L AE HH AE K
لحج|L AE HH HH AE D AE
لحظ|L AE HH DH
لحظتذاك|L AE HH DH AE T AE DH AE K AE
لحق|L AE HH K
لحلاح|L AE HH L AE HH
لحم|L AE HH M
لحوج|L AE HH W AE D AE
لدغ|L AE D AE HH AE
لذلك|L IY DH AE L IY K AE
لذيذ|L AE DH IY DH
لزاق|L IY Z AE K
لزج|L AE Z IY D AE
لسان|L IY S AE N
لسع|L AE S AE RH AE
لصاق|L IY S AE K
لصف|L AE S AE F
لصق|L AE S S AE K AE
لطم|L AE T AE M AE
لطيف|L AE T IY F
لعبة|L UW RH B AE
لعل|L AE RH L
لعنة|L AE RH N AE
لغة|L UW HH AE
لغط|L AE HH AE T AE
لغويات|L UW HH AE W IY Y Y AE T
لفافة|L IY F AE F AE
لفف|L AE F F AE F AE
لفيفة|L AE F IY F AE
لقاح|L IY K AE HH
لقب|L AE K K AE B
لقح|L AE K AE HH AE
لقد|L AE K AE D
لقمة|L UW K M AE
لقوة|L AE K W AE
لك|L AE K K
لكز|L AE K Z
لكم|L AE K AE M AE
لكمة|L AE K M AE
لكن|L AE K IY N N AE
لكنة|L UW K N AE
للأسف|L IY L Q AE S AE F
للغاية|L IY L HH AE Y AE T IY
لله|L IY L L AE HH IY
لم|L UW M
لماذا|L IY M AE DH AE
لمح|L AE M HH
لمع|L AE M M AE RH AE
لمى|L AE M AE
لن|L AE N
لندن|L UW N D UW N
لندني|L UW N D UW N IY Y Y
لها|L AE HH AE
لهاث|L UW HH AE TH
لهب|L AE HH IY B AE
لهث|L AE HH IY TH AE
لهجة|L AH0 HH D AH0
لهذا|L IY HH AE DH AE
لهفة|L AE HH F AE
لهى|L AE HH HH AE
لهي|L AE HH IY Y AE
لهيب|L AE HH IY B
لو|L AE W
لواء|L IY W AE Q
لواط|L IY W AE T
لوح|L OW0 HH
لوحة|L AE W HH AE
لورد|L OW0 RRR D
لوز|L AE W Z
لوط|L UW T
لوطي|L UW T IY Y Y
لولا|L AE W L AE
لومي|L UW M IY
لون|L AE W W AE N AE
لوى|L AE W AE
لوياثان|L AE W IY Y AE TH AE N
ليبيا|L IY B IY Y AE
ليت|L AE Y T AE
ليث|L AE Y TH
ليرة|L AE Y RRR AE
ليزر|L IY Z AE RRR
ليس|L AE Y S AE
ليل|L AE Y L
ليلة|L AE Y L AE
ليلتذاك|L AE Y L AE T AE DH AE K AE
ليلك|L IY L AE K
ليلي|L AE Y L IY Y Y
ليمو|L IY M UW
ليمون|L AE Y M UW N
ليموني|L AE Y M UW N IY Y Y
ليمي|L AE Y M IY Y Y
لينينية|L IY N IY N IY Y Y AE
م|M IY M
مآزق|M AE Q AE Z IY K
مأجوج|M AE Q D UW D
مأدبة|M AE Q D UW B AE
مأزق|M AE Q Z IY K
مأساة|M AH0 RH S AE T
مأكول|M AE Q K UW L
مأمأة|M AE Q M AE Q AE
مأوى|M AE Q W AE N
مؤامرة|M UW Q AE M AE RRR AE
مؤتمر|M UW Q T AE M AE RRR
مؤسس|M UW Q AE S S IY S
مؤسسة|M UW Q AE S S IY S AE
مؤشر|M UW Q AE SH SH IY RRR
مؤلف|M UW Q AE L L IY F
مؤمن|M UW Q M IY N
مؤنث|M UW Q AE N N AE TH
مئبر|M IY Q B AE RRR
مئة|M IY Q AE
مئذنة|M IY Q DH AE N AE
ما|M AE
ماء|M AE Q
مائت|M AE Q IY T
مائدة|M AE Q IY D AE
مات|M T
ماثل|M AE TH AE L AE
ماجد|M AE D IY D
ماجور|M AE D UW RRR
ماحق|M AE HH IY K
ماذا|M AE DH AE
مار|M AE RRR RRR
مارس|M AE RRR S
ماركسية|M AE RRR K S IY Y Y AE
ماز|M AE Z AE
مازريون|M AE Z AE RRR Y UW N
ماسح|M AE S IY HH
ماسورة|M AE S UW RRR AE
ماعون|M AE RH UW N
ماعونة|M AE RH UW N AE
مال|M AE L
مالاوي|M AE L AE W IY
مالج|M AE L AE D
مالح|M AE L IY HH
مالديفز|M AE L D IY F Z
مالطا|M AE L T AE
مالطي|M AE L T IY Y Y
مالق|M AE L AE K
مالقة|M AE L AE K AE
مالك|M AE L IY K
مالكي|M AE L IY K IY Y Y
ماليزيا|M AE L AE Y Z IY Y AE
ماما|M AE M AE
ماميثا|M AE M IY TH AE
مانشيت|M AE N SH EH0 T
مانيلا|M AE N IY L AE
ماه|M AE HH AE
ماهاراجا|M AE HH AE RRR AE D AE
مايو|M AE Y UW
مباح|M UW B AE HH
مباراة|M UW B AE RRR AE HH
مبارز|M UW B AE RRR IY Z
مبارزة|M UW B AE RRR AE Z AE
مبارك|M UW B AE RRR IY K
مبالغة|M UW B AE L AE HH AE
مبتل|M UW B T AE L IY N
مبتلى|M UW B T AE L AE N
مبدأ|M AE B D AE Q
مبرة|M AE B AE RRR RRR AE
مبرهنة|M UW B AE RRR HH AE N AE
مبشرة|M IY B SH AE RRR AE
مبكر|M UW B AE K K IY RRR
مبكرا|M UW B AE K K IY RRR AE N
مت|M AE T T AE
متأخرا|M UW T AE Q AE HH HH IY RRR AE N
متأسف|M UW T AE Q AE S S IY F
متأن|M UW T AE Q AE N N IY N
متاح|M UW T AE HH
متاع|M AE T AE RH
متانة|M AE T AE N AE
متة|M AE T EH0
متجر|M AE T D AE RRR
متحد|M UW T T AE HH IY D
متحمس|M UW T HH AE M IY S
متخصص|M UW T AE HH AE S S IY S
متخلف|M UW T AE HH AE L L IY F
متراس|M IY T RRR AE S
متزاوج|M UW T AE Z AE W IY D
متزوج|M UW T AE Z AE W W IY D
متسامح|M UW T AE S AE M IY HH
متسول|M UW T AE S AE W W IY L
متشابه|M UW T AE SH AE B IY HH
متشكر|M UW T AE SH AE K K IY RRR
متصل|M UW T T AE S IY L
متطرف|M UW T AE T AE RRR RRR IY F
متعة|M UW T RH AE
متعجرف|M UW T AE RH AE D RRR IY F
متعلم|M UW T AE RH AE L L IY M
متفجرات|M UW T AE F AE D D IY RRR AE T
متفرغ|M UW T AE F AE RRR RRR IY HH
متفرق|M UW T AE F AE RRR RRR IY K
متكبر|M UW T AE K AE B B IY RRR
متكدس|M UW T AE K AE D D IY S
متكلم|M UW T AE K AE L L IY M
متلوث|M UW T AE L AE W W IY TH
متماد|M UW T AE M AE D IY N
متناول|T AE N AE W AE L AE
متنزه|M UW T AE N AE Z Z IY HH
متنقض|M UW T AE N AE K K IY D
متنوع|M UW T AE N AE W W IY RH
متواضع|M UW T AE W AE D IY RH
متوسط|M UW T AE W AE S S IY T
متوفر|M UW T AE W AE F F IY RRR
متى|M AE T T AE
متين|M AE T IY N
مثابة|M AE TH AE B AE
مثار|M UW TH AE RRR
مثال|M IY TH AE L
مثانة|M AE TH AE N AE
مثقال|M IY TH K AE L
مثقب|M IY TH K AE B
مثل|M UW TH UW L
مثلا|M AE TH AE L AE N
مثلث|M UW TH AE L L AE TH
مثلجات|M UW TH AE L L AE D AE T
مثلجة|M AE TH L AE D AE
مثلي|M IY TH L IY Y Y
مثنان|M IY TH N AE N
مثنوية|M AE TH N AE W IY Y Y AE
مجادلة|M UW D AE D AE L AE HH
مجازر|M AE D AE Z IY RRR
مجازفة|M UW D AE Z AE F AE
مجازي|M AE D AE Z IY Y Y
مجاعة|M AE D AE RH AE
مجاهد|M UW D AE HH IY D
مجاور|M UW D AE W IY RRR
مجدد|M UW D AE D D IY D
مجراف|M IY D RRR AE F
مجرب|M UW D AE RRR RRR IY B
مجرد|M UW D AE RRR RRR AE D
مجرفة|M IY D RRR AE F AE
مجرم|M UW D RRR IY M
مجري|M AE D AE RRR IY Y Y
مجزر|M AE D Z AE RRR
مجسم|M UW D AE S S AE M
مجسمة|M UW D AE S S AE M AE
مجفل|M UW D AE F F IY L
مجلة|M AE D AE L L AE
مجلخة|M IY D L AE HH AE
مجلس|M AE D L IY S
مجمد|M UW D AE M M AE D
مجمر|M IY D M AE RRR
مجموع|M AE D M UW RH
مجموعة|M AE D M UW RH AE
مجن|M IY D AE N N
مجنون|M AE G N UW N
مجهر|M IY D HH AE RRR
مجوهرات|M UW D AE W HH AE RRR AE T
مجيء|M AE D IY Q
محا|M AE HH AE
محادث|M UW HH AE D IY TH
محادثة|M UW HH AE D IY TH AE
محار|M AE HH AE RRR
محارب|M UW HH AE RRR IY B
محاسبة|M UW HH AE S AE B AE
محاصر|M UW HH AE S IY RRR
محاصرة|M UW HH AE S AE RRR AE
محاضر|M UW HH AE D IY RRR
محاضرة|M UW HH AE D IY RRR AE
محافظ|M UW HH AE F IY DH
محافظة|M UW HH AE F IY DH AE
محاق|M UW HH AE K
محاكمة|M UW HH AE K AE M AE
محام|M UW HH AE M IY N
محاور|M UW HH AE W IY RRR
محايد|M UW HH AE Y IY D
محب|M UW HH IY B B
محبس|M IY HH B AE S
محبوس|M AE HH B UW S
محترف|M UW HH T AE RRR IY F
محجم|M IY HH D AE M
محجمة|M IY HH D AE M AE
محجوب|M AE HH D UW B
محدث|M UW HH AE D D IY TH
محدلة|M IY HH D AE L AE
محدود|M AE HH D UW D
محراب|M IY HH RRR AE B
محراث|M IY HH RRR AE TH
محرقة|M IY HH RRR AE K AE
محرك|M UW HH AE RRR RRR IY K
محسة|M IY HH AE S S AE
محسن|M UW HH S IY N
محشى|M UW HH AE SH SH AE N
محطة|M AE HH AE T T AE
محفظة|M IY HH F AE DH AE
محقق|M UH HH AA K K IH K
محل|M AE HH AE L L
محلي|M AE HH AE L L IY Y Y
محمد|M UW HH AE M M AE D
محمدة|M UW HH AE M M AE D AE
محمر|M UW HH AE M M AE RRR
محموم|M AE HH M UW M
محن|M IY HH AE N
محنة|M IY HH N AE
محول|M UW HH AE W W IY L
محى|M AE HH AE
محيص|M AE HH IY S
محيط|M UW HH IY T
محيل|M UW HH IY L
مخاض|M AE HH AE D
مخاط|M UW HH AE T
مخاطر|M AE HH AE T IY RRR
مخافة|M AE HH AE F AE
مخالف|M UW HH AE L IY F
مخبأ|M AE HH B AE Q
مخبر|M UW HH B IY RRR
مخبول|M AE HH B UW L
مختبر|M UW HH T AE B AE RRR
مختصر|M UW HH T AE S IY RRR
مختلف|M UW HH T AE L IY F
مخدر|M UW HH AE D D IY RRR
مخرج|M UW HH RRR IY D
مخرز|M IY HH RRR AE Z
مخرفة|M AE HH RRR AE F AE
مخروطي|M AE HH RRR UW T IY Y Y
مخصصات|M UW HH AE S S AE S AE T
مخصوص|M AE HH S UW S
مخض|M AE HH AE D AE
مخطئ|M UW HH T IY Q
مخطوب|M AE HH T UW B
مخطوطة|M AE HH T UW T AE
مخفر|M AE HH F AE RRR
مخلاة|M IY HH L AE HH
مخلة|M UW HH IY L L AE
مخلص|M UW HH L IY S
مخلوق|M AE HH L UW K
مخلوقات|M AE HH L UW K AE T
مخمل|M UW HH M AE L
مخنث|M UW HH AE N N AE TH
مخيط|M IY HH Y AE T
مخيم|M UW HH AE Y Y AE M
مداخل|M UW D AE HH IY L
مداخلة|M UW D AE HH AE L AE
مداد|M IY D AE D
مدافع|M AE D AE F IY RH
مدام|M UW D AE M
مداولة|M UW D AE W AE L AE
مداومة|M UW D AE W AE M AE
مدبر|M UW D AE B B IY RRR
مدة|M UW D D AE T AE
مدحلة|M IY D HH AE L AE
مدخن|M UW D AE HH HH IY N
مدرسة|M UW D AE RRR RRR IY S AE
مدرك|M UW D RRR IY K
مدع|M UW D D AE RH IY N
مدعى|M UW D D AE RH AE N
مدغشقر|M AE D AE HH AE SH K AE RRR
مدفأ|M IY D F AE Q
مدفأة|M IY D F AE Q AE
مدفع|M IY D F AE RH
مدق|M IY D AE K K
مدقة|M IY D AE K K AE
مدك|M IY D AE K K
مدلجة|M IY D L AE D AE
مدني|M AE D AE N IY Y Y
مدهش|M UW D HH IY SH
مدير|M UW D IY RRR
مديرة|M UW D IY RRR AE
مدينة|M AE D IY N AE
مذاق|M AE DH AE K
مذكر|M UW DH AE K K AE RRR
مذكرة|M UW DH AE K K IY RRR AE
مذهبي|M AE DH HH AE B IY Y Y
مذي|M AE DH IY
مذيع|M UW DH IY RH
مرآة|M IY RRR Q AE HH
مرأب|M AE RRR Q AE B
مرأة|M AE RRR Q AE
مراجع|M UW RRR AE D IY RH
مرادف|M UW RRR AE D IY F
مرارة|M AE RRR RRR AE RRR AE
مراري|M AE RRR AE RRR IY Y Y
مراسل|M UW RRR AE S IY L
مراغة|M AE RRR AE HH AE
مراكش|M UW RRR RRR AE K UW SH
مران|M UW RRR RRR AE N
مراهق|M UW RRR AE HH IY K
مراهقة|M UW RRR AE HH AE K AE
مراوغة|M UW RRR AE W AE HH AE
مربض|M AE RRR B IY D
مربوط|M AE RRR B UW T
مربى|M UW RRR AE B B AE
مرة|M UW RRR RRR AE
مرتبة|M AE RRR T AE B AE
مرتعب|M UW RRR T AE RH IY B
مرتفع|M UW RRR T AE F IY RH
مرجان|M AE RRR D AE N
مرجع|M AE RRR D IY RH
مرجل|M IY RRR D AE L
مرحاض|M IY RRR HH AE D
مرحبا|M AE RRR HH AE B AE
مرحلة|M AE RRR HH AE L AE
مرددوش|M AE RRR D AE D UW SH
مردقوش|M AE RRR D AE K UW SH
مردي|M UW RRR D IY Y Y
مرزبان|M AE RRR Z UW B AE N
مرزبة|M IY RRR Z AE B B AE
مرزنجوش|M AE RRR Z AE N D UW SH
مرسم|M AE RRR S AE M
مرسين|M AE RRR S IY N
مرش|M AE RRR SH
مرشة|M IY RRR AE SH SH AE
مرشد|M UW RRR SH IY D
مرصبان|M AE RRR S AE B AE N
مرصد|M AE RRR S AE D
مرطبان|M AE RRR T AE B AE N
مرفأ|M AE RRR F AE Q
مرفوع|M AE RRR F UW RH
مرقاق|M IY RRR K AE K
مرقة|M AE RRR AE K AE
مرقد|M AE RRR K AE D
مرقس|M AE RRR K UW S
مرقشيتا|M AE RRR K AE SH IY T AE
مرقشيثا|M AE RRR K AE SH IY TH AE
مرقص|M AE RRR K AE S
مركب|M UW RRR AE K K AE B
مرماخور|M AE RRR M AE HH UW RRR
مرند|M AE RRR AE N D
مرو|M AE RRR W
مروحة|M IY RRR W AE HH AE
مرور|M UW RRR UW RRR
مروض|M UW RRR AE W W IY D
مري|M UW RRR RRR IY
مريء|M AE RRR IY Q
مرية|M UW RRR Y AE
مريض|M AE RRR IY D
مريلة|M IY RRR Y AE L AE
مريم|M AE RRR Y AE M
مريمية|M AE RRR Y AE M IY Y Y AE
مرينة|M AE RRR IY N AE
مزاد|M AE Z AE D
مزبلة|M AE Z B AE L AE
مزج|M AE Z AE D AE
مزدهر|M UW Z D AE HH IY RRR
مزر|M IY Z RRR
مزرع|M AE Z RRR AE RH
مزرعة|M AE Z RRR AE RH AE
مزغل|M AE Z HH AE L
مزق|M AE Z Z AE K AE
مزمن|M UW Z M IY N
مزود|M UW Z AE W W IY D
مزورة|M UW Z AE W W AE RRR AE
مسؤول|M AE S Q UW L
مسؤولية|M AE S Q UW L IY Y Y AE
مسابقة|M UW S AE B AE K AE
مساحة|M IY S AE HH AE
مسار|M AE S AE RRR
مساطر|M AE S AE T IY RRR
مساعد|M UW S AE RH IY D
مساعدة|M UW S AE RH IY D AE
مسافة|M AE S AE F AE
مسافر|M UW S AE F IY RRR
مساهمة|M UW S AE HH AE M AE
مساواة|M UW S AE W AE HH
مساومة|M UW S AE W AE M AE
مستاجر|M UW S T AE Q D IY RRR
مستدير|M UW S T AE D IY RRR
مستشرق|M UW S T AE SH RRR IY K
مستشفى|M UW S T AE SH F AE N
مستطيل|M UW S T AE T IY L
مستطيلات|M UW S T T IY L AE T
مستعرب|M UW S T AE RH RRR IY B
مستفرغ|M UW S T AE F RRR IY HH
مستقبل|M UW S T AE G B AE L
مستقبلي|M UW S T AE K B AE L IY Y Y
مستقيم|M UW S T AE K IY M
مستند|M UW S T AE N AE D
مستنقع|M UW S T AE N K AE RH
مستنقعات|M UW S T AE N K AE RH AE T
مستهلك|M UW S T AE HH L IY K
مستوصف|M UW S T AE W S AE F
مستوقد|M UW S T AE W K AE D
مسجد|M AE S D IY D
مسجل|M UW S AE D D IY L
مسحق|M AE S HH AE K
مسخ|M AE S AE HH AE
مسد|M AE S S AE D AE
مسدس|M UW S AE D D AE S
مسرح|M AE S RRR AE HH
مسرحي|M AE S RRR AE HH IY Y Y
مسطار|M UW S T AE RRR
مسطح|M UW S AE T T AE HH
مسطرات|M IY S T AE RRR AE T
مسطرة|M IY S T AE RRR AE
مسعور|M AE S RH UW RRR
مسعى|M AE S RH AE N
مسقط|M AE S K AE T
مسكان|M UW S K AE N
مسكوكة|M AE S K UW K AE
مسكين|M IY S K IY N
مسلة|M IY S AE L L AE
مسلخ|M AE S L AE HH
مسلسل|M UW S AE L S IY L
مسلم|M UW S L IY M
مسلول|M AE S L UW L
مسمار|M IY S M AE RRR
مسموح|M AE S M UW HH
مسن|M UW S IY N N
مسود|M UW S W AE D D
مسى|M AE S AE
مسيح|M AE S IY HH
مسيحي|M AE S IY HH IY Y Y
مشأمة|M AE SH Q AE M AE HH
مشارة|M AE SH AE RRR AE
مشاعر|M AE SH AE RH IY RRR
مشانق|M AE SH AE N IY K
مشاهد|M UW SH AE HH IY D
مشاهدة|M UW SH AE HH AE D AE
مشاورة|M UW SH AE W AE RRR AE
مشاوير|M AE SH AE W IY RRR
مشاية|M AE SH SH AE Y AE
مشتاق|M UW SH T AE K
مشترك|M UW SH T AE RRR AE K
مشتريات|M UW SH T AE RRR AE Y AE T
مشجب|M IY SH D AE B
مشحذ|M IY SH HH AE DH
مشرب|M AE SH RRR AE B
مشربة|M IY SH RRR AE B AE
مشرع|M UW SH AE RRR RRR IY RH
مشرق|M AE SH RRR IY K
مشرقان|M AE SH RRR IY K AE N
مشرك|M UW SH RRR IY K
مشروع|M AE SH RRR UW RH
مشط|M UW SH T
مشعاع|M IY SH RH AE RH
مشعر|M AE SH RH AE RRR
مشعل|M IY SH RH AE L
مشغول|M AE SH HH UW L
مشقة|M AE SH AE K K AE
مشكل|M UW SH K IY L
مشكور|M AE SH K UW RRR
مشمش|M IY SH M IY SH
مشنة|M IY SH AE N N AE
مشهور|M AE SH HH UW RRR
مشواة|M IY SH W AE HH
مشوار|M IY SH W AE RRR
مشوه|M UW SH AE W W IY HH
