а|AA
невідворотний|N EH0 V IY D W AO RRR AO T N EH0 IY
невідкладний|N EH0 V IY D K L AA D N EH0 IY
невідомий|N EH0 V IY D AO M EH0 IY
невідповідний|N EH0 V IY D P AO V IY D N EH0 IY
невіста|N EH0 V IY S T AA
негайний|N EH0 AA IY N EH0 IY
негайно|N EH0 AA IY N AO
негативний|N EH0 AA T IH UW N EH0 IY
негативно|N EH0 AA T IH UW N AO
негура|N EH UH RRR AA
недавно|N EH0 D AA UW N AO
недавній|N EH0 D AA UW N IY IY
недвозначний|N EH0 D W AO Z N AA T N EH0 IY
недовіра|N EH0 D AO V IY RRR AA
недовірливий|N EH0 D AO V IY RRR L EH0 V EH0 IY
недоконаний|N EH0 D AO K AO N AA N EH0 IY
недолік|N EH0 D AO L IY K
недооцінити|N EH0 D AO AO T IY N IH T EH0
недооцінювати|N EH0 D AO OW0 T IY N UH V AA T EH0
недорозвинений|N EH0 D AO RRR AO Z V IH N EH0 N EH0 IY
недосвідчений|N EH0 D AO S V IY D T EH0 N EH0 IY
недосвідченість|N EH0 D AO S V IY D T EH0 N IY S T
недостатньо|N EH0 D AO S T AA T N AO
недостатній|N EH0 D AO S T AA T N IY IY
недостатність|N EH0 D AO S T AA T N IY S T
недоступний|N EH0 D OW0 S T UW P N EH0 IY
недоторканий|N EH0 D AO T AO RRR K AA N EH0 IY
недоторканний|N EH0 D AO T AO RRR K AA N EH0 IY
недільний|N EH0 D IY L N EH0 IY
неділя|N EH0 D IY L AA
неживий|N EH0 ZH EH0 V IH IY
нежуйні|N EH0 ZH UW IY N IY
незабаром|N EH0 Z AA B AA RRR AO M
незадоволений|N EH0 Z AA D AO W AO L EH0 N EH0 IY
незадоволення|N EH0 Z AA D AO W AO L EH0 N AA
незадовільний|N EH0 Z AA D AO V IY L N EH0 IY
незаконний|N EH0 Z AA K AO N EH0 IY
незалежний|N EH0 Z AA L EH ZH N EH0 IY
незалежносте|N EH0 Z AA L EH ZH N AO S T EH0
незалежности|N EH0 Z AA L EH ZH N AO S T EH0
незалежності|N EH0 Z AA L EH ZH N AO S T IY
незалежність|N EH0 Z AA L EH ZH N IY S T
незалежністю|N EH0 Z AA L EH ZH N IY S T UH
незамінний|N EH0 Z AA M IY N EH0 IY
незамінність|N EH0 Z AA M IY N IY S T
незахищений|N EH0 Z AA HH IH SH T EH0 N EH0 IY
незвичний|N EH0 Z V IH T N EH0 IY
незмінний|N EH0 Z M IY N EH0 IY
незнайомець|N EH0 Z N AA Y AO M EH0 T
незнайомка|N EH0 Z N AA Y AO M K AA
незнання|N EH0 Z N AA N AA
незручність|N EH0 Z RRR UW T N IY S T
незрівнянний|N EH0 Z RRR IY UW N AA N EH0 IY
неймовірний|N EH0 IY M AO V IY RRR N EH0 IY
неймовірно|N EH0 IY M AO V IY RRR N AO
нейробіологія|N EH IY RRR AO B IY AO L AO IY Y AA
нейтральний|N EH0 IY T RRR AA L N EH0 IY
нейтралізація|N EH0 IY T RRR AA L IY Z AA T IY Y AA
нейтралізувати|N EH0 IY T RRR AA L IY Z UH V AA T EH0
нейтралітет|N EH0 IY T RRR AA L IY T EH T
некультурний|N EH0 K UH L T UW RRR N EH0 IY
нелюб'язний|N EH0 L UH B Y AA Z N EH0 IY
нелінійний|N EH0 L IY N IY IY N EH0 IY
нема|N EH0 M AA
немилосердний|N EH0 M EH0 L AO S EH RRR D N EH0 IY
неминучий|N EH0 M EH0 N UW T EH0 IY
немовля|N EH0 M AO UW L AA
неможливий|N EH0 M AO ZH L IH V EH0 IY
ненавидіти|N EH0 N AA V EH0 D IY T EH0
ненависний|N EH0 N AA V EH0 S N EH0 IY
ненависть|N EH0 N AA V EH0 S T
ненавмисний|N EH0 N AA UW M IH S N EH0 IY
ненаголошений|N EH0 N AA AO L AO SH EH0 N EH0 IY
ненароджений|N EH0 N AA RRR AO D EH0 N EH0 IY
ненька|N EH N K AA
неньо|N EH N AO
неня|N EH N AA
необмежений|N EH0 AO B M EH ZH EH0 N EH0 IY
необхідний|N EH0 OW0 B HH IY D N EH0 IY
необхідність|N EH0 OW0 B HH IY D N IY S T
необґрунтований|AO B G RRR UH N T AO V AA N EH0 IY
неодмінний|N EH0 OW0 D M IY N EH0 IY
неодмінно|N EH0 OW0 D M IY N AO
неоніла|N EH0 OW0 N IY L AA
неорганічна|N EH0 AO RRR AA N IY T N AA
неорганічний|N EH0 AO RRR AA N IY T N EH0 IY
неофіційний|N EH0 AO F IY T IY IY N EH0 IY
непал|N EH0 P AA L
неперевершений|N EH0 P EH0 RRR EH0 V EH RRR SH EH0 N EH0 IY
непередбачений|N EH0 P EH0 RRR EH0 D B AA T EH0 N EH0 IY
неперервний|N EH0 P EH0 RRR EH RRR W N EH0 IY
неписьменний|N EH0 P EH0 S M EH N EH0 IY
неписьменність|N EH0 P EH0 S M EH N IY S T
непитущий|N EH0 P EH0 T UW SH T EH0 IY
неповага|N EH0 P AO V AA AA
непоганий|N EH0 P AO AA N EH0 IY
неподалік|N EH0 P AO D AA L IY K
неподільний|N EH0 P OW0 D IY L N EH0 IY
непокоїти|N EH0 P AO K AO Y IY T EH0
непомірний|N EH0 P OW0 M IY RRR N EH0 IY
непотрібний|N EH0 P OW0 T RRR IY B N EH0 IY
непохитний|N EH0 P AO HH IH T N EH0 IY
неправд|N EH0 P RRR AA UW D
неправда|N EH0 P RRR AA UW D AA
неправдам|N EH0 P RRR AA UW D AA M
неправдами|N EH0 P RRR AA UW D AA M EH0
неправдах|N EH0 P RRR AA UW D AA HH
неправди|N EH0 P RRR AA UW D EH0
неправдивий|N EH0 P RRR AA UW D IH V EH0 IY
неправдоподібний|N EH0 P RRR AA UW D AO P OW0 D IY B N EH0 IY
неправдою|N EH0 P RRR AA UW D AO Y UH
неправду|N EH0 P RRR AA UW D UH
неправді|N EH0 P RRR AA UW D IY
неправомірний|N EH0 P RRR AA W OW0 M IY RRR N EH0 IY
непривітний|N EH0 P RRR EH0 V IY T N EH0 IY
неприйнятний|N EH0 P RRR EH0 IY N AA T N IH IY
неприйнятність|N EH0 P RRR EH0 IY N AA T N IY S T
неприємний|N EH0 P RRR EH0 Y EH M N EH0 IY
нерв|N EH RRR V
нервуватися|N EH0 RRR W UH V AA T EH0 S AA
нерегулярний|N EH0 RRR EH0 UH L AA RRR N EH0 IY
нерегулярність|N EH0 RRR EH0 UH L AA RRR N IY S T
нерухомий|N EH0 RRR UH HH AO M EH0 IY
нерухомість|N EH0 RRR UH HH AO M IY S T
нерівність|N EH0 RRR IY UW N IY S T
нерідко|N EH0 RRR IY D K AO
нерішучий|N EH0 RRR IY SH UW T EH0 IY
нерішучість|N EH0 RRR IY SH UW T IY S T
несвідоме|N EH0 S V IY D AO M EH0
несвідомий|N EH0 S V IY D AO M EH0 IY
несвідомо|N EH0 S V IY D AO M AO
несерйозний|N EH0 S EH0 RRR AO Z N EH0 IY
нескладовий|N EH0 S K L AA D AO V IH IY
нескінченний|N EH0 S K IY N T EH N EH0 IY
несмачний|N EH0 S M AA T N IH IY
несподіваний|N EH0 S P OW0 D IY V AA N EH0 IY
несподіванка|N EH0 S P OW0 D IY V AA N K AA
неспокій|N EH0 S P AO K IY IY
несправедливий|N EH0 S P RRR AA V EH0 D L IH V EH0 IY
неспростовний|N EH0 S P RRR AO S T AO UW N EH0 IY
нестабільний|N EH0 S T AA B IY L N EH0 IY
нестабільність|N EH0 S T AA B IY L N IY S T
нестача|N EH0 S T AA T AA
нестерпний|N EH0 S T EH RRR P N EH0 IY
нести|N EH0 S T IH
несумісний|N EH0 S UH M IY S N EH0 IY
несумісність|N EH0 S UH M IY S N IY S T
нетерплячий|N EH0 T EH0 RRR P L AA T EH0 IY
нетерпіння|T EH0 RRR P IY N AA
нетиповий|N EH0 T EH0 P AO V EH0 IY
нетопир|N EH0 T AO P IH RRR
нетрадиційний|N EH0 T RRR AA D EH0 T IY IY N EH0 IY
неуважний|N EH0 UH V AA ZH N EH0 IY
неухильний|N EH0 UH HH IH L N EH0 IY
неформальний|N EH0 F AO RRR M AA L N EH0 IY
нечесний|N EH0 T EH S N EH0 IY
нечуваний|N EH0 T UW V AA N EH0 IY
нечутний|N EH0 T UW T N EH0 IY
нещасливий|N EH0 SH T AA S L IH V EH0 IY
нещасний|N EH0 SH T AA S N EH0 IY
нещастя|N EH0 SH T AA S T AA
нещирий|N EH0 SH T IH RRR EH0 IY
нещирість|N EH0 SH T IH RRR IY S T
нещодавно|N EH0 SH T AO D AA UW N AO
нещодавній|N EH0 SH T AO D AA UW N IY IY
неістота|N EH0 IY S T AO T AA
неї|N EH Y IY
неґура|N EH G UH RRR AA
нива|N IH V AA
нижній|N IH ZH N IY IY
нижчий|N IH ZH T EH0 IY
низ|N IH Z
низка|N IH Z K AA
низький|N EH0 Z K IH IY
ними|N IH M EH0
нині|N IH N IY
нинішній|N IH N IY SH N IY IY
нирка|N IH RRR K AA
ниркова|N EH0 RRR K AO V AA
нирковий|N EH0 RRR K AO V IH IY
нити|N IH T EH0
нитка|N IH T K AA
них|N IH HH
нищити|N IH SH T EH0 T EH0
новаторство|N AO V AA T AO RRR S T W AO
новаторський|N AO V AA T AO RRR S K EH0 IY
новела|N AO V EH L AA
новизна|N AO V EH0 Z N AA
новий|N AO V IH IY
новина|N AO V EH0 N AA
новини|N AO V IH N EH0
новорічний|N AO W OW0 RRR IY T N EH0 IY
новітній|N AO V IY T N IY IY
нога|N AO AA
ножиці|N AO ZH EH0 T IY
ножовий|N AO ZH AO V IH IY
номенклатура|N AO M EH0 N K L AA T UW RRR AA
номенклатурний|N AO M EH0 N K L AA T UW RRR N EH0 IY
номенклатурні|N AO M EH0 N K L AA T UW RRR N IY
номер|N AO M EH0 RRR
номінальний|N AO M IY N AA L N EH0 IY
норвегія|N AO RRR V EH IY Y AA
норвежець|N AO RRR V EH ZH EH0 T
норвежка|N AO RRR V EH ZH K AA
норвезький|N AO RRR V EH Z K EH0 IY
норма|N AO RRR M AA
нормальний|N AO RRR M AA L N EH0 IY
нормальність|N AO RRR M AA L N IY S T
нормалізація|N AO RRR M AA L IY Z AA T IY Y AA
нормалізувати|N AO RRR M AA L IY Z UH V AA T EH0
носилки|N AO S IH L K EH0
носити|N AO S IH T EH0
носоріг|N AO S OW0 RRR IY
ностальгувати|N AO S T AA L UH V AA T EH0
ностальгія|N AO S T AA L IY Y AA
нотувати|N AO T UH V AA T EH0
ночвах|N AO T V AA HH
ночви|N AO T V EH0
ночі|N AO T IY
ноша|N AO SH AA
ноші|N AO SH IY
нудний|N UH D N IH IY
нудно|N UW D N AO
нудота|N UH D AO T AA
нудьга|N UH D AA
нудьгувати|N UH D UH V AA T EH0
нуль|N UW L
нумограй|N UH M AO RRR AA IY
нутрощі|N UW T RRR AO SH T IY
нього|N AO AO
нюанс|N UH AA N S
нюх|N UW HH
нюхати|N UW HH AA T EH0
нянів|N AA N IY UW
ні|N IY
нігер|N IY EH0 RRR
ніготь|N IY AO T
ніде|N IY D EH
нідерланди|N IY D EH0 RRR L AA N D EH0
нідерландський|N IY D EH0 RRR L AA N D S K EH0 IY
ніж|N IY ZH
ніжний|N IY ZH N EH0 IY
ніздре|N IY Z D RRR EH0
ніздрею|N IY Z D RRR EH0 Y UH
ніздрю|N IY Z D RRR UH
ніздря|N IY Z D RRR AA
ніздрям|N IY Z D RRR AA M
ніздрями|N IY Z D RRR AA M EH0
ніздрях|N IY Z D RRR AA HH
ніздрі|N IY Z D RRR IY
ніздрів|N IY Z D RRR IY UW
ній|N IY IY
нікарагуа|N IY K AA RRR AA UH AA
ніколи|N IY K AO L EH0
німа|N IY M AA
німець|N IY M EH0 T
німецька|N IY M EH T K AA
німецький|N IY M EH T K EH0 IY
німецькомовний|N IY M EH0 T K AO M AO UW N EH0 IY
німеччина|N IY M EH T EH0 N AA
німий|N IY M IH IY
німка|N IY M K AA
ніс|N IY S
ніхто|N IY HH T AO
ніч|N IY T
нічий|N IY T IH IY
нічия|N IY T EH0 Y AA
нічиє|N IY T EH0 Y EH
нічиї|N IY T EH0 Y IY
нічліг|N IY T L IY
нічний|N IY T N IH IY
нічо|N IY T AO
ніщо|N IY SH T AO
о|AO
об'єднання|AO B Y EH D N AA N AA
об'єднати|AO B Y EH0 D N AA T EH0
об'єднувати|AO B Y EH D N UH V AA T EH0
об'єкт|AO B Y EH K T
об'єктивний|AO B Y EH0 K T IH UW N EH0 IY
об'єм|AO B Y EH M
об'ємний|AO B Y EH M N EH0 IY
обговорення|AO B AO W AO RRR EH0 N AA
обговорити|AO B AO W AO RRR IH T EH0
обговорювати|AO B AO W AO RRR UH V AA T EH0
обдарований|AO B D AA RRR AO V AA N EH0 IY
обдаровувати|AO B D AA RRR AO W UH V AA T EH0
обдарувати|AO B D AA RRR UH V AA T EH0
обдумати|OW0 B D UW M AA T EH0
обдумувати|OW0 B D UW M UH V AA T EH0
обдурити|AO B D UH RRR IH T EH0
обдурювати|OW0 B D UW RRR UH V AA T EH0
обеззброювати|AO B EH0 Z B RRR AO Y UH V AA T EH0
обеззброїти|AO B EH0 Z B RRR AO Y IY T EH0
оберегти|AO B EH0 RRR EH0 T IH
обережний|AO B EH0 RRR EH ZH N EH0 IY
обережно|AO B EH0 RRR EH ZH N AO
обережність|AO B EH0 RRR EH ZH N IY S T
оберігати|AO B EH0 RRR IY AA T EH0
обирати|AO B EH0 RRR AA T EH0
обладнання|AO B L AA D N AA N AA
обладнати|AO B L AA D N AA T EH0
обладнувати|AO B L AA D N UH V AA T EH0
область|AO B L AA S T
обличчя|AO B L IH T AA
обманути|AO B M AA N UW T EH0
обманювати|AO B M AA N UH V AA T EH0
обмежений|AO B M EH ZH EH0 N EH0 IY
обмеженню|AO B M EH ZH EH0 N UH
обмеження|AO B M EH ZH EH0 N AA
обмеженням|AO B M EH ZH EH0 N AA M
обмеженнями|AO B M EH ZH EH0 N AA M EH0
обмеженнях|AO B M EH ZH EH0 N AA HH
обмеженні|AO B M EH ZH EH0 N IY
обмежень|AO B M EH ZH EH0 N
обмежити|AO B M EH ZH EH0 T EH0
обмежувати|AO B M EH ZH UH V AA T EH0
обмін|AO B M IY N
обмірковувати|AO B M IY RRR K AO W UH V AA T EH0
обміркувати|AO B M IY RRR K UH V AA T EH0
обов'язковий|AO B AO V Y AA Z K AO V EH0 IY
обов'язково|AO B AO V Y AA Z K AO W AO
обов'язок|AO B AO V Y AA Z AO K
обожнювати|AO B AO ZH N UH V AA T EH0
обопільний|AO B OW0 P IY L N EH0 IY
оборона|AO B AO RRR AO N AA
оборонити|AO B AO RRR AO N IH T EH0
обороняти|AO B AO RRR AO N AA T EH0
ображати|AO B RRR AA ZH AA T EH0
образ|AO B RRR AA Z
образити|AO B RRR AA Z EH0 T EH0
образливий|AO B RRR AA Z L EH0 V EH0 IY
образний|AO B RRR AA Z N EH0 IY
обрати|AO B RRR AA T EH0
обрус|AO B RRR UH S
обсерваторія|AO B S EH0 RRR V AA T AO RRR IY Y AA
обставина|AO B S T AA V EH0 N AA
обстежити|AO B S T EH ZH EH0 T EH0
обстежувати|AO B S T EH ZH UH V AA T EH0
обсяг|AO B S AA
обурення|OW0 B UW RRR EH0 N AA
обчислити|AO B T IH S L EH0 T EH0
обчислювати|AO B T IH S L UH V AA T EH0
обшук|AO B SH UH K
обшукати|AO B SH UH K AA T EH0
обшукувати|OW0 B SH UW K UH V AA T EH0
обід|AO B IY D
обідати|OW0 B IY D AA T EH0
обідній|AO B IY D N IY IY
обіцянка|AO B IY T AA N K AA
обіцяти|AO B IY T AA T EH0
обґрунтований|AO B G RRR UH N T AO V AA N EH0 IY
обґрунтовувати|AO B G RRR UH N T AO W UH V AA T EH0
обґрунтувати|AO B G RRR UH N T UH V AA T EH0
овес|AO V EH S
оволодівати|AO W AO L AO D IY V AA T EH0
оволодіти|AO W AO L OW0 D IY T EH0
овоч|AO W AO T
овочевий|AO W AO T EH V EH0 IY
овощ|AO W AO SH T
овід|AO V IY D
огайо|AO AA Y AO
огидливий|AO IH D L EH0 V EH0 IY
огидний|AO IH D N EH0 IY
огляд|AO L AA D
оглядати|AO L AA D AA T EH0
оглядини|AO L AA D EH0 N EH0
оглянути|AO L AA N UH T EH0
оголосити|AO AO L AO S IH T EH0
оголошення|AO AO L AO SH EH0 N AA
оголошувати|AO AO L AO SH UH V AA T EH0
огірок|AO IY RRR AO K
одежа|AO D EH ZH AA
оден|AO D EH N
одержати|AO D EH RRR ZH AA T EH0
одержувати|AO D EH RRR ZH UH V AA T EH0
одержувач|AO D EH RRR ZH UH V AA T
одержувача|AO D EH RRR ZH UH V AA T AA
одержувачка|AO D EH RRR ZH UH V AA T K AA
одержувачів|AO D EH RRR ZH UH V AA T IY UW
одеса|AO D EH S AA
один|AO D IH N
одинадцятий|AO D EH0 N AA D T AA T EH0 IY
одинадцять|AO D EH0 N AA D T AA T
одна|AO D N AA
однина|AO D N EH0 N AA
одно|AO D N AO
одноголосний|AO D N AO AO L AO S N EH0 IY
однозначний|AO D N AO Z N AA T N EH0 IY
однозначно|AO D N AO Z N AA T N AO
однокласник|AO D N AO K L AA S N EH0 K
однокласниця|AO D N AO K L AA S N EH0 T AA
одноманітний|AO D N AO M AA N IY T N EH0 IY
одномовний|AO D N AO M AO UW N EH0 IY
одномовність|AO D N AO M AO UW N IY S T
одноокий|AO D N AO AO K EH0 IY
одноплемінник|AO D N AO P L EH0 M IY N EH0 K
одноповерховий|AO D N AO P AO V EH0 RRR HH AO V EH0 IY
одностатевий|AO D N AO S T AA T EH V EH0 IY
одночасний|AO D N AO T AA S N EH0 IY
одночасно|AO D N AO T AA S N AO
одночасність|AO D N AO T AA S N IY S T
одношлюбний|AO D N OW0 SH L UW B N EH0 IY
одношлюбність|AO D N OW0 SH L UW B N IY S T
одружуватися|OW0 D RRR UW ZH UH V AA T EH0 S AA
одуд|AO D UH D
одужати|OW0 D UW ZH AA T EH0
одужувати|OW0 D UW ZH UH V AA T EH0
одяг|AO D AA
одягати|AO D AA AA T EH0
одягатися|AO D AA AA T EH0 S AA
одягнути|AO D AA N UW T EH0
одягти|AO D AA T IH
ожина|AO ZH IH N AA
озброювати|AO Z B RRR AO Y UH V AA T EH0
озброїти|AO Z B RRR AO Y IY T EH0
озеро|AO Z EH0 RRR AO
озерце|AO Z EH RRR T EH0
озимий|AO Z IH M EH0 IY
озимі|AO Z IH M IY
ознайомлення|AO Z N AA Y AO M L EH0 N AA
ознака|AO Z N AA K AA
означати|AO Z N AA T AA T EH0
океан|AO K EH0 AA N
око|AO K AO
окремий|AO K RRR EH M EH0 IY
окрім|OW0 K RRR IY M
окріп|OW0 K RRR IY P
оксамит|AO K S AA M IH T
оксана|AO K S AA N AA
окуляри|AO K UH L AA RRR EH0
окупант|AO K UH P AA N T
окупаційний|AO K UH P AA T IY IY N EH0 IY
окупація|AO K UH P AA T IY Y AA
окупувати|AO K UH P UH V AA T EH0
оладка|AO L AA D K AA
оладок|AO L AA D AO K
олег|AO L EH
олександр|AO L EH0 K S AA N D RRR
олена|AO L EH N AA
