'k|AH0 K
kruisen|K RRR ER Y UW1 S AH0 N
kruiser|K RRR ER Y UW1 S AH0 RRR
kruising|K RRR ER Y UW1 S IH NG
kruiskerk|K RRR ER Y UW1 S K EH RRR K
kruispunt|K RRR ER Y UW1 S P N T
kruispuntdenken|K RRR ER Y UW1 S P N T D EH NG K AH0 N
kruisraket|K RRR ER Y UW1 S RRR AE K EH T
kruisridder|K RRR ER Y UW1 S RRR IH D AH0 RRR
kruistocht|K RRR ER Y UW1 S T AO HH T
kruisvaarder|K RRR ER Y UW1 S F AE RRR D AH0 RRR
kruisvaart|K RRR ER Y UW1 S F AE RRR T
kruisverwijzing|K RRR ER Y UW1 S F EH RRR V EH IY Z IH NG
kruisvormig|K RRR ER Y UW1 S V AO RRR M AH0 HH
kruitschip|K RRR ER Y UW1 T S HH IH P
kruitslijm|K RRR ER Y UW1 T S L EH IY M
kruiven|K RRR ER Y UW1 V AH0 N
kruiwagen|K RRR ER Y UW1 V AE HH AH0 N
kruiwiel|K RRR ER Y UW1 V IY L
kruk|K RRR K
krukas|K RRR K AA S
krul|K RRR L
krulhaar|K RRR L AE RRR
krullen|K RRR L AH0 N
krullerig|K RRR L AH0 RRR AH0 HH
krullig|K RRR L AH0 HH
krulsla|K RRR L S L AE
krulspeld|K RRR L S P EH L T
krultang|K RRR L T AA NG
kryoturbatie|K RRR IY OW0 T RRR B AE T S IY
krypton|K RRR IH P T AO N
kubiekwortel|K Y UW1 B IY K V AO RRR T AH0 L
kudde|K D AH0
kuddedier|K D AH0 D IY RRR
kuieren|K ER Y UW1 AH0 RRR AH0 N
kuif|K ER Y UW1 F
kuifeend|K ER Y UW1 F EH0 N T
kuifleeuwerik|K ER Y UW1 F L EH0 UW AH0 RRR IH K
kuifmakaak|K ER Y UW1 F M AE K AE K
kuifmees|K ER Y UW1 F M EH0 S
kuifpinguïn|K ER Y UW1 F P IH NG G V IH N
kuijpers|K ER Y UW1 P AH0 RRR S
kuiken|K ER Y UW1 K AH0 N
kuil|K ER Y UW1 L
kuip|K ER Y UW1 P
kuiper|K ER Y UW1 P AH0 RRR
kuiperin|K ER Y UW1 P AH0 RRR IH N
kuipers|K ER Y UW1 P AH0 RRR S
kuipstoel|K ER Y UW1 P S T UW L
kuis|K ER Y UW1 S
kuisheidsgordel|K ER Y UW1 S EH IY T S HH AO RRR D AH0 L
kuisvrouw|K ER Y UW1 S F RRR AA UW
kuit|K ER Y UW1 T
kuitbeen|K ER Y UW1 T B EH0 N
kuitenparade|K ER Y UW1 T AH0 N P AE RRR AE D AH0
kukeleku|K Y UW1 K AH0 L AH0 K Y UW1
kul|K L
kummel|K M AH0 L
kun|K N
kunde|K N D AH0
kunnen|K N AH0 N
kunst|K N S T
kunstboter|K N S T B OW0 T AH0 RRR
kunstgebit|K N S T HH AH0 B IH T
kunstgras|K N S T HH RRR AA S
kunstgreep|K N S T HH RRR EH0 P
kunsthars|K N S T AA RRR S
kunsthaven|K N S T AE V AH0 N
kunsthistorie|K N S T IH S T OW0 RRR IY
kunstlicht|K N S T L IH HH T
kunstmaan|K N S T M AE N
kunstmens|K N S T M EH N S
kunstmest|K N S T M EH S T
kunstmestzak|K N S T M EH S T Z AA K
kunstmestzakken|K N S T M EH S T S AA K AH0 N
kunstmoeder|K N S T M UW D AH0 RRR
kunstmuseum|K N S T M Y UW1 Z EH0 M
kunstnier|K N S T N IY RRR
kunstpenis|K N S T P EH0 N IH S
kunstrechter|K N S T RRR EH HH T AH0 RRR
kunstrechterlijk|K N S T RRR EH HH T AH0 RRR L AH0 K
kunstschat|K N S T S HH AA T
kunststof|K N S T AO F
kunststoffen|K N S T AO F AH0 N
kunstvlieg|K N S T F L IY HH
kunstvliegen|K N S T F L IY HH AH0 N
kunstvoorwerp|K N S T F OW0 RRR V EH RRR P
kunstvorm|K N S T F AO RRR M
kunstwerk|K N S T V EH RRR K
kuras|K Y UW1 RRR AA S
kurassier|K Y UW1 RRR AA S IY RRR
kuren|K Y UW1 RRR AH0 N
kurk|K RRR K
kurkdroog|K RRR K D RRR OW0 HH
kurkentrekker|K RRR K AH0 N T RRR EH K AH0 RRR
kus|K S
kushand|K S AA N T
kussen|K S AH0 N
kussengevecht|K S AH0 N HH AH0 V EH HH T
kussensloop|K S AH0 N S L OW0 P
kust|K S T
kustgebergte|K S T HH AH0 B EH RRR HH T AH0
kustlinie|K S T L IY N IY
kustplaats|K S T P L AE T S
kuststaat|K S S T AE T
kustverdediging|K S T F EH RRR D EH0 D AH0 HH IH NG
kustwater|K S T V AE T AH0 RRR
kut|K T
kutjebef|K T Y AH0 B EH F
kutkind|K T K IH N T
kutlul|K T L L
kutscheet|K T S HH EH0 T
kutzwager|K T S V AE HH AH0 RRR
kuur|K Y UW1 RRR
kwaad|K V AE T
kwaakschool|K V AE K S HH OW0 L
kwab|K V AA P
kwadraat|K V AE D RRR AE T
kwadraatschrift|K V AE D RRR AE T S HH RRR IH F T
kwak|K V AA K
kwakdenken|K V AA K D EH NG K AH0 N
kwakkel|K V AA K AH0 L
kwakkelen|K V AA K AH0 L AH0 N
kwakman|K V AA K M AA N
kwakzalver|K V AA K S AA L V AH0 RRR
kwakzalverij|K V AA K S AA L V AH0 RRR EH IY
kwalijk|K V AE L AH0 K
kwalijke|K V AE L AH0 K AH0
kwalijker|K V AE L AH0 K AH0 RRR
kwaliteit|K V AE L IY T EH IY T
kwantiteit|K V AA N T IY T EH IY T
kwantum|K V AA N T M
kwantummechanica|K V AA N T M M EH0 HH AE N IY K AE
kwantumverstrengeling|K V AA N T M V EH RRR S T RRR EH NG AH0 L IH NG
kwark|K V AA RRR K
kwarktaart|K V AA RRR K T AE RRR T
kwarrelig|K V AA RRR AH0 L AH0 HH
kwart|K V AA RRR T
kwartaal|K V AA RRR T AE L
kwarteeuw|K V AA RRR T EH0 UW
kwartel|K V AA RRR T AH0 L
kwartelkoning|K V AA RRR T AH0 L K OW0 N IH NG
kwartet|K V AA RRR T EH T
kwartfinale|K V AA RRR T F IY N AE L AH0
kwartier|K V AA RRR T IY RRR
kwartierdrager|K V AA RRR T IY RRR D RRR AE HH AH0 RRR
kwartierstaat|K V AA RRR T IY RRR S T AE T
kwartje|K V AA RRR T Y AH0
kwartslagen|K V AA RRR T S L AE HH AH0 N
kwasi|K V AE Z IY
kwast|K V AA S T
kwastvinnige|K V AA S T F IH N AH0 HH AH0
kweekbak|K V EH0 K B AA K
kweekhuis|K V EH0 K ER Y UW1 S
kweekprogramma|K V EH0 K P RRR OW0 HH RRR AA M AE
kweekschool|K V EH0 K S HH OW0 L
kweekvijver|K V EH0 K F EH IY V AH0 RRR
kweekvis|K V EH0 K F IH S
kween|K V EH0 N
kweern|K V EH0 RRR N
kweken|K V EH0 K AH0 N
kwekerij|K V EH0 K AH0 RRR EH IY
kwelder|K V EH L D AH0 RRR
kwelduivel|K V EH L D ER Y UW1 V AH0 L
kwelgeest|K V EH L HH EH0 S T
kwelspel|K V EH L S P EH L
kwestie|K V EH S T IY
kwetsbaar|K V EH T S B AE RRR
kwetsbaarheid|K V EH T S B AE RRR EH IY T
kwetsen|K V EH T S AH0 N
kwezel|K V EH0 Z AH0 L
kwibus|K V IY B S
kwiek|K V IY K
kwijl|K V EH IY L
kwijlen|K V EH IY L AH0 N
kwijtschelden|K V EH IY T S HH EH L D AH0 N
kwijtschelding|K V EH IY T S HH EH L D IH NG
kwik|K V IH K
kwikstaart|K V IH K S T AE RRR T
kwikzilver|K V IH K Z IH L V AH0 RRR
kwint|K V IH N T
kwintet|K V IH N T EH T
kwispedoor|K V IH S P AH0 D OW0 RRR
kwispel|K V IH S P AH0 L
kwispelen|K V IH S P AH0 L AH0 N
kwispelstaart|K V IH S P AH0 L S T AE RRR T
kwispelstaarten|K V IH S P AH0 L S T AE RRR T AH0 N
kwistig|K V IH S T AH0 HH
kwitantie|K V IY T AA N T S IY
l|EH L
la|L AE
laadpaal|L AE T P AE L
laadpaalklever|L AE T P AE L K L EH0 V AH0 RRR
laadtijd|L AE T EH IY T
laag|L AE HH
laagdrempelig|L AE HH D RRR EH M P AH0 L AH0 HH
laaggebergte|L AE HH AH0 B EH RRR HH T AH0
laagseizoen|L AE HH S EH IY Z UW N
laagspanning|L AE HH S P AA N IH NG
laagste|L AE HH S T AH0
laaien|L AE IY AH0 N
laaiend|L AE IY AH0 N T
laan|L AE N
laars|L AE RRR S
laarst|L AE RRR S T
laarzen|L AE RRR Z AH0 N
laat|L AE T
laatbloeier|L AE T B L UW IY AH0 RRR
laatst|L AE T S T
laatste|L AE T S T AH0
laatstejaars|L AE T S T AH0 Y AE RRR S
laatstejaarsstudent|L AE T S T AH0 Y AE RRR S S T Y UW1 D EH N T
laatwijk|L AE T V EH IY K
labbekak|L AA B AH0 K AA K
labber|L AA B AH0 RRR
labberkoelte|L AA B AH0 RRR K UW L T AH0
label|L EH0 B AH0 L
labeur|L AE B OE RRR
laborant|L AE B OW0 RRR AA N T
labradoedel|L AE B RRR AE D UW D AH0 L
labyrint|L AE B IY RRR IH N T
lach|L AA HH
lachen|L AA HH AH0 N
lacherig|L AA HH AH0 RRR AH0 HH
lachgas|L AA HH AA S
lachspiegel|L AA HH S P IY HH AH0 L
lacht|L AA HH T
lachvalk|L AA HH F AA L K
lactase|L AA K T AE Z AH0
lactoscoop|L AA K T OW0 S K OW0 P
lactose|L AA K T OW0 Z AH0
ladang|L AE D AA NG
ladder|L AA D AH0 RRR
ladderwagen|L AA D AH0 RRR V AE HH AH0 N
ladderzat|L AA D AH0 RRR Z AA T
lade|L AE D AH0
ladekast|L AE D AH0 K AA S T
laden|L AE D AH0 N
ladenkast|L AE D AH0 N K AA S T
lader|L AE D AH0 RRR
lafenis|L AE F AH0 N IH S
lafhartig|L AA F AA RRR T AH0 HH
lag|L AA HH
lagelonenland|L AE HH AH0 L OW0 N AH0 N L AA N T
lager|L AE HH AH0 RRR
lagerwal|L AE HH AH0 RRR V AA L
lagune|L AE HH Y UW1 N AH0
lak|L AA K
lakdoek|L AA K D UW K
lakei|L AE K EH IY
laken|L AE K AH0 N
lakenhandel|L AE K AH0 N AA N D AH0 L
lakenhandelaar|L AE K AH0 N AA N D AH0 L AE RRR
lakenlood|L AE K AH0 N L OW0 T
lakken|L AA K AH0 N
lakmoes|L AA K M UW S
lakmoespapier|L AA K M UW S P AE P IY RRR
lam|L AA M
lama|L AE M AE
lamantijn|L AE M AA N T EH IY N
lamaïsme|L AE M AE IH S M AH0
lamlendig|L AA M L EH N D AH0 HH
lammers|L AA M AH0 RRR S
lamoen|L AE M UW N
lamp|L AA M P
lampenkap|L AA M P AH0 N K AA P
lampet|L AA M P EH T
lampetkan|L AA M P EH T K AA N
lamplicht|L AA M P L IH HH T
lampolie|L AA M P OW0 L IY
lamprei|L AA M P RRR EH IY
lamsvlees|L AA M S F L EH0 S
lamzak|L AA M Z AA K
lanceren|L AA N S EH0 RRR AH0 N
land|L AA N T
landaanwinning|L AA N T AE N V IH N IH NG
landadel|L AA N T AE D AH0 L
landbouw|L AA N T B AA UW
landbouwgif|L AA N T B AA UW HH IH F
landbouwkunde|L AA N T B AA UW K N D AH0
landbouwsector|L AA N T B AA UW S EH K T AO RRR
landbries|L AA N T B RRR IY S
landdrost|L AA N T D RRR AO S T
lande|L AA N D AH0
landelijk|L AA N D AH0 L AH0 K
landen|L AA N D AH0 N
landgoed|L AA N T HH UW T
landgraaf|L AA N T HH RRR AE F
landgrens|L AA N T HH RRR EH N S
landhuis|L AA N T ER Y UW1 S
landing|L AA N D IH NG
landingsgestel|L AA N D IH NG S HH AH0 S T EH L
landinwaarts|L AA N T IH N V AE RRR T S
landjuweel|L AA N T Y Y UW1 V EH0 L
landkaart|L AA N T K AE RRR T
landleeuw|L AA N T L EH0 UW
landleger|L AA N T L EH0 HH AH0 RRR
landloper|L AA N T L OW0 P AH0 RRR
landloperij|L AA N T L OW0 P AH0 RRR EH IY
landmacht|L AA N T M AA HH T
landman|L AA N T M AA N
landmeter|L AA N T M EH0 T AH0 RRR
landmijn|L AA N T M EH IY N
landnaam|L AA N T N AE M
landname|L AA N T N AE M AH0
landnummer|L AA N T N M AH0 RRR
landouw|L AA N D AA UW
landras|L AA N T RRR AA S
landroofdier|L AA N T RRR OW0 F D IY RRR
landrot|L AA N T RRR AO T
landschap|L AA N T S HH AA P
landsdeel|L AA N T S D EH0 L
landsgrens|L AA N T S HH RRR EH N S
landskind|L AA N T S K IH N T
landsknecht|L AA N T S K N EH HH T
landsnaam|L AA N T S N AE M
landstorm|L AA N T S T AO RRR M
landstreek|L AA N T S T RRR EH0 K
landtong|L AA N T AO NG
landverhuizen|L AA N T F EH RRR ER Y UW1 Z AH0 N
landverhuizer|L AA N T F EH RRR ER Y UW1 Z AH0 RRR
landverhuizing|L AA N T F EH RRR ER Y UW1 Z IH NG
landverraad|L AA N T F EH RRR AE T
landverrader|L AA N T F EH RRR AE D AH0 RRR
landzaat|L AA N T S AE T
lang|L AA NG
langdradig|L AA NG D RRR AE D AH0 HH
lange|L AA NG AH0
langeafstandsrenner|L AA NG AH0 AA F S T AA N T S RRR EH N AH0 RRR
langeafstandswandelaar|L AA NG AH0 AA F S T AA N T S V AA N D AH0 L AE RRR
langerak|L AA NG AH0 RRR AA K
langharig|L AA NG AE RRR AH0 HH
langhuis|L AA NG ER Y UW1 S
langlaufen|L AA NG L AA UW F AH0 N
langnek|L AA NG N EH K
langoest|L AA NG HH UW S T
langoor|L AA NG OW0 RRR
langpootmug|L AA NG P OW0 T M HH
langs|L AA NG S
langspeelplaat|L AA NG S P EH0 L P L AE T
langstudeerder|L AA NG S T Y UW1 D EH0 RRR D AH0 RRR
langszij|L AA NG S EH IY
langtong|L AA NG T AO NG
langwerpig|L AA NG V EH RRR P AH0 HH
langzaam|L AA NG Z AE M
langzwaard|L AA NG Z V AE RRR T
lankmoed|L AA NG K M UW T
lankmoedig|L AA NG K M UW D AH0 HH
lankmoedigheid|L AA NG K M UW D AH0 HH EH IY T
lans|L AA N S
lansier|L AA N S IY RRR
lansknecht|L AA N S K N EH HH T
lanskorporaal|L AA N S K AO RRR P OW0 RRR AE L
lantaarn|L AA N T AE RRR N
lantaarnpaal|L AA N T AE RRR N P AE L
lanterfanten|L AA N T AH0 RRR F AA N T AH0 N
lap|L AA P
lapjeskat|L AA P Y AH0 S K AA T
lapland|L AA P L AA N T
laplanduil|L AA P L AA N T ER Y UW1 L
lapmiddel|L AA P M IH D AH0 L
lappen|L AA P AH0 N
lappendeken|L AA P AH0 N D EH0 K AH0 N
laptop|L EH P T AO P
lapzalven|L AA P Z AA L V AH0 N
larf|L AA RRR F
larie|L AE RRR IY
lariekoek|L AE RRR IY K UW K
lars|L AA RRR S
larve|L AA RRR V AH0
laser|L EH0 Z AH0 RRR
lassen|L AA S AH0 N
lasso|L AA S OW0
lassoën|L AA S OW0 AH0 N
last|L AA S T
lastdier|L AA S D IY RRR
lasten|L AA S T AH0 N
lastercampagne|L AA S T AH0 RRR K AA M P AA N Y AH0
lasteren|L AA S T AH0 RRR AH0 N
lasterlijk|L AA S T AH0 RRR L AH0 K
lasterveldtocht|L AA S T AH0 RRR V EH L T AO HH T
lastig|L AA S T AH0 HH
lastpak|L AA S T P AA K
lastpost|L AA S T P AO S T
lastschip|L AA S T S HH IH P
lat|L AA T
late|L AE T AH0
latei|L AA T EH IY
laten|L AE T AH0 N
later|L AE T AH0 RRR
latijns|L AE T EH IY N S
lattenbodem|L AA T AH0 N B OW0 D AH0 M
latuw|L AE T Y UW1 UW
laura|L AA UW RRR AE
laurens|L AA UW RRR AH0 N S
laurier|L AA UW RRR IY RRR
laurierblad|L AA UW RRR IY RRR B L AA T
laurierkrans|L AA UW RRR IY RRR K RRR AA N S
lauw|L AA UW
lauwer|L AA UW AH0 RRR
lauwerblad|L AA UW AH0 RRR B L AA T
lauwerkrans|L AA UW AH0 RRR K RRR AA N S
lauwheid|L AA UW EH IY T
lauwwarm|L AA UW V AA RRR M
lavalamp|L AE V AE L AA M P
lavement|L AE V AH0 M EH N T
lavementspuit|L AE V AH0 M EH N T S P ER Y UW1 T
lavendel|L AE V EH N D AH0 L
lawine|L AE V IY N AH0
lazaret|L AE Z AE RRR EH T
lease|L IY S
lebberen|L EH B AH0 RRR AH0 N
ledeboeriaan|L EH0 D AH0 B UW RRR IY AE N
ledebraken|L EH0 D AH0 B RRR AE K AH0 N
ledemaat|L EH0 D AH0 M AE T
ledenbestand|L EH0 D AH0 N B AH0 S T AA N T
ledenpop|L EH0 D AH0 N P AO P
leder|L EH0 D AH0 RRR
lederhose|L EH0 D AH0 RRR OW0 Z AH0
ledig|L EH0 D IH HH
ledigen|L EH0 D AH0 HH AH0 N
ledikant|L EH0 D IY K AA N T
ledlamp|L EH T L AA M P
leedvermaak|L EH0 T F AH0 RRR M AE K
leedwezen|L EH0 T V EH0 Z AH0 N
leefgebied|L EH0 F HH AH0 B IY T
leefmilieu|L EH0 F M IH L Y OE
leeftijd|L EH0 F T EH IY T
leeftocht|L EH0 F T AO HH T
leeg|L EH0 HH
leeghoofd|L EH0 HH OW0 F T
leeghoofdig|L EH0 HH OW0 F D AH0 HH
leegloop|L EH0 HH L OW0 P
leegstand|L EH0 HH S T AA N T
leegste|L EH0 HH S T AH0
leegwater|L EH0 HH V AE T AH0 RRR
leek|L EH0 K
leemsoort|L EH0 M S OW0 RRR T
leen|L EH0 N
leendert|L EH0 N D AH0 RRR T
leenverhef|L EH0 N V EH RRR EH F
leenvertaling|L EH0 N V AH0 RRR T AE L IH NG
leenwoord|L EH0 N V OW0 RRR T
leenwoordenschat|L EH0 N V OW0 RRR D AH0 N S HH AA T
leer|L EH0 RRR
leerachterstand|L EH0 RRR AA HH T AH0 RRR S T AA N T
leerdam|L EH0 RRR D AA M
leergang|L EH0 RRR HH AA NG
leergeld|L EH0 RRR HH EH L T
leerjongen|L EH0 RRR Y AO NG AH0 N
leerkracht|L EH0 RRR K RRR AA HH T
leerling|L EH0 RRR L IH NG
leerlinge|L EH0 RRR L IH NG AH0
leerlooien|L EH0 RRR L OW0 IY AH0 N
leerlooier|L EH0 RRR L OW0 IY AH0 RRR
leerlooierij|L EH0 RRR L OW0 IY AH0 RRR EH IY
leermening|L EH0 RRR M EH0 N IH NG
leernicht|L EH0 RRR N IH HH T
leerplicht|L EH0 RRR P L IH HH T
leerstellig|L EH0 RRR S T EH L AH0 HH
leerstelsel|L EH0 RRR S T EH L S AH0 L
leerstoel|L EH0 RRR S T UW L
leerstof|L EH0 RRR S T AO F
leerstoornis|L EH0 RRR S T OW0 RRR N IH S
leerstuk|L EH0 RRR S T K
leersum|L EH0 RRR S M
leert|L EH0 RRR T
leerzaam|L EH0 RRR Z AE M
lees|L EH0 S
leesbril|L EH0 S B RRR IH L
leeslamp|L EH0 S L AA M P
leest|L EH0 S T
leesten|L EH0 S T AH0 N
leesvoer|L EH0 S V UW RRR
leeszaal|L EH0 S AE L
leeuw|L EH0 UW
leeuwarden|L EH0 V AA RRR D AH0 N
leeuwarder|L EH0 UW V AA RRR D AH0 RRR
leeuwendaalder|L EH0 UW AH0 N D AE L D AH0 RRR
leeuwendeel|L EH0 UW AH0 N D EH0 L
leeuwentemmer|L EH0 UW AH0 N T EH M AH0 RRR
leeuwerik|L EH0 UW AH0 RRR IH K
leeuwin|L EH0 UW V IH N
lef|L EH F
lefgozer|L EH F HH OW0 Z AH0 RRR
leg|L EH HH
legbatterij|L EH HH B AA T AH0 RRR EH IY
legboor|L EH HH B OW0 RRR
legen|L EH0 HH AH0 N
legende|L AH0 HH EH N D AH0
leger|L EH0 HH AH0 RRR
legeraanvoerder|L EH0 HH AH0 RRR AE N V UW RRR D AH0 RRR
legeraanvoerster|L EH0 HH AH0 RRR AE N V UW RRR S T AH0 RRR
legerarts|L EH0 HH AH0 RRR AA RRR T S
legereenheid|L EH0 HH AH0 RRR EH0 N EH IY T
legeren|L AH0 HH EH0 RRR AH0 N
legering|L AH0 HH EH0 RRR IH NG
legerkorps|L EH0 HH AH0 RRR K AO RRR P S
legerleiding|L EH0 HH AH0 RRR L EH IY D IH NG
legermier|L EH0 HH AH0 RRR M IY RRR
legerofficier|L EH0 HH AH0 RRR AO F IY S IY RRR
leges|L EH0 ZH AH0 S
leggen|L EH HH AH0 N
legger|L EH HH AH0 RRR
legging|L EH HH IH NG
leghen|L EH HH EH N
leghorn|L EH HH AO RRR N
legio|L EH0 HH IY OW0
legioen|L EH0 HH IY UW N
legionair|L EH0 HH IY OW0 N EH RRR
legionairsbacterie|L EH0 HH IY OW0 N EH RRR S B AA K T EH0 RRR IY
legionairsziekte|L EH0 HH IY OW0 N EH RRR S IY K T AH0
legionella|L EH0 HH IY OW0 N EH L AE
legkip|L EH HH K IH P
legt|L EH HH T
leguaan|L EH0 HH Y UW1 AE N
lei|L EH IY
leiband|L EH IY B AA N T
leid|L EH IY T
leiden|L EH IY AH0
leider|L EH IY D AH0 RRR
leiderdorp|L EH IY D AH0 RRR D AO RRR P
leiderschap|L EH IY D AH0 RRR S HH AA P
leiding|L EH IY D IH NG
leidingwater|L EH IY D IH NG V AE T AH0 RRR
leidmotief|L EH IY T M OW0 T IY F
leidschendam|L EH IY T S AH0 N D AA M
leidster|L EH IY T S T EH RRR
leidt|L EH IY T
leie|L EH IY AH0
lek|L EH K
leken|L EH0 K AH0 N
lekenpreker|L EH0 K AH0 N P RRR EH0 K AH0 RRR
lekentaal|L EH0 K AH0 N T AE L
lekenvroomheid|L EH0 K AH0 N V RRR OW0 M EH IY T
lekkage|L EH K AE ZH AH0
lekker|L EH K AH0 RRR
lekkerbek|L EH K AH0 RRR B EH K
lekstok|L EH K S T AO K
lelie|L EH0 L IY
lelieblank|L EH0 L IY B L AA NG K
leliehaantje|L EH0 L IY AE N T Y AH0
lelijk|L EH0 L AH0 K
lelijkerd|L EH0 L AH0 K AH0 RRR T
lelijkheid|L EH0 L AH0 K EH IY T
lelijkstad|L EH0 L AH0 K S T AA T
lelystad|L EH0 L IY S T AA T
lemma|L EH M AE
lemmet|L EH M EH T
lemmetje|L EH M EH T Y AH0
lemoen|L AH0 M UW N
lemper|L AH0 M P AH0 RRR
lendendoek|L EH N D AH0 N D UW K
lenen|L EH0 N AH0 N
lengen|L EH NG AH0 N
lengte|L EH NG T AH0
lengtecirkel|L EH NG T AH0 S IH RRR K AH0 L
lengtemaat|L EH NG T AH0 M AE T
lening|L EH0 N IH NG
leninisme|L EH0 N IY N IH S M AH0
leninist|L EH0 N IY N IH S T
leninistisch|L EH0 N IY N IH S T IY S
lens|L EH N S
lente|L EH N T AH0
lentedag|L EH N T AH0 D AA HH
lentefeest|L EH N T AH0 F EH0 S T
lentemaand|L EH N T AH0 M AE N T
leo|L EH0 OW0
leopold|L EH0 OW0 P AO L T
leopoldstad|L EH0 OW0 P AO L T S T AA T
lepel|L EH0 P AH0 L
lepelaar|L EH0 P AH0 L AE RRR
lepelhond|L EH0 P AH0 L AO N T
lepels|L EH0 P AH0 L S
leperd|L EH0 P AH0 RRR T
leproos|L EH0 P RRR OW0 S
leprozenhuis|L EH0 P RRR OW0 Z AH0 N ER Y UW1 S
leraar|L EH0 RRR AE RRR
leraarskamer|L EH0 RRR AE RRR S K AE M AH0 RRR
lerarenkamer|L EH0 RRR AE RRR AH0 N K AE M AH0 RRR
leren|L EH0 RRR AH0 N
lering|L EH0 RRR IH NG
les|L EH S
lesbi|L EH S B IY
lesbianisme|L EH S B IY AE N IH S M AH0
lesbienne|L EH S B IY EH N AH0
lesbisch|L EH S B IY S
lesbo|L EH S B OW0
lesgeld|L EH S HH EH L T
lesgeven|L EH S HH EH0 V AH0 N
lesje|L EH S Y AH0
lesplan|L EH S P L AA N
lesrooster|L EH S RRR OW0 S T AH0 RRR
lessen|L EH S AH0 N
lessenaarsdak|L EH S AH0 N AE RRR S D AA K
letten|L EH T AH0 N
letter|L EH T AH0 RRR
letteren|L EH T AH0 RRR AH0 N
lettergreep|L EH T AH0 RRR HH RRR EH0 P
letterkeer|L EH T AH0 RRR K EH0 RRR
letterkunde|L EH T AH0 RRR K N D AH0
letterkundig|L EH T AH0 RRR K N D AH0 HH
letterlijk|L EH T AH0 RRR L AH0 K
lettervrucht|L EH T AH0 RRR V RRR HH T
leucotomie|L ER Y UW1 K OW0 T OW0 M IY
leudal|L OE D AA L
leugen|L OE HH AH0 N
leugenachtig|L OE HH AH0 N AA HH T AH0 HH
leugenachtigheid|L OE HH AH0 N AA HH T AH0 HH EH IY T
leugendetector|L OE HH AH0 N D EH0 T EH K T AO RRR
leugenliteratuur|L OE HH AH0 N L IY T AH0 RRR AE T Y UW1 RRR
leugenroman|L OE HH AH0 N RRR OW0 M AA N
leuk|L OE K
leukemie|L ER Y UW1 K AH0 M IY
leukerd|L OE K AH0 RRR T
leukotomie|L ER Y UW1 K OW0 T OW0 M IY
leunen|L OE N AH0 N
leuning|L OE N IH NG
leunstoel|L OE N S T UW L
leus|L OE S
leusden|L OE S D AH0 N
leut|L OE T
leuter|L OE T AH0 RRR
leuven|L OE V AH0 N
leuze|L OE Z AH0
levant|L AH0 V AA N T
leven|L EH0 V AH0 N
levendig|L EH0 V AH0 N D AH0 HH
levenloos|L EH0 V AH0 N L OW0 S
levensbeschrijvend|L EH0 V AH0 N S B AH0 S HH RRR EH IY V AH0 N T
levensbeschrijver|L EH0 V AH0 N S B AH0 S HH RRR EH IY V AH0 RRR
levensbeschrijving|L EH0 V AH0 N S B AH0 S HH RRR EH IY V IH NG
levensecht|L EH0 V AH0 N S EH HH T
levenservaring|L EH0 V AH0 N S EH RRR V AE RRR IH NG
levensgeschiedenis|L EH0 V AH0 N S HH AH0 S HH IY D AH0 N IH S
levensgevaar|L EH0 V AH0 N S HH AH0 V AE RRR
levensgevaarlijk|L EH0 V AH0 N S HH AH0 V AE RRR L AH0 K
levensgezel|L EH0 V AH0 N S HH AH0 Z EH L
levensgezellin|L EH0 V AH0 N S HH AH0 Z EH L IH N
levensleer|L EH0 V AH0 N S L EH0 RRR
levensloopbestendig|L EH0 V AH0 N S L OW0 P B AH0 S T EH N D AH0 HH
levenslucht|L EH0 V AH0 N S L HH T
levensmiddel|L EH0 V AH0 N S M IH D AH0 L
levensschets|L EH0 V AH0 N S HH EH T S
levensvatbaar|L EH0 V AH0 N S F AA T B AE RRR
levensvatbaarheid|L EH0 V AH0 N S F AA T B AE RRR EH IY T
levensverwachting|L EH0 V AH0 N S V AH0 RRR V AA HH T IH NG
levenswandel|L EH0 V AH0 N S V AA N D AH0 L
lever|L EH0 V AH0 RRR
leveren|L EH0 V AH0 RRR AH0 N
leverpastei|L EH0 V AH0 RRR P AA S T EH IY
levertraan|L EH0 V AH0 RRR T RRR AE N
leverworst|L EH0 V AH0 RRR V AO RRR S T
leviticus|L AH0 V IY T IY K S
lexicograaf|L EH K S IY K OW0 HH RRR AE F
lexicografie|L EH K S IY K OW0 HH RRR AE F IY
lexicografisch|L EH K S IY K OW0 HH RRR AE F IY S
lexmond|L EH K S M AO N T
lezen|L EH0 Z AH0 N
lezenaar|L EH0 Z AH0 N AE RRR
lezer|L EH0 Z AH0 RRR
lezing|L EH0 Z IH NG
lia|L IY AE
libel|L IY B EH L
libelle|L IY B EH L AH0
liberalisatie|L IY B AH0 RRR AE L IY Z AE T S IY
liberaliseren|L IY B AH0 RRR AE L IY Z EH0 RRR AH0 N
liberalisering|L IY B AH0 RRR AE L IY Z EH0 RRR IH NG
libero|L IY B AH0 RRR OW0
libertair|L IY B EH RRR T EH RRR
libertarisch|L IY B EH RRR T AE RRR IY S
libertijn|L IY B EH RRR T EH IY N
libertijns|L IY B EH RRR T EH IY N S
libisch|L IY B IY S
libië|L IY B IY Y AH0
libretto|L IY B RRR EH T OW0
