a|AO
legtűrhetetlenebb|L EH K T Y UW1 RRR EH T EH T L EH N EH B
legudvariatlanabb|L EH G UW D V AO RRR IY Y AO T L AO N AO B
legunalmasabb|L EH G UW N AO L M AO SH AO B
legundokabb|L EH G UW N D OW0 K AO B
legundorítóbb|L EH G UW N D OW0 RRR IY T OW0 B
legutolsó|L EH G UW T OW0 L SH OW0
legutóbb|L EH G UW T OW0 B
legutóbbi|L EH G UW T OW0 B IY
legvacakabb|L EH G V AO T AO K AO B
legvadabbul|L EH G V AO D AO B UW L
legvastagabb|L EH G V AO SH T AO G AO B
legvendégszeretőbb|L EH G V EH N D EH0 K S EH RRR EH T OE B
legverbálisabb|L EH G V EH RRR B AE L IY SH AO B
legverhetetlenebb|L EH G V EH RRR EH T EH T L EH N EH B
legveszedelmesebb|L EH G V EH S EH D EH L M EH SH EH B
legveszettebb|L EH G V EH S EH T EH B
legveszélyeztetettebb|L EH G V EH S EH0 Y EH S T EH T EH T EH B
legviccesebb|L EH G V IY T EH SH EH B
legvidámabban|L EH G V IY D AE M AO B AO N
legvilágosabb|L EH G V IY L AE G OW0 SH AO B
legvirágzóbb|L EH G V IY RRR AE G Z OW0 B
legvisszafogottabb|L EH G V IY S AO F OW0 G OW0 T AO B
legvisszataszítóbb|L EH G V IY S AO T AO S IY T OW0 B
legviszketőbb|L EH G V IY S K EH T OE B
legviszonylagosabb|L EH G V IY S OW0 N IY0 L AO G OW0 SH AO B
legvitathatatlanabb|L EH G V IY T AO T HH AO T AO T L AO N AO B
legvitatottabb|L EH G V IY T AO T OW0 T AO B
legvizesebb|L EH G V IY Z EH SH EH B
legvontatottabb|L EH G V OW0 N T AO T OW0 T AO B
legvonzóbb|L EH G V OW0 N Z OW0 B
legvádlóbban|L EH G V AE D L OW0 B AO N
legváltakozóbb|L EH G V AE L T AO K OW0 Z OW0 B
legváltozatosabb|L EH G V AE L T OW0 Z AO T OW0 SH AO B
legváltozóbb|L EH G V AE L T OW0 Z OW0 B
legváratlanabb|L EH G V AE RRR AO T L AO N AO B
legváratlanabbul|L EH G V AE RRR AO T L AO N AO B UW L
legvárhatóbb|L EH G V AE RRR AO T OW0 B
legvédekezőbb|L EH G V EH0 D EH K EH Z OE B
legvédettebb|L EH G V EH0 D EH T EH B
legvédtelenebb|L EH G V EH0 T EH L EH N EH B
legvérzőbb|L EH G V EH0 RRR Z OE B
legvörösebb|L EH G V OE RRR OE SH EH B
legyek|L EH G EH K
legyen|L EH G EH N
legyenek|L EH G EH N EH K
legyetek|L EH G EH T EH K
legyez|L EH G EH Z
legyező|L EH G EH Z OE
legyezők|L EH G EH Z OE K
legyint|L EH G IY N T
legyél|L EH G EH0 L
legyünk|L EH G Y UW1 NG K
legyőz|L EH G OE Z
legyőzhetetlen|L EH G OE S HH EH T EH T L EH N
legzagyvább|L EH G Z AO G V AE B
legzajosabb|L EH G Z AO Y OW0 SH AO B
legzajtalanabb|L EH G Z AO Y T AO L AO N AO B
legzaklatottabb|L EH G Z AO K L AO T OW0 T AO B
legzamatosabb|L EH G Z AO M AO T OW0 SH AO B
legzsugoribb|L EH G ZH UW G OW0 RRR IY B
legzsémbesebb|L EH G ZH EH0 M B EH SH EH B
legzsírosabb|L EH G ZH IY RRR OW0 SH AO B
legzsúfoltabb|L EH G ZH UW F OW0 L T AO B
legzárkózottabb|L EH G Z AE RRR K OW0 Z OW0 T AO B
legzöldebb|L EH G Z OE L D EH B
legzűrzavarosabb|L EH G Z Y UW1 RRR Z AO V AO RRR OW0 SH AO B
legádázabb|L EH G AE D AE Z AO B
legáldatlanabb|L EH G AE L D AO T L AO N AO B
legáldottabb|L EH G AE L D OW0 T AO B
legális|L EH G AE L IY SH
legálisabb|L EH G AE L IY SH AO B
legállandóbb|L EH G AE L AO N D OW0 B
legállandóbban|L EH G AE L AO N D OW0 B AO N
legállatibb|L EH G AE L AO T IY B
legállottabb|L EH G AE L OW0 T AO B
legálmatagabb|L EH G AE L M AO T AO G AO B
legálmatlanabb|L EH G AE L M AO T L AO N AO B
legálmosabb|L EH G AE L M OW0 SH AO B
legálmosabban|L EH G AE L M OW0 SH AO B AO N
legápoltabb|L EH G AE P OW0 L T AO B
legártalmatlanabb|L EH G AE RRR T AO L M AO T L AO N AO B
legártatlanabb|L EH G AE RRR T AO T L AO N AO B
legárvább|L EH G AE RRR V AE B
legásatagabb|L EH G AE SH AO T AO G AO B
legátfogóbb|L EH G AE T F OW0 G OW0 B
legátkozottabb|L EH G AE T K OW0 Z OW0 T AO B
legátlagosabb|L EH G AE T L AO G OW0 SH AO B
legátlátszóbb|L EH G AE T L AE T OW0 B
legáttekinthetetlenebb|L EH G AE T EH K IY N T HH EH T EH T L EH N EH B
legáttekinthetőbb|L EH G AE T EH K IY N T HH EH T OE B
legéberebb|L EH G EH0 B EH RRR EH B
legédesebb|L EH G EH0 D EH SH EH B
legégettebb|L EH G EH0 G EH T EH B
legégetőbb|L EH G EH0 G EH T OE B
legégőbb|L EH G EH0 G OE B
legéhesebb|L EH G EH0 EH SH EH B
legékesszólóbb|L EH G EH0 K EH S OW0 L OW0 B
legélesebb|L EH G EH0 L EH SH EH B
legélesztőbb|L EH G EH0 L EH S T OE B
legéletveszélyesebb|L EH G EH0 L EH T V EH S EH0 Y EH SH EH B
legélvezetesebb|L EH G EH0 L V EH Z EH T EH SH EH B
legélénkebb|L EH G EH0 L EH0 NG K EH B
legélőbb|L EH G EH0 L OE B
legélősködőbb|L EH G EH0 L OE SH K OE D OE B
legény|L EH G EH0 N IY0
legénybúcsú|L EH G EH0 N IY0 B UW T UW
legények|L EH G EH0 N IY0 EH K
legényember|L EH G EH0 N IY0 EH M B EH RRR
legénység|L EH G EH0 N IY0 SH EH0 G
legénységgel|L EH G EH0 N IY0 SH EH0 G EH L
legépebb|L EH G EH0 P EH B
legércesebb|L EH G EH0 RRR T EH SH EH B
legérdekeltebb|L EH G EH0 RRR D EH K EH L T EH B
legérdekesebb|L EH G EH0 RRR D EH K EH SH EH B
legérdeklődőbb|L EH G EH0 RRR D EH K L OE D OE B
legérdektelenebb|L EH G EH0 RRR D EH K T EH L EH N EH B
legérdemesebb|L EH G EH0 RRR D EH M EH SH EH B
legérdesebb|L EH G EH0 RRR D EH SH EH B
legérettebb|L EH G EH0 RRR EH T EH B
legérintetlenebb|L EH G EH0 RRR IY N T EH T L EH N EH B
legérintettebb|L EH G EH0 RRR IY N T EH T EH B
legérinthetetlenebb|L EH G EH0 RRR IY N T HH EH T EH T L EH N EH B
legértelmesebb|L EH G EH0 RRR T EH L M EH SH EH B
legértetődőbb|L EH G EH0 RRR T EH T OE D OE B
legérthetetlenebb|L EH G EH0 RRR T HH EH T EH T L EH N EH B
legérthetőbb|L EH G EH0 RRR T HH EH T OE B
legértékesebb|L EH G EH0 RRR T EH0 K EH SH EH B
legértéktelenebb|L EH G EH0 RRR T EH0 K T EH L EH N EH B
legérvényesebb|L EH G EH0 RRR V EH0 N IY0 EH SH EH B
legérzelmesebb|L EH G EH0 RRR Z EH L M EH SH EH B
legérzékenyebb|L EH G EH0 RRR Z EH0 K EH N IY0 EH B
legérzéstelenebb|L EH G EH0 RRR Z EH0 SH T EH L EH N EH B
legészakibb|L EH G EH0 S AO K IY B
legészakkeletibb|L EH G EH0 S AO K EH L EH T IY B
legétvágytalanabb|L EH G EH0 T V AE K HH T AO L AO N AO B
legírástudatlanabb|L EH G IY RRR AE SH T UW D AO T L AO N AO B
legízesebb|L EH G IY Z EH SH EH B
legízletesebb|L EH G IY Z L EH T EH SH EH B
legíztelenebb|L EH G IY S T EH L EH N EH B
legó|L EH G OW0
legóbb|L EH G OW0 B
legódonabb|L EH G OW0 D OW0 N AO B
legókocka|L EH G OW0 K OW0 T K AO
legóvatosabban|L EH G OW0 V AO T OW0 SH AO B AO N
legózik|L EH G OW0 Z IY K
legönfejűbben|L EH G OE F EH Y Y UW1 B EH N
legönzetlenebb|L EH G OE N Z EH T L EH N EH B
legönállóbb|L EH G OE N AE L OW0 B
legördögibb|L EH G OE RRR D OE G IY B
legöregebb|L EH G OE RRR EH G EH B
legösszeegyeztethetetlenebb|L EH G OE S EH EH G EH S T EH T HH EH T EH T L EH N EH B
legösszefüggőbb|L EH G OE S EH F Y UW1 G OE B
legösszehasonlíthatóbb|L EH G OE S EH AO SH OW0 N L IY T HH AO T OW0 B
legösszetettebb|L EH G OE S EH T EH T EH B
legösztönösebben|L EH G OE S T OE N OE SH EH B EH N
legötletesebb|L EH G OE T L EH T EH SH EH B
legújabb|L EH G UW Y AO B
legüdébb|L EH G Y UW1 D EH0 B
legüdítőbb|L EH G Y UW1 D IY T OE B
legügyesebb|L EH G Y UW1 G EH SH EH B
legügyetlenebb|L EH G Y UW1 G EH T L EH N EH B
legünneplőbb|L EH G Y UW1 N EH P L OE B
legüresebb|L EH G Y UW1 RRR EH SH EH B
legőrültebben|L EH G OE RRR Y UW1 L T EH B EH N
legőszibb|L EH G OE S IY B
legőszintébb|L EH G OE S IY N T EH0 B
legőszintébben|L EH G OE S IY N T EH0 B EH N
lehangol|L EH AO NG G OW0 L
lehel|L EH HH EH L
lehelet|L EH HH EH L EH T
leheletek|L EH HH EH L EH T EH K
lehellet|L EH HH EH L EH T
lehess|L EH HH EH SH
lehessek|L EH HH EH SH EH K
lehessen|L EH HH EH SH EH N
lehessenek|L EH HH EH SH EH N EH K
lehessetek|L EH HH EH SH EH T EH K
lehessél|L EH HH EH SH EH0 L
lehessünk|L EH HH EH SH Y UW1 NG K
lehet|L EH HH EH T
lehetek|L EH HH EH T EH K
lehetetlen|L EH HH EH T EH T L EH N
lehetetlenebb|L EH HH EH T EH T L EH N EH B
lehetetlenek|L EH HH EH T EH T L EH N EH K
lehetetlenné|L EH HH EH T EH T L EH N EH0
lehetetlenség|L EH HH EH T EH T L EH N SH EH0 G
lehetett|L EH HH EH T EH T
lehetne|L EH HH EH T N EH
lehetnek|L EH HH EH T N EH K
lehetni|L EH HH EH T N IY
lehetnék|L EH HH EH T N EH0 K
lehetnél|L EH HH EH T N EH0 L
lehetnének|L EH HH EH T N EH0 N EH K
lehetnénk|L EH HH EH T N EH0 NG K
lehetnétek|L EH HH EH T N EH0 T EH K
lehetsz|L EH HH EH T
lehetséges|L EH HH EH T EH0 G EH SH
lehettek|L EH HH EH T EH K
lehettem|L EH HH EH T EH M
lehettetek|L EH HH EH T EH T EH K
lehettél|L EH HH EH T EH0 L
lehettünk|L EH HH EH T Y UW1 NG K
lehetünk|L EH HH EH T Y UW1 NG K
lehető|L EH HH EH T OE
lehetőleg|L EH HH EH T OE L EH G
lehetőség|L EH HH EH T OE SH EH0 G
lehetősége|L EH HH EH T OE SH EH0 G EH
lehetőséged|L EH HH EH T OE SH EH0 G EH D
lehetőségei|L EH HH EH T OE SH EH0 G EH Y IY
lehetőségeinek|L EH HH EH T OE SH EH0 G EH Y IY N EH K
lehetőségeit|L EH HH EH T OE SH EH0 G EH Y IY T
lehetőségek|L EH HH EH T OE SH EH0 G EH K
lehetőségeket|L EH HH EH T OE SH EH0 G EH K EH T
lehetőségekkel|L EH HH EH T OE SH EH0 G EH K EH L
lehetőségekről|L EH HH EH T OE SH EH0 G EH K RRR OE L
lehetőséget|L EH HH EH T OE SH EH0 G EH T
lehetőséggel|L EH HH EH T OE SH EH0 G EH L
lehetőségét|L EH HH EH T OE SH EH0 G EH0 T
lehetőségével|L EH HH EH T OE SH EH0 G EH0 V EH L
lehetőségük|L EH HH EH T OE SH EH0 G Y UW1 K
lehetőségünk|L EH HH EH T OE SH EH0 G Y UW1 NG K
lehetővé|L EH HH EH T OE V EH0
lehullott|L EH UW L OW0 T
lehunyja|L EH UW N IY0 AO
leigáz|L EH Y IY G AE Z
leila|L EH Y L AO
leint|L EH Y IY N T
leiratkozás|L EH Y IY RRR AO T K OW0 Z AE SH
lej|L EH Y
lejbe|L EH Y B EH
leje|L EH Y EH
lejegyez|L EH Y EH G EH Z
lejem|L EH Y EH M
lejen|L EH Y EH N
lejjebb|L EH Y EH B
lejla|L EH Y L AO
lejnol|L EH Y N OW0 L
lejnolás|L EH Y N OW0 L AE SH
lejre|L EH Y RRR EH
lejt|L EH Y T
lejtő|L EH Y T OE
lejtők|L EH Y T OE K
lejtőn|L EH Y T OE N
lejár|L EH Y AE RRR
lejárati|L EH Y AE RRR AO T IY
lejátszik|L EH Y AE T IY K
lejátszó|L EH Y AE T OW0
lejátszók|L EH Y AE T OW0 K
lejért|L EH Y EH0 RRR T
leken|L EH K EH N
lekerekít|L EH K EH RRR EH K IY T
lekerekített|L EH K EH RRR EH K IY T EH T
lekicsinyel|L EH K IY T IY N IY0 EH L
lektor|L EH K T OW0 RRR
lektorok|L EH K T OW0 RRR OW0 K
lektorál|L EH K T OW0 RRR AE L
lekvár|L EH K V AE RRR
lekvárok|L EH K V AE RRR OW0 K
lekérdez|L EH K EH0 RRR D EH Z
lekérdezés|L EH K EH0 RRR D EH Z EH0 SH
lekérdezések|L EH K EH0 RRR D EH Z EH0 SH EH K
lekérdező|L EH K EH0 RRR D EH Z OE
lekérdezőnyelv|L EH K EH0 RRR D EH Z OE N IY0 EH L V
lekérdezőnyelvek|L EH K EH0 RRR D EH Z OE N IY0 EH L V EH K
lekésik|L EH K EH0 SH IY K
lekésted|L EH K EH0 SH T EH D
lekötelez|L EH K OE T EH L EH Z
lekötelezett|L EH K OE T EH L EH Z EH T
lekötelezettebb|L EH K OE T EH L EH Z EH T EH B
lekötelezettek|L EH K OE T EH L EH Z EH T EH K
lekötelezettség|L EH K OE T EH L EH Z EH T EH0 G
leküld|L EH K Y UW1 L D
leküzd|L EH K Y UW1 Z D
leküzdd|L EH K Y UW1 Z D
leküzdhetetlen|L EH K Y UW1 S T HH EH T EH T L EH N
lel|L EH L
lelakatol|L EH L AO K AO T OW0 L
leld|L EH L D
lelek|L EH L EH K
lelemény|L EH L EH M EH0 N IY0
lelemények|L EH L EH M EH0 N IY0 EH K
leleményes|L EH L EH M EH0 N IY0 EH SH
leleményesebb|L EH L EH M EH0 N IY0 EH SH EH B
lelenc|L EH L EH N T
lelencek|L EH L EH N T EH K
leleplez|L EH L EH P L EH Z
lelet|L EH L EH T
leletek|L EH L EH T EH K
leletet|L EH L EH T EH T
leli|L EH L IY
lelik|L EH L IY K
lelj|L EH Y
lelke|L EH L K EH
lelked|L EH L K EH D
lelkedet|L EH L K EH D EH T
lelkek|L EH L K EH K
lelkeket|L EH L K EH K EH T
lelkem|L EH L K EH M
lelkemet|L EH L K EH M EH T
lelkes|L EH L K EH SH
lelkesebb|L EH L K EH SH EH B
lelkesedik|L EH L K EH SH EH D IY K
lelkesednek|L EH L K EH SH EH D N EH K
lelkesedés|L EH L K EH SH EH D EH0 SH
lelkesen|L EH L K EH SH EH N
lelkesít|L EH L K EH SH IY T
lelket|L EH L K EH T
lelketek|L EH L K EH T EH K
lelketeket|L EH L K EH T EH K EH T
lelketlen|L EH L K EH T L EH N
lelketlenebb|L EH L K EH T L EH N EH B
lelki|L EH L K IY
lelkiismeret|L EH L K IY IY SH M EH RRR EH T
lelkiismeretes|L EH L K IY IY SH M EH RRR EH T EH SH
lelkiismeretesebb|L EH L K IY IY SH M EH RRR EH T EH SH EH B
lelkiismeretesség|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G
lelkiismeretességbe|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G B EH
lelkiismeretességben|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G B EH N
lelkiismeretességből|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G B OE L
lelkiismeretessége|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH
lelkiismeretességek|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH K
lelkiismeretességen|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH N
lelkiismeretességet|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH T
lelkiismeretességgel|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH L
lelkiismeretességgé|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH0
lelkiismeretességhez|L EH L K IY IY SH M EH RRR EH T EH SH EH0 K HH EH Z
lelkiismeretességig|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G IY G
lelkiismeretességként|L EH L K IY IY SH M EH RRR EH T EH SH EH0 K EH0 N T
lelkiismeretességnek|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G N EH K
lelkiismeretességnél|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G N EH0 L
lelkiismeretességre|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G RRR EH
lelkiismeretességről|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G RRR OE L
lelkiismeretességtől|L EH L K IY IY SH M EH RRR EH T EH SH EH0 K T OE L
lelkiismeretességé|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH0
lelkiismeretességéi|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH0 Y IY
lelkiismeretességért|L EH L K IY IY SH M EH RRR EH T EH SH EH0 G EH0 RRR T
lelkileg|L EH L K IY L EH G
lelkipásztor|L EH L K IY P AE S T OW0 RRR
lelkipásztori|L EH L K IY P AE S T OW0 RRR IY
lelkiállapot|L EH L K IY Y AE L AO P OW0 T
lelkész|L EH L K EH0 S
lelkészek|L EH L K EH0 S EH K
lelkét|L EH L K EH0 T
lelkük|L EH L K Y UW1 K
lelküket|L EH L K Y UW1 K EH T
lelkünk|L EH L K Y UW1 NG K
lelkünket|L EH L K Y UW1 NG K EH T
lelsz|L EH L S
lelök|L EH L OE K
lelő|L EH L OE
lelők|L EH L OE K
lemarad|L EH M AO RRR AO D
lemaradva|L EH M AO RRR AO D V AO
lemegy|L EH M EH G
lemez|L EH M EH Z
lemezek|L EH M EH Z EH K
lemezeken|L EH M EH Z EH K EH N
lemezeket|L EH M EH Z EH K EH T
lemezen|L EH M EH Z EH N
lemezre|L EH M EH Z RRR EH
lemma|L EH M AO
lemond|L EH M OW0 N D
lemondott|L EH M OW0 N D OW0 T
lemondás|L EH M OW0 N D AE SH
lemos|L EH M OW0 SH
len|L EH N
lencse|L EH N T EH
lencsecsont|L EH N T EH T OW0 N T
lencsecsontok|L EH N T EH T OW0 N T OW0 K
lencsék|L EH N T EH0 K
lendület|L EH N D Y UW1 L EH T
lendületek|L EH N D Y UW1 L EH T EH K
lendületes|L EH N D Y UW1 L EH T EH SH
lendületet|L EH N D Y UW1 L EH T EH T
lenek|L EH N EH K
lenge|L EH NG G EH
lengj|L EH NG G IY
lengyel|L EH N IY0 G EH L
lengyelek|L EH N IY0 G EH L EH K
lengyelország|L EH N IY0 G EH L OW0 RRR S AE G
lengyelországban|L EH N IY0 G EH L OW0 RRR S AE G B AO N
lengyelül|L EH N IY0 G EH L Y UW1 L
leninizmus|L EH N IY N IY Z M UW SH
lenn|L EH N
lenne|L EH N EH
lenned|L EH N EH D
lennem|L EH N EH M
lennetek|L EH N EH T EH K
lenni|L EH N IY
lennie|L EH N IY Y EH
lenniük|L EH N IY Y Y UW1 K
lennék|L EH N EH0 K
lennél|L EH N EH0 L
lennének|L EH N EH0 N EH K
lennénk|L EH N EH0 NG K
lennétek|L EH N EH0 T EH K
lennünk|L EH N Y UW1 NG K
lent|L EH N T
lenti|L EH N T IY
lenvászon|L EH V AE S OW0 N
lenyel|L EH N IY0 EH L
lenyeli|L EH N IY0 EH L IY
lenyomat|L EH N IY0 OW0 M AO T
lenyúló|L EH N IY0 UW L OW0
lenyűgöz|L EH N IY0 Y UW1 G OE Z
lenyűgöző|L EH N IY0 Y UW1 G OE Z OE
lenyűgözőbb|L EH N IY0 Y UW1 G OE Z OE B
lenéz|L EH N EH0 Z
leolt|L EH OW0 L T
leonardo|L EH OW0 N AE RRR D OW0
leopárd|L EH OW0 P AE RRR D
leopárdok|L EH OW0 P AE RRR D OW0 K
leosztás|L EH OW0 S T AE SH
lep|L EH P
lepd|L EH B D
lepedő|L EH P EH D OE
lepedők|L EH P EH D OE K
lepel|L EH P EH L
lephet|L EH P HH EH T
lepi|L EH P IY
lepik|L EH P IY K
lepke|L EH P K EH
lepkék|L EH P K EH0 K
leple|L EH P L EH
leplek|L EH P L EH K
leplez|L EH P L EH Z
lepra|L EH P RRR AO
leprább|L EH P RRR AE B
leprás|L EH P RRR AE SH
leprások|L EH P RRR AE SH OW0 K
lepsz|L EH P S
leptek|L EH P T EH K
lepték|L EH P T EH0 K
lepény|L EH P EH0 N IY0
lepények|L EH P EH0 N IY0 EH K
lepényhal|L EH P EH0 N IY0 AO L
lepényhalak|L EH P EH0 N IY0 AO L AO K
lerakó|L EH RRR AO K OW0
lerakódik|L EH RRR AO K OW0 D IY K
lerakódás|L EH RRR AO K OW0 D AE SH
lerakódások|L EH RRR AO K OW0 D AE SH OW0 K
lerakót|L EH RRR AO K OW0 T
lerombol|L EH RRR OW0 M B OW0 L
lerontás|L EH RRR OW0 N T AE SH
lerontások|L EH RRR OW0 N T AE SH OW0 K
leráz|L EH RRR AE Z
lerövidül|L EH RRR OE V IY D Y UW1 L
les|L EH SH
lesbe|L EH ZH B EH
lesben|L EH ZH B EH N
lesd|L EH ZH D
lese|L EH SH EH
lesei|L EH SH EH Y IY
lesek|L EH SH EH K
lesen|L EH SH EH N
lesi|L EH SH IY
lesifotós|L EH SH IY F OW0 T OW0 SH
lesni|L EH SH N IY
lesotho|L EH S OW0 T OW0
less|L EH SH
lesse|L EH SH EH
lessem|L EH SH EH M
lessen|L EH SH EH N
lest|L EH SH T
leste|L EH SH T EH
lestyán|L EH SH K HH AE N
lesz|L EH S
leszbikus|L EH Z B IY K UW SH
leszed|L EH S EH D
leszedi|L EH S EH D IY
leszedő|L EH S EH D OE
leszedőként|L EH S EH D OE K EH0 N T
leszek|L EH S EH K
leszel|L EH S EH L
lesznek|L EH S N EH K
leszoktat|L EH S OW0 K T AO T
lesztek|L EH S T EH K
leszáll|L EH S AE L
leszállok|L EH S AE L OW0 K
leszállás|L EH S AE L AE SH
leszállásjelző|L EH S AE L AE SH Y EH L Z OE
leszálláskor|L EH S AE L AE SH K OW0 RRR
leszálló|L EH S AE L OW0
leszállók|L EH S AE L OW0 K
leszámítva|L EH S AE M IY T V AO
leszármazástan|L EH S AE RRR M AO Z AE SH T AO N
leszünk|L EH S Y UW1 NG K
letartóztat|L EH T AO RRR T OW0 S T AO T
letartóztatás|L EH T AO RRR T OW0 S T AO T AE SH
letartóztatási|L EH T AO RRR T OW0 S T AO T AE SH IY
letehet|L EH T EH HH EH T
letehetetlen|L EH T EH HH EH T EH T L EH N
letelepít|L EH T EH L EH P IY T
letesz|L EH T EH S
letilt|L EH T IY L T
letilthat|L EH T IY L T HH AO T
lett|L EH T
lettbe|L EH D B EH
lettben|L EH D B EH N
lettből|L EH D B OE L
lettek|L EH T EH K
lettekbe|L EH T EH G B EH
lettekben|L EH T EH G B EH N
lettekből|L EH T EH G B OE L
letteken|L EH T EH K EH N
letteket|L EH T EH K EH T
lettekhez|L EH T EH K HH EH Z
lettekig|L EH T EH K IY G
lettekkel|L EH T EH K EH L
lettekké|L EH T EH K EH0
lettekként|L EH T EH K EH0 N T
letteknek|L EH T EH K N EH K
letteknél|L EH T EH K N EH0 L
lettekre|L EH T EH K RRR EH
lettekről|L EH T EH K RRR OE L
lettektől|L EH T EH K T OE L
lettekért|L EH T EH K EH0 RRR T
lettel|L EH T EH L
lettem|L EH T EH M
letten|L EH T EH N
lettet|L EH T EH T
lettetek|L EH T EH T EH K
letthez|L EH T HH EH Z
lettig|L EH T IY G
lettként|L EH T K EH0 N T
lettnek|L EH T N EH K
lettnél|L EH T N EH0 L
lettország|L EH T OW0 RRR S AE G
lettre|L EH T RRR EH
lettről|L EH T RRR OE L
letté|L EH T EH0
lettél|L EH T EH0 L
lettért|L EH T EH0 RRR T
lettünk|L EH T Y UW1 NG K
lettől|L EH T OE L
letét|L EH T EH0 T
letétek|L EH T EH0 T EH K
letölt|L EH T OE L T
letölteni|L EH T OE L T EH N IY
letölthető|L EH T OE L T HH EH T OE
letöltés|L EH T OE L T EH0 SH
letöltése|L EH T OE L T EH0 SH EH
letöltések|L EH T OE L T EH0 SH EH K
letöltési|L EH T OE L T EH0 SH IY
leukocita|L EH UW K OW0 T IY T AO
leukociták|L EH UW K OW0 T IY T AE K
leukémia|L EH UW K EH0 M IY Y AO
leve|L EH V EH
levegő|L EH V EH G OE
levegőbe|L EH V EH G OE B EH
levegőben|L EH V EH G OE B EH N
levegők|L EH V EH G OE K
levegőnek|L EH V EH G OE N EH K
levegőszennyezés|L EH V EH G OE S EH N IY0 EH Z EH0 SH
levegőtlen|L EH V EH G OE T L EH N
levegőtlenebb|L EH V EH G OE T L EH N EH B
levegőtlenség|L EH V EH G OE T L EH N SH EH0 G
levele|L EH V EH L EH
levelek|L EH V EH L EH K
leveleket|L EH V EH L EH K EH T
levelet|L EH V EH L EH T
levelez|L EH V EH L EH Z
levelezés|L EH V EH L EH Z EH0 SH
levelezése|L EH V EH L EH Z EH0 SH EH
levelezési|L EH V EH L EH Z EH0 SH IY
levelező|L EH V EH L EH Z OE
levelében|L EH V EH L EH0 B EH N
levelét|L EH V EH L EH0 T
levelű|L EH V EH L Y UW1
levendula|L EH V EH N D UW L AO
levendulaházasság|L EH V EH N D UW L AO AE Z AO SH AE G
levendulakék|L EH V EH N D UW L AO K EH0 K
levendulák|L EH V EH N D UW L AE K
levente|L EH V EH N T EH
lever|L EH V EH RRR
levered|L EH V EH RRR EH D
leverne|L EH V EH RRR N EH
leves|L EH V EH SH
levesek|L EH V EH SH EH K
leveskocka|L EH V EH SH K OW0 T K AO
leveskockák|L EH V EH SH K OW0 T K AE K
levesz|L EH V EH S
levet|L EH V EH T
levetkőzik|L EH V EH T K OE Z IY K
levetkőztet|L EH V EH T K OE S T EH T
levi|L EH V IY
levon|L EH V OW0 N
levonható|L EH V OW0 N AO T OW0
levél|L EH V EH0 L
levélben|L EH V EH0 L B EH N
levélből|L EH V EH0 L B OE L
levélfiók|L EH V EH0 L F IY Y OW0 K
levélszekrény|L EH V EH0 L S EH K RRR EH0 N IY0
levélszekrények|L EH V EH0 L S EH K RRR EH0 N IY0 EH K
levéltelen|L EH V EH0 L T EH L EH N
levéltelenebb|L EH V EH0 L T EH L EH N EH B
levéltetű|L EH V EH0 L T EH T Y UW1
levéltár|L EH V EH0 L T AE RRR
levéltárak|L EH V EH0 L T AE RRR AO K
levéltári|L EH V EH0 L T AE RRR IY
levéltáros|L EH V EH0 L T AE RRR OW0 SH
levéltárosnő|L EH V EH0 L T AE RRR OW0 SH N OE
levéltárosnők|L EH V EH0 L T AE RRR OW0 SH N OE K
levéltárosok|L EH V EH0 L T AE RRR OW0 SH OW0 K
levélváltás|L EH V EH0 L V AE L T AE SH
levélörvény|L EH V EH0 L OE RRR V EH0 N IY0
levés|L EH V EH0 SH
levő|L EH V OE
lexikológia|L EH K S IY K OW0 L OW0 G IY Y AO
lexikon|L EH K S IY K OW0 N
lexikonok|L EH K S IY K OW0 N OW0 K
lexikális|L EH K S IY K AE L IY SH
lexéma|L EH K S EH0 M AO
lezuhan|L EH Z UW AO N
lezár|L EH Z AE RRR
lezárhat|L EH Z AE RRR AO T
lezárt|L EH Z AE RRR T
lezárta|L EH Z AE RRR T AO
lezárul|L EH Z AE RRR UW L
lezárás|L EH Z AE RRR AE SH
lezárása|L EH Z AE RRR AE SH AO
leány|L EH AE N IY0
leányanya|L EH AE N IY0 AO N IY0 AO
leánybúcsú|L EH AE N IY0 B UW T UW
leánykor|L EH AE N IY0 K OW0 RRR
leányok|L EH AE N IY0 OW0 K
leég|L EH Y EH0 G
leépít|L EH EH0 P IY T
leépítés|L EH EH0 P IY T EH0 SH
