aa|AA
nokisara|N OW0 K IY S AA RRR AA
nokisieni|N OW0 K IY S IY EH0 N IY
nokit|N OW0 K IY T
nokitauti|N OW0 K IY T AA UW T IY
nokitella|N OW0 K IY T EH0 L AA Q
nokittain|N OW0 K IY T AA IY N
nokittaminen|N OW0 K IY T T AA M IY N EH0 N
nokitusten|N OW0 K IY T UW S T EH0 N
nokivalkea|N OW0 K IY V AA L K EH0 AA
nokka|N OW0 K AA
nokkaeläin|N OW0 K AA EH0 L AE IY N
nokkahauki|N OW0 K AA HH AA UW K IY
nokkahuilisti|N OW0 K AA HH UW IY L IY S T IY
nokkahuilu|N OW0 K AA HH UW IY L UW
nokkaisu|N OW0 K AA IY S UW
nokkakala|N OW0 K AA K AA L AA
nokkakolari|N OW0 K AA K OW0 L AA RRR IY
nokkakoriste|N OW0 K AA K OW0 RRR IY S T EH0 Q
nokkamies|N OW0 K AA M IY EH0 S
nokkapokka|N OW0 K AA P OW0 K AA
nokkapyörä|N OW0 K AA P Y UW1 OE RRR AE
nokkasara|N OW0 K AA S AA RRR AA
nokkasiili|N OW0 K AA S IY L IY
nokkava|N OW0 K AA V AA
nokkavarpunen|N OW0 K AA V AA RRR P UW N EH0 N
nokkavasti|N OW0 K AA V AA S T IY Q
nokki|N OW0 K IY
nokkia|N OW0 K IY AA Q
nokkimisjärjestys|N OW0 K IY M IY S Y AE RRR Y EH0 S T Y UW1 S
nokkonen|N OW0 K OW0 N EH0 N
nokkosihottuma|N OW0 K OW0 S IY OW0 T T UW M AA
nokkoskasvi|N OW0 K OW0 S K AA S V IY
nokkoskeitto|N OW0 K OW0 S K EH0 IY T OW0
nokkoskuume|N OW0 K OW0 S K UW M EH0 Q
nokkosperhonen|N OW0 K OW0 S P EH0 RRR HH OW0 N EH0 N
nokkosrokko|N OW0 K OW0 S RRR OW0 K OW0
nokonnuuka|N OW0 K OW0 N N UW K AA
nokonuuka|N OW0 K OW0 N UW K AA
nokturni|N OW0 K T UW RRR N IY
nokturno|N OW0 K T UW RRR N OW0
nolaaminen|N OW0 L AA M IY N EH0 N
nolata|N OW0 L AA T AA Q
nolla|N OW0 L AA
nollaenergiatalo|N OW0 L AA EH0 N EH0 RRR G IY AA T AA L OW0
nollajakaja|N OW0 L AA Y AA K AA Y AA
nollajohdin|N OW0 L AA Y OW0 HH D IY N
nollakeli|N OW0 L AA K EH0 L IY
nollakerho|N OW0 L AA K EH0 RRR HH OW0
nollakisko|N OW0 L AA K IY S K OW0
nollakohta|N OW0 L AA K OW0 HH T AA
nollakoko|N OW0 L AA K OW0 K OW0
nollalinja|N OW0 L AA L IY N Y AA
nollaluokka|N OW0 L AA L UW OW0 K AA
nollanjakaja|N OW0 L AA N Y AA K AA Y AA
nollapeli|N OW0 L AA P EH0 L IY
nollapersoona|N OW0 L AA P EH0 RRR S OW0 N AA
nollapiste|N OW0 L AA P IY S T EH0 Q
nollas|N OW0 L AA S
nollasarja|N OW0 L AA S AA RRR Y AA
nollasti|N OW0 L AA S T IY Q
nollata|N OW0 L AA T AA Q
nollatulos|N OW0 L AA T UW L OW0 S
nollatutkimus|N OW0 L AA T UW T K IY M UW S
nollaulotteinen|N OW0 L AA UW L OW0 T T EH0 IY N EH0 N
nolo|N OW0 L OW0
noloissaan|N OW0 L OW0 IY S AA N
nolosti|N OW0 L OW0 S T IY Q
nolostuminen|N OW0 L OW0 S T UW M IY N EH0 N
nolostunut|N OW0 L OW0 S T UW N UW T
nolotus|N OW0 L OW0 T UW S
nomadismi|N OW0 M AA D IY S M IY
nominaali|N OW0 M IY N AA L IY
nominaaliasteikko|N OW0 M IY N AA L IY AA S T EH0 IY K OW0
nominatiivi|N OW0 M IY N AA T IY V IY
nominatiiviakkusatiivi|N OW0 M IY N AA T IY V IY AA K UW S AA T IY V IY
nominatiivimuoto|N OW0 M IY N AA T IY V IY M UW OW0 T OW0
nomini|N OW0 M IY N IY
nomoteettinen|N OW0 M OW0 T EH0 T IY N EH0 N
nomotetiikka|N OW0 M OW0 T EH0 T IY K AA
noni|N OW0 N IY Q
noninvasiivinen|N OW0 N IY N V AA S IY V IY N EH0 N
nonparelli|N OW0 M P AA RRR EH0 L IY
nonsaleerata|N OW0 N S AA L EH0 RRR AA T AA Q
nooa|N OW0 AA
noolata|N OW0 L AA T AA Q
nooli|N OW0 L IY
noomi|N OW0 M IY
nooni|N OW0 N IY
noonisointu|N OW0 N IY S OW0 IY N T UW
noora|N OW0 RRR AA
nootti|N OW0 T IY
noottienvaihto|N OW0 T IY EH0 N V AA IY HH T OW0
noottikriisi|N OW0 T IY K RRR IY S IY
nopanheitto|N OW0 P AA N HH EH0 IY T OW0
nopea|N OW0 P EH0 AA
nopeajalkainen|N OW0 P EH0 AA Y AA L K AA IY N EH0 N
nopeakasvuinen|N OW0 P EH0 AA K AA S V UW IY N EH0 N
nopeakulkuinen|N OW0 P EH0 AA K UW L K UW IY N EH0 N
nopeakäyntinen|N OW0 P EH0 AA K AE Y UW1 N T IY N EH0 N
nopealiikkeinen|N OW0 P EH0 AA L IY K EH0 IY N EH0 N
nopealukuinen|N OW0 P EH0 AA L UW K UW IY N EH0 N
nopearytminen|N OW0 P EH0 AA RRR Y UW1 T M IY N EH0 N
nopeatahtinen|N OW0 P EH0 AA T AA HH T IY N EH0 N
nopeatehoinen|N OW0 P EH0 AA T EH0 OW0 IY N EH0 N
nopeatekoinen|N OW0 P EH0 AA T EH0 K OW0 IY N EH0 N
nopeatempoinen|N OW0 P EH0 AA T EH0 M P OW0 IY N EH0 N
nopeavaikutteinen|N OW0 P EH0 AA V AA IY K UW T T EH0 IY N EH0 N
nopeaälyisyys|N OW0 P EH0 AA AE L Y UW1 IY S Y UW1 S
nopeudenrajoitin|N OW0 P EH0 UW D EH0 N RRR AA Y OW0 IY T IY N
nopeudensäädin|N OW0 P EH0 UW D EH0 N S AE D IY N
nopeus|N OW0 P EH0 UW S
nopeusajo|N OW0 P EH0 UW S AA Y OW0
nopeusharjoittelu|N OW0 P EH0 UW S HH AA RRR Y OW0 IY T T EH0 L UW
nopeuslaki|N OW0 P EH0 UW S L AA K IY
nopeuslaskija|N OW0 P EH0 UW S L AA S K IY Y AA
nopeuslasku|N OW0 P EH0 UW S L AA S K UW
nopeusvakio|N OW0 P EH0 UW S V AA K IY OW0
nopeusvalvonta|N OW0 P EH0 UW S V AA L V OW0 N T AA
nopeutus|N OW0 P EH0 UW T UW S
noppa|N OW0 P AA
noppakiveys|N OW0 P AA K IY V EH0 Y UW1 S
noppakivi|N OW0 P AA K IY V IY
nordisti|N OW0 RRR D IY S T IY
norfolkinaraukaria|N OW0 RRR F OW0 L K IY N AA RRR AA UW K AA RRR IY AA
noriitti|N OW0 RRR IY T IY
norja|N OW0 RRR Y AA
norjalainen|N OW0 RRR Y AA L AA IY N EH0 N
norjalaismies|N OW0 RRR Y AA L AA IY S M IY EH0 S
norjalaisnainen|N OW0 RRR Y AA L AA IY S N AA IY N EH0 N
norjalaissyntyinen|N OW0 RRR Y AA L AA IY S S Y UW1 N T Y UW1 IY N EH0 N
norjalaisuus|N OW0 RRR Y AA L AA IY S UW S
norjanhirvikoira|N OW0 RRR Y AA N HH IY RRR V IY K OW0 IY RRR AA
norjentaa|N OW0 RRR Y EH0 N T AA Q
norjentaminen|N OW0 RRR Y EH0 N T AA M IY N EH0 N
norjuus|N OW0 RRR Y UW S
norkko|N OW0 RRR K OW0
norlanti|N OW0 RRR L AA N T IY
normaali|N OW0 RRR M AA L IY
normaaliaika|N OW0 RRR M AA L IY AA IY K AA
normaalihintainen|N OW0 RRR M AA L IY HH IY N T AA IY N EH0 N
normaalihomo|N OW0 RRR M AA L IY HH OW0 M OW0
normaalijakauma|N OW0 RRR M AA L IY Y AA K AA UW M AA
normaalijakautuma|N OW0 RRR M AA L IY Y AA K AA UW T UW M AA
normaalijakautunut|N OW0 RRR M AA L IY Y AA K AA UW T UW N UW T
normaalikiihtyvyys|N OW0 RRR M AA L IY K IY HH T Y UW1 V Y UW1 S
normaalikokoinen|N OW0 RRR M AA L IY K OW0 K OW0 IY N EH0 N
normaalikynttilä|N OW0 RRR M AA L IY K Y UW1 N T IY L AE
normaalilyseo|N OW0 RRR M AA L IY L Y UW1 S EH0 OW0
normaalilämpö|N OW0 RRR M AA L IY L AE M P OE
normaalimuotoinen|N OW0 RRR M AA L IY M UW OW0 T OW0 IY N EH0 N
normaalimäki|N OW0 RRR M AA L IY M AE K IY
normaalinnäköinen|N OW0 RRR M AA L IY N N AE K OE IY N EH0 N
normaalinäköinen|N OW0 RRR M AA L IY N AE K OE IY N EH0 N
normaaliobjektiivi|N OW0 RRR M AA L IY OW0 B Y EH0 K T IY V IY
normaaliolot|N OW0 RRR M AA L IY OW0 L OW0 T
normaalipainoinen|N OW0 RRR M AA L IY P AA IY N OW0 IY N EH0 N
normaalipituinen|N OW0 RRR M AA L IY P IY T UW IY N EH0 N
normaalipituus|N OW0 RRR M AA L IY P IY T UW S
normaalitapaus|N OW0 RRR M AA L IY T AA P AA UW S
normaalivahvuus|N OW0 RRR M AA L IY V AA HH V UW S
normaalivartaloinen|N OW0 RRR M AA L IY V AA RRR T AA L OW0 IY N EH0 N
normaalivauhti|N OW0 RRR M AA L IY V AA UW HH T IY
normaalivektori|N OW0 RRR M AA L IY V EH0 K T OW0 RRR IY
normaalivuosi|N OW0 RRR M AA L IY V UW OW0 S IY
normaaliyhtälö|N OW0 RRR M AA L IY Y UW1 HH T AE L OE
normaaliälyinen|N OW0 RRR M AA L IY AE L Y UW1 IY N EH0 N
normalisaatio|N OW0 RRR M AA L IY S AA T IY OW0
normalisoiminen|N OW0 RRR M AA L IY S OW0 IY M IY N EH0 N
normalisoimisprosessi|N OW0 RRR M AA L IY S OW0 IY M IY S P RRR OW0 S EH0 S IY
normalisoitua|N OW0 RRR M AA L IY S OW0 IY T UW AA Q
normanni|N OW0 RRR M AA N IY
normeerautuva|N OW0 RRR M EH0 RRR AA UW T UW V AA
normijärjestelmä|N OW0 RRR M IY Y AE RRR Y EH0 S T EH0 L M AE
normipaine|N OW0 RRR M IY P AA IY N EH0 Q
normipalkka|N OW0 RRR M IY P AA L K AA
normisidonnaisuus|N OW0 RRR M IY S IY D OW0 N N AA IY S UW S
normittaminen|N OW0 RRR M IY T T AA M IY N EH0 N
normitusvakio|N OW0 RRR M IY T UW S V AA K IY OW0
normo|N OW0 RRR M OW0
norovirus|N OW0 RRR OW0 V IY RRR UW S
norppakanta|N OW0 RRR P AA K AA N T AA
norri|N OW0 RRR IY
norssi|N OW0 RRR S IY
norsu|N OW0 RRR S UW
norsueläin|N OW0 RRR S UW EH0 L AE IY N
norsulintu|N OW0 RRR S UW L IY N T UW
norsunheinä|N OW0 RRR S UW N HH EH0 IY N AE
norsunluinen|N OW0 RRR S UW N L UW IY N EH0 N
norsunluu|N OW0 RRR S UW N L UW
norsunluurannikko|N OW0 RRR S UW N L UW RRR AA N IY K OW0
norsunluuveistos|N OW0 RRR S UW N L UW V EH0 IY S T OW0 S
norsunnahkainen|N OW0 RRR S UW N N AA HH K AA IY N EH0 N
norsupallo|N OW0 RRR S UW P AA L OW0
norsupäästäinen|N OW0 RRR S UW P AE S T AE IY N EH0 N
noruttaa|N OW0 RRR UW T AA Q
noskapiini|N OW0 S K AA P IY N IY
nostaa|N OW0 S T AA Q
nostajaiset|N OW0 S T AA Y AA IY S EH0 T
nostattaminen|N OW0 S T AA T T AA M IY N EH0 N
nostatusaine|N OW0 S T AA T UW S AA IY N EH0 Q
noste|N OW0 S T EH0 Q
nostin|N OW0 S T IY N
nostokauha|N OW0 S T OW0 K AA UW AA
nostokorkeus|N OW0 S T OW0 K OW0 RRR K EH0 UW S
nostokoukku|N OW0 S T OW0 K OW0 UW K UW
nostokyky|N OW0 S T OW0 K Y UW1 K Y UW1
nostokölivene|N OW0 S T OW0 K OE L IY V EH0 N EH0 Q
nostoköysi|N OW0 S T OW0 K OE Y UW1 S IY
nostolaite|N OW0 S T OW0 L AA IY T EH0 Q
nostolava|N OW0 S T OW0 L AA V AA
nostolupa|N OW0 S T OW0 L UW P AA
nostomies|N OW0 S T OW0 M IY EH0 S
nostopumppu|N OW0 S T OW0 P UW M P UW
nostoruuvi|N OW0 S T OW0 RRR UW V IY
nostotalja|N OW0 S T OW0 T AA L Y AA
nostotyyny|N OW0 S T OW0 T Y UW1 N Y UW1
nostoverkko|N OW0 S T OW0 V EH0 RRR K OW0
nostoväki|N OW0 S T OW0 V AE K IY
nosturi|N OW0 S T UW RRR IY
nosturialus|N OW0 S T UW RRR IY AA L UW S
nosturiauto|N OW0 S T UW RRR IY AA UW T OW0
nosturinkuljettaja|N OW0 S T UW RRR IY NG K UW L Y EH0 T T AA Y AA
notariaatti|N OW0 T AA RRR IY AA T IY
notariaattiosasto|N OW0 T AA RRR IY AA T IY OW0 S AA S T OW0
notariaattitoiminta|N OW0 T AA RRR IY AA T IY T OW0 IY M IY N T AA
notifikaatio|N OW0 T IY F IY K AA T IY OW0
notifioida|N OW0 T IY F IY OW0 IY D AA Q
notkahtaa|N OW0 T K AA HH T AA Q
notkahtaminen|N OW0 T K AA HH T AA M IY N EH0 N
notkea|N OW0 T K EH0 AA
notkeagibboni|N OW0 T K EH0 AA G IY B OW0 N IY
notkealiikkeinen|N OW0 T K EH0 AA L IY K EH0 IY N EH0 N
notkeasti|N OW0 T K EH0 AA S T IY Q
notketa|N OW0 T K EH0 T AA Q
notkeus|N OW0 T K EH0 UW S
notkistus|N OW0 T K IY S T UW S
notko|N OW0 T K OW0
notkolla|N OW0 T K OW0 L AA
notkolle|N OW0 T K OW0 L EH0 Q
notkopaikka|N OW0 T K OW0 P AA IY K AA
notkoselkä|N OW0 T K OW0 S EH0 L K AE
notkoselkäinen|N OW0 T K OW0 S EH0 L K AE IY N EH0 N
notkoselkäisyys|N OW0 T K OW0 S EH0 L K AE IY S Y UW1 S
notkua|N OW0 T K UW AA Q
notkuminen|N OW0 T K UW M IY N EH0 N
notski|N OW0 T S K IY
nougat|N UW G AA
noukkia|N OW0 UW K IY AA Q
noukkiminen|N OW0 UW K IY M IY N EH0 N
nouseminen|N OW0 UW S EH0 M IY N EH0 N
nousiainen|N OW0 UW S IY AA IY N EH0 N
nousiaislainen|N OW0 UW S IY AA IY S L AA IY N EH0 N
nousta|N OW0 UW S T AA Q
noustelainen|N OW0 UW S T EH0 L AA IY N EH0 N
nousu|N OW0 UW S UW
nousuaika|N OW0 UW S UW AA IY K AA
nousujohteinen|N OW0 UW S UW Y OW0 HH T EH0 IY N EH0 N
nousujohto|N OW0 UW S UW Y OW0 HH T OW0
nousukala|N OW0 UW S UW K AA L AA
nousukas|N OW0 UW S UW K AA S
nousukasmaisesti|N OW0 UW S UW K AA S M AA IY S EH0 S T IY Q
nousukiito|N OW0 UW S UW K IY T OW0
nousukulma|N OW0 UW S UW K UW L M AA
nousukunto|N OW0 UW S UW K UW N T OW0
nousupaine|N OW0 UW S UW P AA IY N EH0 Q
noususuunta|N OW0 UW S UW S UW N T AA
nousutavu|N OW0 UW S UW T AA V UW
nousutie|N OW0 UW S UW T IY EH0
nousuvirtaus|N OW0 UW S UW V IY RRR T AA UW S
noutaa|N OW0 UW T AA Q
noutaja|N OW0 UW T AA Y AA
noutaminen|N OW0 UW T AA M IY N EH0 N
noutoannos|N OW0 UW T OW0 AA N OW0 S
noutopiste|N OW0 UW T OW0 P IY S T EH0 Q
noutopöytä|N OW0 UW T OW0 P OE Y UW1 T AE
noutotukku|N OW0 UW T OW0 T UW K UW
novascotiannoutaja|N OW0 V AA S K OW0 UW SH AA N N OW0 UW T AA Y AA
novelletti|N OW0 V EH0 L L EH0 T IY
novelli|N OW0 V EH0 L IY
novellikirjailija|N OW0 V EH0 L IY K IY RRR Y AA IY L IY Y AA
novellikirjallisuus|N OW0 V EH0 L IY K IY RRR Y AA L L IY S UW S
novellikokoelma|N OW0 V EH0 L IY K OW0 K OW0 EH0 L M AA
novellisarja|N OW0 V EH0 L IY S AA RRR Y AA
novellisatu|N OW0 V EH0 L IY S AA T UW
novellistiikka|N OW0 V EH0 L L IY S T IY K AA
novellistinen|N OW0 V EH0 L L IY S T IY N EH0 N
novellitaide|N OW0 V EH0 L IY T AA IY D EH0 Q
novellivalikoima|N OW0 V EH0 L IY V AA L IY K OW0 IY M AA
novemoli|N OW0 V EH0 M OW0 L IY
noviisi|N OW0 V IY S IY
nubianvilliaasi|N UW B IY AA N V IY L IY AA S IY
nudismi|N UW D IY S M IY
nudisti|N UW D IY S T IY
nudistileiri|N UW D IY S T IY L EH0 IY RRR IY
nugaa|N UW G AA
nugaajäätelö|N UW G AA Y AE T EH0 L OE
nugaakakku|N UW G AA K AA K UW
nuha|N UW AA
nuhakuume|N UW AA K UW M EH0 Q
nuhalääke|N UW AA L AE K EH0 Q
nuhanenä|N UW AA N EH0 N AE
nuhasumutin|N UW AA S UW M UW T IY N
nuhatipat|N UW AA T IY P AA T
nuhde|N UW HH D EH0 Q
nuhdella|N UW HH D EH0 L AA Q
nuhdesaarna|N UW HH D EH0 S S AA RRR N AA
nuhjaantua|N UW HH Y AA N T UW AA Q
nuhjuinen|N UW HH Y UW IY N EH0 N
nuhjuisuus|N UW HH Y UW IY S UW S
nuhjus|N UW HH Y UW S
nuhrata|N UW HH RRR AA T AA Q
nuhteeton|N UW HH T EH0 T OW0 N
nuhtelu|N UW HH T EH0 L UW
nuija|N UW IY Y AA
nuijakalastus|N UW IY Y AA K AA L AA S T UW S
nuijamies|N UW IY Y AA M IY EH0 S
nuijanukutus|N UW IY Y AA N UW K UW T UW S
nuijasara|N UW IY Y AA S AA RRR AA
nuijia|N UW IY Y IY AA Q
nuivasti|N UW IY V AA S T IY Q
nujakka|N UW Y AA K AA
nujakoida|N UW Y AA K OW0 IY D AA Q
nukahtaa|N UW K AA HH T AA Q
nukahtaminen|N UW K AA HH T AA M IY N EH0 N
nukahtamislääke|N UW K AA HH T AA M IY S L AE K EH0 Q
nukahtelutauti|N UW K AA HH T EH0 L UW T AA UW T IY
nukata|N UW K AA T AA Q
nukenrattaat|N UW K EH0 N RRR AA T AA T
nukenvaate|N UW K EH0 N V AA T EH0 Q
nukenvaunut|N UW K EH0 N V AA UW N UW T
nukittaa|N UW K IY T AA Q
nukittaminen|N UW K IY T T AA M IY N EH0 N
nukka|N UW K AA
nukkaaminen|N UW K AA M IY N EH0 N
nukkalanka|N UW K AA L AA NG K AA
nukkamatto|N UW K AA M AA T OW0
nukkapinta|N UW K AA P IY N T AA
nukkapintainen|N UW K AA P IY N T AA IY N EH0 N
nukkasihti|N UW K AA S IY HH T IY
nukkautua|N UW K AA UW T UW AA Q
nukke|N UW K EH0
nukkeanimaatio|N UW K EH0 AA N IY M AA T IY OW0
nukkefilmi|N UW K EH0 F IY L M IY
nukkehallitus|N UW K EH0 HH AA L IY T UW S
nukkeleikki|N UW K EH0 L EH0 IY K IY
nukkenäytelmä|N UW K EH0 N AE Y UW1 T EH0 L M AE
nukkenäyttelijä|N UW K EH0 N AE Y UW1 T EH0 L IY Y AE
nukketaiteilija|N UW K EH0 T AA IY T EH0 IY L IY Y AA
nukkevaltio|N UW K EH0 V AA L T IY OW0
nukki|N UW K IY
nukkua|N UW K UW AA Q
nukkuja|N UW K UW Y AA
nukkumaanmeno|N UW K UW M AA M M EH0 N OW0
nukkumaanmenoaika|N UW K UW M AA M M EH0 N OW0 AA IY K AA
nukkumaija|N UW K UW M AA IY Y AA
nukkumapaikka|N UW K UW M AA P AA IY K AA
nukkuva|N UW K UW V AA
nukleoidi|N UW K L EH0 OW0 IY D IY
nukleosidi|N UW K L EH0 OW0 S IY D IY
nuku|N UW K UW Q
nukute|N UW K UW T EH0 Q
nukuttaminen|N UW K UW T T AA M IY N EH0 N
nukutusaine|N UW K UW T UW S AA IY N EH0 Q
nukutuskaasu|N UW K UW T UW S K AA S UW
nukutuspiikki|N UW K UW T UW S P IY K IY
nulikka|N UW L IY K AA
nuljaska|N UW L Y AA S K AA
nulju|N UW L Y UW
nuljus|N UW L Y UW S
nulkki|N UW L K IY
numbatti|N UW M B AA T IY
numeerinen|N UW M EH0 RRR IY N EH0 N
numeerisesti|N UW M EH0 RRR IY S EH0 S T IY Q
numeraali|N UW M EH0 RRR AA L IY
numero|N UW M EH0 RRR OW0
numeroasteikko|N UW M EH0 RRR OW0 AA S T EH0 IY K OW0
numeroimaton|N UW M EH0 RRR OW0 IY M AA T OW0 N
numeroiminen|N UW M EH0 RRR OW0 IY M IY N EH0 N
numerojärjestys|N UW M EH0 RRR OW0 Y AE RRR Y EH0 S T Y UW1 S
numerollisesti|N UW M EH0 RRR OW0 L IY S EH0 S T IY Q
numerologi|N UW M EH0 RRR OW0 L OW0 G IY
numerologia|N UW M EH0 RRR OW0 L OW0 G IY AA
numerolukko|N UW M EH0 RRR OW0 L UW K OW0
numeromerkintä|N UW M EH0 RRR OW0 M EH0 RRR K IY N T AE
numeromuisti|N UW M EH0 RRR OW0 M UW IY S T IY
numeronäyttö|N UW M EH0 RRR OW0 N AE Y UW1 T OE
numeronäyttöinen|N UW M EH0 RRR OW0 N AE Y UW1 T OE IY N EH0 N
numeropallo|N UW M EH0 RRR OW0 P AA L OW0
numeroristikko|N UW M EH0 RRR OW0 RRR IY S T IY K OW0
numerosarja|N UW M EH0 RRR OW0 S AA RRR Y AA
numerotarkastaja|N UW M EH0 RRR OW0 T AA RRR K AA S T AA Y AA
numerotarkastus|N UW M EH0 RRR OW0 T AA RRR K AA S T UW S
numerotaulu|N UW M EH0 RRR OW0 T AA UW L UW
numerotiedotus|N UW M EH0 RRR OW0 T IY EH0 D OW0 T UW S
numerotieto|N UW M EH0 RRR OW0 T IY EH0 T OW0
numerovalitsin|N UW M EH0 RRR OW0 V AA L IY T S IY N
numerovirhe|N UW M EH0 RRR OW0 V IY RRR HH EH0 Q
numeroyhdistelmä|N UW M EH0 RRR OW0 Y UW1 HH D IY S T EH0 L M AE
numismatiikka|N UW M IY S M AA T IY K AA
nummi|N UW M IY
nummimaa|N UW M IY M AA
numminen|N UW M IY N EH0 N
nunna|N UW N AA
nunnajärjestö|N UW N AA Y AE RRR Y EH0 S T OE
nunnakunta|N UW N AA K UW N T AA
nunnalupaus|N UW N AA L UW P AA UW S
nunnankaapu|N UW N AA NG K AA P UW
nunnanpuku|N UW N AA M P UW K UW
nunnaperhonen|N UW N AA P EH0 RRR HH OW0 N EH0 N
nuo|N UW OW0
nuode|N UW OW0 D EH0 Q
nuohoaminen|N UW OW0 OW0 AA M IY N EH0 N
nuohoojamestari|N UW OW0 OW0 Y AA M EH0 S T AA RRR IY
nuohousharja|N UW OW0 OW0 UW S HH AA RRR Y AA
nuohouskuula|N UW OW0 OW0 UW S K UW L AA
nuohousluukku|N UW OW0 OW0 UW S L UW K UW
nuohouspiiri|N UW OW0 OW0 UW S P IY RRR IY
nuokahtaa|N UW OW0 K AA HH T AA Q
nuokkua|N UW OW0 K UW AA Q
nuokkuminen|N UW OW0 K UW M IY N EH0 N
nuokkutalvikki|N UW OW0 K UW T AA L V IY K IY
nuokuksiin|N UW OW0 K UW K S IY N
nuokuksissa|N UW OW0 K UW K S IY S AA
nuolaiseminen|N UW OW0 L AA IY S EH0 M IY N EH0 N
nuoleminen|N UW OW0 L EH0 M IY N EH0 N
nuolenheitto|N UW OW0 L EH0 N HH EH0 IY T OW0
nuolenkärkikirjoitus|N UW OW0 L EH0 NG K AE RRR K IY K IY RRR Y OW0 IY T UW S
nuolennopea|N UW OW0 L EH0 N N OW0 P EH0 AA
nuolenpääkirjoitus|N UW OW0 L EH0 M P AE K IY RRR Y OW0 IY T UW S
nuoleskeleminen|N UW OW0 L EH0 S K EH0 L EH0 M IY N EH0 N
nuoli|N UW OW0 L IY
nuoliainen|N UW OW0 L IY AA IY N EH0 N
nuolihaukka|N UW OW0 L IY HH AA UW K AA
nuolija|N UW OW0 L IY Y AA
nuolijuna|N UW OW0 L IY Y UW N AA
nuolijuuri|N UW OW0 L IY Y UW RRR IY
nuolijuurijauho|N UW OW0 L IY Y UW RRR IY Y AA UW OW0
nuolimainen|N UW OW0 L IY M AA IY N EH0 N
nuolimyrkkysammakko|N UW OW0 L IY M Y UW1 RRR K Y UW1 S AA M AA K OW0
nuolipyssy|N UW OW0 L IY P Y UW1 S Y UW1
nuolityvinen|N UW OW0 L IY T Y UW1 V IY N EH0 N
nuoliviini|N UW OW0 L IY V IY N IY
nuolla|N UW OW0 L AA Q
nuollen|N UW OW0 L EH0 N
nuora|N UW OW0 RRR AA
nuorakeinu|N UW OW0 RRR AA K EH0 IY N UW
nuorakeraaminen|N UW OW0 RRR AA K EH0 RRR AA M IY N EH0 N
nuorakeramiikka|N UW OW0 RRR AA K EH0 RRR AA M IY K AA
nuorallakävelijä|N UW OW0 RRR AA L AA K AE V EH0 L IY Y AE
nuorallakävely|N UW OW0 RRR AA L AA K AE V EH0 L Y UW1
nuorallatanssi|N UW OW0 RRR AA L AA T AA N S IY
nuorallatanssija|N UW OW0 RRR AA L AA T AA N S IY Y AA
nuoremmakseen|N UW OW0 RRR EH0 M M AA K S EH0 N
nuoremmuuttaan|N UW OW0 RRR EH0 M M UW T AA N
nuorennusleikkaus|N UW OW0 RRR EH0 N UW S L EH0 IY K AA UW S
nuorentaa|N UW OW0 RRR EH0 N T AA Q
nuorentua|N UW OW0 RRR EH0 N T UW AA Q
nuorentuminen|N UW OW0 RRR EH0 N T UW M IY N EH0 N
nuori|N UW OW0 RRR IY
nuoriemäntä|N UW OW0 RRR IY EH0 M AE N T AE
nuorikarja|N UW OW0 RRR IY K AA RRR Y AA
nuorimies|N UW OW0 RRR IY M IY EH0 S
nuoripari|N UW OW0 RRR IY P AA RRR IY
nuoriso|N UW OW0 RRR IY S OW0
nuorisoasema|N UW OW0 RRR IY S OW0 AA S EH0 M AA
nuorisoasiainneuvos|N UW OW0 RRR IY S OW0 AA S IY AA IY N N EH0 UW W OW0 S
nuorisohallinto|N UW OW0 RRR IY S OW0 HH AA L IY N T OW0
nuorisohotelli|N UW OW0 RRR IY S OW0 HH OW0 T EH0 L IY
nuorisojengi|N UW OW0 RRR IY S OW0 Y EH0 NG IY
nuorisojoukko|N UW OW0 RRR IY S OW0 Y OW0 UW K OW0
nuorisojärjestö|N UW OW0 RRR IY S OW0 Y AE RRR Y EH0 S T OE
nuorisokerho|N UW OW0 RRR IY S OW0 K EH0 RRR HH OW0
nuorisokirja|N UW OW0 RRR IY S OW0 K IY RRR Y AA
nuorisokirjailija|N UW OW0 RRR IY S OW0 K IY RRR Y AA IY L IY Y AA
nuorisokirjallisuus|N UW OW0 RRR IY S OW0 K IY RRR Y AA L L IY S UW S
nuorisokulttuuri|N UW OW0 RRR IY S OW0 K UW L T UW RRR IY
nuorisokuoro|N UW OW0 RRR IY S OW0 K UW OW0 RRR OW0
nuorisolautakunta|N UW OW0 RRR IY S OW0 L AA UW T AA K UW N T AA
nuorisoleiri|N UW OW0 RRR IY S OW0 L EH0 IY RRR IY
nuorisoliitto|N UW OW0 RRR IY S OW0 L IY T OW0
nuorisoliittolainen|N UW OW0 RRR IY S OW0 L IY T OW0 L AA IY N EH0 N
nuorisomuoti|N UW OW0 RRR IY S OW0 M UW OW0 T IY
nuorisomusiikki|N UW OW0 RRR IY S OW0 M UW S IY K IY
nuorisonhuolto|N UW OW0 RRR IY S OW0 N HH UW OW0 L T OW0
nuorisonsuojelu|N UW OW0 RRR IY S OW0 N S UW OW0 Y EH0 L UW
nuorisonäytelmä|N UW OW0 RRR IY S OW0 N AE Y UW1 T EH0 L M AE
nuorisopappi|N UW OW0 RRR IY S OW0 P AA P IY
nuorisopastori|N UW OW0 RRR IY S OW0 P AA S T OW0 RRR IY
