'tain|T EH
fertilisasses|F EH RH T IY L IY Z AE S
fertilisassiez|F EH RH T IY L IY Z AE S Y EH0
fertilisassions|F EH RH T IY L IY Z AE S Y AO
fertilisation|F EH RH T IY L IY Z AE S Y AO
fertilise|F EH RH T IY L IY Z
fertilisent|F EH RH T IY L IY Z
fertilisera|F EH RH T IY L IY Z RH AE
fertiliserai|F EH RH T IY L IY Z RH EH0
fertiliseraient|F EH RH T IY L IY Z RH EH
fertiliserais|F EH RH T IY L IY Z RH EH
fertiliserait|F EH RH T IY L IY Z RH EH
fertiliseras|F EH RH T IY L IY Z RH AA
fertiliserez|F EH RH T IY L IY Z RH EH0
fertiliseriez|F EH RH T IY L IY Z AH0 RH Y EH0
fertiliserions|F EH RH T IY L IY Z AH0 RH Y AO
fertiliserons|F EH RH T IY L IY Z RH AO
fertiliseront|F EH RH T IY L IY Z RH AO
fertilises|F EH RH T IY L IY Z
fertilisez|F EH RH T IY L IY Z EH0
fertilisiez|F EH RH T IY L IY Z Y EH0
fertilisions|F EH RH T IY L IY Z Y AO
fertilisons|F EH RH T IY L IY Z AO
fertilisâmes|F EH RH T IY L IY Z AA M
fertilisât|F EH RH T IY L IY Z AA
fertilisâtes|F EH RH T IY L IY Z AA T
fertilisèrent|F EH RH T IY L IY Z EH RH
fertilisé|F EH RH T IY L IY Z EH0
fervemment|F EH RH V AE M AA
fervent|F EH RH V AA
fervente|F EH RH V AA T
ferventes|F EH RH V AA T
fervents|F EH RH V AA
ferveur|F EH RH V ER RH
fesse|F EH S
fessebouc|F EH S B UW K
fessenheim|F EH S AH0 N AE Y M
fesser|F EH S EH0
fessier|F EH S Y EH0
fessu|F EH S Y UW1
fessé|F EH S EH0
fessée|F EH S EH0
festin|F EH S T EH
festinas|F EH S T IY N AE
festinez|F EH S T IY N EH0
festival|F EH S T IY V AE L
feston|F EH S T AO
festoyer|F EH S T W AE Y EH0
feu|F ER OE
feudataire|F ER D AE T EH RH
feuh|F ER
feuillage|F ER Y AE ZH
feuillages|F ER Y AE ZH
feuillaison|F ER Y EH Z AO
feuillante|F ER Y AA T
feuille|F ER Y
feuilles|F ER Y
feuillet|F ER Y EH
feuilleter|F ER Y T EH0
feuilletine|F ER Y T IY N
feuilleton|F ER Y T AO
feuilletoniste|F ER Y T AO N IY S T
feuilletons|F ER Y T AO
feuillette|F ER Y EH T
feuillu|F ER Y Y UW1
feuillée|F ER Y EH0
feuj|F ER ZH
feuje|F ER ZH
feujes|F ER ZH
feujs|F ER ZH
feulement|F ER L M AA
feurre|F ER RH
feurs|F ER RH
feutre|F OE T RH
feutrer|F OE T RH EH0
feutrine|F OE T RH IY N
feutré|F OE T RH EH0
feux|F OE
fez|F EH Z
fi|F IY
fia|EH F IY AE
fiable|F Y AE B L
fiak|F Y AE K
fiance|F Y AA S
fiancé|F Y AA S EH0
fiancée|F Y AA S EH0
fiant|F Y AA
fiançaille|F Y AA S AA Y
fiançailles|F Y AA S AE Y
fiasco|F Y AE S K OW0
fibre|F IY B RH
fibroblaste|F IY B RH AO B L AE S T
fibrome|F IY B RH AO M
ficelage|F IY S L AE ZH
ficeler|F IY S L EH0
ficelle|F IY S EH L
ficelles|F IY S EH L
ficelé|F IY S L EH0
fiche|F IY SH
ficher|F IY SH EH0
fichier|F IY SH Y EH0
fichtre|F IY SH T RH
fichu|F IY SH Y UW1
fiction|F IY K S Y AO
fictionnelle|F IY K S Y AO N EH L
fictionnellement|F IY K S Y AO N EH L M AA
fictivement|F IY K T IY V M AA
fidji|F IY D ZH IY
fiducie|F IY D Y UW1 S IY
fidèle|F IY D EH L
fidèlement|F IY D EH L M AA
fidèles|F IY D EH L
fidéicommis|F IY D EH0 IY K AO M IY
fidéisme|F IY D EH0 IY S M
fidéiste|F IY D EH0 IY S T
fidéliser|F IY D EH0 L IY Z EH0
fief|F Y EH F
fieffé|F Y EH F EH0
fiefs|F Y EH F
fiel|F Y EH L
fielleusement|F Y EH L OE Z M AA
fiente|F Y AA T
fienter|F Y AA T EH0
fier|F Y EH RH
fierté|F Y EH RH T EH0
fieu|F Y OE
fieux|F Y OE
fif|F IY F
fifa|F IY F AE
fifille|F IY F IY Y
fifre|F IY F RH
figaro|F IY G AE RH OW0
fige|F IY ZH
figea|F IY ZH AE
figeai|F IY ZH EH0
figeaient|F IY ZH EH
figeais|F IY ZH EH
figeait|F IY ZH EH
figeant|F IY ZH AA
figeas|F IY ZH AA
figeasse|F IY ZH AE S
figeassent|F IY ZH AE S
figeasses|F IY ZH AE S
figeassiez|F IY ZH AE S Y EH0
figeassions|F IY ZH AE S Y AO
figement|F IY ZH M AA
figements|F IY ZH M AA
figent|F IY ZH
figeons|F IY ZH AO
figer|F IY ZH EH0
figera|F IY ZH RH AE
figerai|F IY ZH RH EH0
figeraient|F IY ZH RH EH
figerais|F IY ZH RH EH
figerait|F IY ZH RH EH
figeras|F IY ZH RH AA
figerez|F IY ZH RH EH0
figeriez|F IY ZH AH0 RH Y EH0
figerions|F IY ZH AH0 RH Y AO
figerons|F IY ZH RH AO
figeront|F IY ZH RH AO
figes|F IY ZH
figez|F IY ZH EH0
figeâmes|F IY ZH AA M
figeât|F IY ZH AA
figeâtes|F IY ZH AA T
figiez|F IY ZH Y EH0
figions|F IY ZH Y AO
fignoler|F IY N IY0 AO L EH0
figue|F IY G
figuier|F IY G Y EH0
figura|F IY G Y UW1 RH AE
figuratif|F IY G Y UW1 RH AE T IY F
figurative|F IY G Y UW1 RH AE T IY V
figurativement|F IY G Y UW1 RH AE T IY V M AA
figuratives|F IY G Y UW1 RH AE T IY V
figure|F IY G Y UW1 RH
figurer|F IY G Y UW1 RH EH0
figurine|F IY G Y UW1 RH IY N
figuré|F IY G Y UW1 RH EH0
figèrent|F IY ZH EH RH
figé|F IY ZH EH0
fil|F IY L
fila|F IY L AE
filai|F IY L EH0
filaient|F IY L EH
filais|F IY L EH
filait|F IY L EH
filant|F IY L AA
filas|F IY L AA
filassent|F IY L AE S
filasses|F IY L AE S
filassiez|F IY L AE S Y EH0
filassions|F IY L AE S Y AO
filature|F IY L AE T Y UW1 RH
fildefériste|F IY L D AH0 F EH0 RH IY S T
file|F IY L
filent|F IY L
filer|F IY L EH0
filera|F IY L RH AE
filerai|F IY L RH EH0
fileraient|F IY L RH EH
filerais|F IY L RH EH
filerait|F IY L RH EH
fileras|F IY L RH AA
filerez|F IY L RH EH0
fileriez|F IY L AH0 RH Y EH0
filerions|F IY L AH0 RH Y AO
filerons|F IY L RH AO
fileront|F IY L RH AO
files|F IY L
filet|F IY L EH
filez|F IY L EH0
filial|F IY L Y AE L
filiale|F IY L Y AE L
filiez|F IY L Y EH0
filiforme|F IY L IY F AO RH M
filigrane|F IY L IY G RH AE N
filigraner|F IY L IY G RH AE N EH0
filions|F IY L Y AO
fille|F IY Y
filles|F IY Y
fillette|F IY Y EH T
filleul|F IY Y ER L
filleule|F IY Y ER L
film|F IY L M
filma|F IY L M AE
filmai|F IY L M EH0
filmaient|F IY L M EH
filmais|F IY L M EH
filmait|F IY L M EH
filmant|F IY L M AA
filmas|F IY L M AA
filmasse|F IY L M AE S
filmassent|F IY L M AE S
filmasses|F IY L M AE S
filmassiez|F IY L M AE S Y EH0
filmassions|F IY L M AE S Y AO
filme|F IY L M
filment|F IY L M
filmera|F IY L M AH0 RH AE
filmerai|F IY L M AH0 RH EH0
filmeraient|F IY L M AH0 RH EH
filmerais|F IY L M AH0 RH EH
filmerait|F IY L M AH0 RH EH
filmeras|F IY L M AH0 RH AA
filmerez|F IY L M AH0 RH EH0
filmeriez|F IY L M AH0 RH Y EH0
filmerions|F IY L M AH0 RH Y AO
filmerons|F IY L M AH0 RH AO
filmeront|F IY L M AH0 RH AO
filmes|F IY L M
filmez|F IY L M EH0
filmiez|F IY L M Y EH0
filmions|F IY L M Y AO
filmons|F IY L M AO
films|F IY L M
filmâmes|F IY L M AA M
filmât|F IY L M AA
filmâtes|F IY L M AA T
filmèrent|F IY L M EH RH
filmé|F IY L M EH0
filoir|F IY L W AA RH
filon|F IY L AO
filou|F IY L UW
fils|F IY S
filtrante|F IY L T RH AA T
filtrantes|F IY L T RH AA T
filtras|F IY L T RH AA
filtrat|F IY L T RH AE
filtrats|F IY L T RH AE
filtre|F IY L T RH
filtrer|F IY L T RH EH0
filtrez|F IY L T RH EH0
filâmes|F IY L AA M
filât|F IY L AA
filâtes|F IY L AA T
filèrent|F IY L EH RH
filé|F IY L EH0
fin|F EH
final|F IY N AE L
finalement|F IY N AE L M AA
finalité|F IY N AE L IY T EH0
finance|F IY N AA S
financer|F IY N AA S EH0
finances|F IY N AA S
financier|F IY N AA S Y EH0
financière|F IY N AA S Y EH RH
financièrement|F IY N AA S Y EH RH M AA
financé|F IY N AA S EH0
finasse|F IY N AE S
finasser|F IY N AE S EH0
finasses|F IY N AE S
fine|F IY N
finement|F IY N M AA
fines|F IY N
finesse|F IY N EH S
fini|F IY N IY
finir|F IY N IY RH
finira|F IY N IY RH AE
finirai|F IY N IY RH EH0
finiraient|F IY N IY RH EH
finirais|F IY N IY RH EH
finirait|F IY N IY RH EH
finiras|F IY N IY RH AA
finirent|F IY N IY RH
finirez|F IY N IY RH EH0
finiriez|F IY N IY RH Y EH0
finirions|F IY N IY RH Y AO
finirons|F IY N IY RH AO
finiront|F IY N IY RH AO
finis|F IY N IY
finissaient|F IY N IY S EH
finissais|F IY N IY S EH
finissait|F IY N IY S EH
finissant|F IY N IY S AA
finisse|F IY N IY S
finissent|F IY N IY S
finisses|F IY N IY S
finissez|F IY N IY S EH0
finissiez|F IY N IY S Y EH0
finissions|F IY N IY S Y AO
finissons|F IY N IY S AO
finistère|F IY N IY S T EH RH
finit|F IY N IY
finition|F IY N IY S Y AO
finitions|F IY N IY S Y AO
finitude|F IY N IY T Y UW1 D
finlandais|F EH L AA D EH
finlande|F EH L AA D
finlandisation|F EH L AA D IY Z AE S Y AO
finnois|F IY N W AE
fins|F EH
finîmes|F IY N IY M
finît|F IY N IY
fiole|F Y AO L
fion|F Y AO
fiona|F Y AO N AE
fioriture|F Y AO RH IY T Y UW1 RH
fiou|F Y UW
fioul|F Y UW L
firent|F IY RH
firmament|F IY RH M AE M AA
firme|F IY RH M
firmware|F EH RH M W EH RH
fis|F IY
fisc|F IY S K
fiscalement|F IY S K AE L M AA
fiscaliser|F IY S K AE L IY Z EH0
fiscalité|F IY S K AE L IY T EH0
fissa|F IY S AE
fisse|F IY S
fissent|F IY S
fissiez|F IY S Y EH0
fission|F IY S Y AO
fissions|F IY S Y AO
fissure|F IY S Y UW1 RH
fiston|F IY S T AO
fistule|F IY S T Y UW1 L
fitness|F IY T N EH S
fix|F IY K S
fixation|F IY K S AE S Y AO
fixe|F IY K S
fixement|F IY K S AH0 M AA
fixer|F IY K S EH0
fixette|F IY K S EH T
fière|F Y EH RH
fièrement|F Y EH RH M AA
fièvre|F Y EH V RH
fièvres|F Y EH V RH
fjeld|F Y EH L D
fjord|F Y AO RH D
flaccide|F L AE K S IY D
flacon|F L AE K AO
flageller|F L AE ZH EH L EH0
flageoler|F L AE ZH AO L EH0
flageolet|F L AE ZH AO L EH
flagorner|F L AE G AO RH N EH0
flagrant|F L AE G RH AA
flagrantes|F L AE G RH AA T
flagrants|F L AE G RH AA
flair|F L EH RH
flairer|F L EH RH EH0
flama|F L AE M AE
flamai|F L AE M EH0
flamaient|F L AE M EH
flamais|F L AE M EH
flamait|F L AE M EH
flamand|F L AE M AA
flamant|F L AE M AA
flamas|F L AE M AA
flamasse|F L AE M AE S
flamassent|F L AE M AE S
flamasses|F L AE M AE S
flamassiez|F L AE M AE S Y EH0
flamassions|F L AE M AE S Y AO
flambarde|F L AA B AE RH D
flambe|F L AA B
flamber|F L AA B EH0
flamboyant|F L AA B W AE Y AA
flamboyante|F L AA B W AE Y AA T
flamboyer|F L AA B W AE Y EH0
flame|F L AE M
flament|F L AE M
flamera|F L AE M RH AE
flamerai|F L AE M RH EH0
flameraient|F L AE M RH EH
flamerais|F L AE M RH EH
flamerait|F L AE M RH EH
flameras|F L AE M RH AA
flamerez|F L AE M RH EH0
flameriez|F L AE M AH0 RH Y EH0
flamerions|F L AE M AH0 RH Y AO
flamerons|F L AE M RH AO
flameront|F L AE M RH AO
flamez|F L AE M EH0
flamiche|F L AE M IY SH
flamiez|F L AE M Y EH0
flamine|F L AE M IY N
flaminique|F L AE M IY N IY K
flamions|F L AE M Y AO
flammarion|F L AE M AE RH Y AO
flamme|F L AA M
flamons|F L AE M AO
flamouche|F L AE M UW SH
flamâmes|F L AE M AA M
flamât|F L AE M AA
flamâtes|F L AE M AA T
flamèrent|F L AE M EH RH
flamé|F L AE M EH0
flan|F L AA
flanc|F L AA
flanchet|F L AA SH EH
flancs|F L AA
flandre|F L AA D RH
flanelle|F L AE N EH L
flanquer|F L AA K EH0
flaperon|F L AE P RH AO
flaqua|F L AE K AE
flaquai|F L AE K EH0
flaquaient|F L AE K EH
flaquais|F L AE K EH
flaquait|F L AE K EH
flaquant|F L AE K AA
flaquas|F L AE K AA
flaquasse|F L AE K AE S
flaquassent|F L AE K AE S
flaquasses|F L AE K AE S
flaquassiez|F L AE K AE S Y EH0
flaquassions|F L AE K AE S Y AO
flaque|F L AE K
flaquent|F L AE K
flaquer|F L AE K EH0
flaquera|F L AE K RH AE
flaquerai|F L AE K RH EH0
flaqueraient|F L AE K RH EH
flaquerais|F L AE K RH EH
flaquerait|F L AE K RH EH
flaqueras|F L AE K RH AA
flaquerez|F L AE K RH EH0
flaqueriez|F L AE K AH0 RH Y EH0
flaquerions|F L AE K AH0 RH Y AO
flaquerons|F L AE K RH AO
flaqueront|F L AE K RH AO
flaques|F L AE K
flaquez|F L AE K EH0
flaquiez|F L AE K Y EH0
flaquions|F L AE K Y AO
flaquons|F L AE K AO
flaquâmes|F L AE K AA M
flaquât|F L AE K AA
flaquâtes|F L AE K AA T
flaquèrent|F L AE K EH RH
flaqué|F L AE K EH0
flash|F L AE SH
flasher|F L AE SH EH0
flasque|F L AE S K
flatta|F L AE T AE
flattai|F L AE T EH0
flattaient|F L AE T EH
flattais|F L AE T EH
flattait|F L AE T EH
flattant|F L AE T AA
flattas|F L AE T AA
flattasse|F L AE T AE S
flattassent|F L AE T AE S
flattasses|F L AE T AE S
flattassiez|F L AE T AE S Y EH0
flattassions|F L AE T AE S Y AO
flatte|F L AE T
flattent|F L AE T
flatter|F L AE T EH0
flattera|F L AE T RH AE
flatterai|F L AE T RH EH0
flatteraient|F L AE T RH EH
flatterais|F L AE T RH EH
flatterait|F L AE T RH EH
flatteras|F L AE T RH AA
flatterez|F L AE T RH EH0
flatterie|F L AE T RH IY
flatteriez|F L AE T AH0 RH Y EH0
flatterions|F L AE T AH0 RH Y AO
flatterons|F L AE T RH AO
flatteront|F L AE T RH AO
flattes|F L AE T
flatteur|F L AE T ER RH
flattez|F L AE T EH0
flattiez|F L AE T Y EH0
flattions|F L AE T Y AO
flattons|F L AE T AO
flattâmes|F L AE T AA M
flattât|F L AE T AA
flattâtes|F L AE T AA T
flattèrent|F L AE T EH RH
flatté|F L AE T EH0
flatulence|F L AE T Y UW1 L AA S
flatulent|F L AE T Y UW1 L AA
flatulente|F L AE T Y UW1 L AA T
flavienne|F L AE V Y EH N
flegme|F L EH G M
fleischschnacka|F L AE Y SH N AE K AE
flemmard|F L EH M AE RH
flemmarda|F L EH M AE RH D AE
flemmardai|F L EH M AE RH D EH0
flemmardaient|F L EH M AE RH D EH
flemmardais|F L EH M AE RH D EH
flemmardait|F L EH M AE RH D EH
flemmardant|F L EH M AE RH D AA
flemmardas|F L EH M AE RH D AA
flemmardasse|F L EH M AE RH D AE S
flemmardassent|F L EH M AE RH D AE S
flemmardasses|F L EH M AE RH D AE S
flemmardassiez|F L EH M AE RH D AE S Y EH0
flemmardassions|F L EH M AE RH D AE S Y AO
flemmarde|F L EH M AE RH D
flemmardent|F L EH M AE RH D
flemmarder|F L EH M AE RH D EH0
flemmardera|F L EH M AE RH D AH0 RH AE
flemmarderai|F L EH M AE RH D AH0 RH EH0
flemmarderaient|F L EH M AE RH D AH0 RH EH
flemmarderais|F L EH M AE RH D AH0 RH EH
flemmarderait|F L EH M AE RH D AH0 RH EH
flemmarderas|F L EH M AE RH D AH0 RH AA
flemmarderez|F L EH M AE RH D AH0 RH EH0
flemmarderiez|F L EH M AE RH D AH0 RH Y EH0
flemmarderions|F L EH M AE RH D AH0 RH Y AO
flemmarderons|F L EH M AE RH D AH0 RH AO
flemmarderont|F L EH M AE RH D AH0 RH AO
flemmardes|F L EH M AE RH D
flemmardez|F L EH M AE RH D EH0
flemmardiez|F L EH M AE RH D Y EH0
flemmardions|F L EH M AE RH D Y AO
flemmardise|F L EH M AE RH D IY Z
flemmardons|F L EH M AE RH D AO
flemmardâmes|F L EH M AE RH D AA M
flemmardât|F L EH M AE RH D AA
flemmardâtes|F L EH M AE RH D AA T
flemmardèrent|F L EH M AE RH D EH RH
flemmardé|F L EH M AE RH D EH0
flemme|F L EH M
flet|F L EH
flets|F L EH
fleur|F L ER RH
fleurdelyser|F L ER RH D AH0 L IY Z EH0
fleuret|F L ER RH EH
fleurette|F L ER RH EH T
fleurettes|F L ER RH EH T
fleuri|F L ER RH IY
fleurir|F L ER RH IY RH
fleurira|F L ER RH IY RH AE
fleurirai|F L ER RH IY RH EH0
fleuriraient|F L ER RH IY RH EH
fleurirais|F L ER RH IY RH EH
fleurirait|F L ER RH IY RH EH
fleuriras|F L ER RH IY RH AA
fleurirent|F L ER RH IY RH
fleurirez|F L ER RH IY RH EH0
fleuririez|F L ER RH IY RH Y EH0
fleuririons|F L ER RH IY RH Y AO
fleurirons|F L ER RH IY RH AO
fleuriront|F L ER RH IY RH AO
fleuris|F L ER RH IY
fleurissaient|F L ER RH IY S EH
fleurissais|F L ER RH IY S EH
fleurissait|F L ER RH IY S EH
fleurissant|F L ER RH IY S AA
fleurisse|F L ER RH IY S
fleurissement|F L ER RH IY S M AA
fleurissent|F L ER RH IY S
fleurisses|F L ER RH IY S
fleurissez|F L ER RH IY S EH0
fleurissiez|F L ER RH IY S Y EH0
fleurissions|F L ER RH IY S Y AO
fleurissons|F L ER RH IY S AO
fleuriste|F L ER RH IY S T
fleurit|F L ER RH IY
fleuron|F L ER RH AO
fleuronnée|F L ER RH AO N EH0
fleurîmes|F L ER RH IY M
fleurît|F L ER RH IY
fleurîtes|F L ER RH IY T
fleuve|F L ER V
fleuves|F L ER V
flevoland|F L EH0 V AO L AA D
flexibiliser|F L EH K S IY B IY L IY Z EH0
flexible|F L EH K S IY B L
flexiblement|F L EH K S IY B L AH0 M AA
flexibles|F L EH K S IY B L
flexion|F L EH K S Y AO
flexionnel|F L EH K S Y AO N EH L
flibuste|F L IY B Y UW1 S T
flibuster|F L IY B Y UW1 S T EH0
flibustier|F L IY B Y UW1 S T Y EH0
flic|F L IY K
flicaille|F L IY K AE Y
flicailles|F L IY K AE Y
flingot|F L EH G OW0
flingua|F L EH G AE
flinguai|F L EH G EH0
flinguaient|F L EH G EH
flinguais|F L EH G EH
flinguait|F L EH G EH
flinguant|F L EH G AA
flinguas|F L EH G AA
flinguasse|F L EH G AE S
flinguassent|F L EH G AE S
flinguasses|F L EH G AE S
flinguassiez|F L EH G AE S Y EH0
flinguassions|F L EH G AE S Y AO
flinguent|F L EH G
flinguer|F L EH G EH0
flinguera|F L EH G RH AE
flinguerai|F L EH G RH EH0
flingueraient|F L EH G RH EH
flinguerais|F L EH G RH EH
flinguerait|F L EH G RH EH
flingueras|F L EH G RH AA
flinguerez|F L EH G RH EH0
flingueriez|F L EH G AH0 RH Y EH0
flinguerions|F L EH G AH0 RH Y AO
flinguerons|F L EH G RH AO
flingueront|F L EH G RH AO
flinguez|F L EH G EH0
flinguiez|F L EH G Y EH0
flinguions|F L EH G Y AO
flinguons|F L EH G AO
flinguâmes|F L EH G AA M
flinguât|F L EH G AA
flinguâtes|F L EH G AA T
flinguèrent|F L EH G EH RH
flingué|F L EH G EH0
flip|F L IY P
flippant|F L IY P AA
flipper|F L IY P ER RH
fliquesse|F L IY K EH S
fliquette|F L IY K EH T
flirt|F L ER RH T
flirter|F L ER RH T EH0
flirteuse|F L ER RH T OE Z
flo|F L OW0
flocon|F L AO K AO
floculation|F L AO K Y UW1 L AE S Y AO
flopée|F L AO P EH0
flora|F L AO RH AE
floraison|F L AO RH EH Z AO
floral|F L AO RH AE L
florale|F L AO RH AE L
florales|F L AO RH AE L
floraux|F L AO RH OW0
flore|F L AO RH
florence|F L AO RH AA S
florent|F L AO RH AA
florentin|F L AO RH AA T EH
florian|F L AO RH Y AA
floride|F L AO RH IY D
florès|F L AO RH EH S
floréal|F L AO RH EH0 AE L
flot|F L OW0
flottaison|F L AO T EH Z AO
flotte|F L AO T
flottement|F L AO T M AA
flotter|F L AO T EH0
flotteur|F L AO T ER RH
flottille|F L AO T IY Y
flou|F L UW
flouer|F L UW EH0
flouse|F L UW Z
flouze|F L UW Z
flu|F L UW
fluctuer|F L Y UW1 K T EH0
fluer|F L Y UW1 EH0
fluet|F L Y UW1 EH
fluide|F L IY D
fluidification|F L IY D IY F IY K AE S Y AO
fluoborure|F L Y UW1 AO B AO RH Y UW1 RH
fluor|F L Y UW1 AO RH
fluorescence|F L Y UW1 AO RH EH S AA S
fluosilicié|F L Y UW1 OW0 Z IY L IY S Y EH0
fluosiliciée|F L Y UW1 OW0 Z IY L IY S Y EH0
flush|F L ER SH
flusher|F L ER SH EH0
flute|F L Y UW1 T
fluvial|F L Y UW1 V Y AE L
flux|F L Y UW1
fluxion|F L Y UW1 K S Y AO
flyer|F L AE Y ER RH
flyé|F L AE Y EH0
flâner|F L AA N EH0
flâneur|F L AA N ER RH
flânocher|F L AA N AO SH EH0
flèche|F L EH SH
fléau|F L EH0 OW0
flébile|F L EH0 B IY L
flécher|F L EH0 SH EH0
fléchette|F L EH0 SH EH T
fléchettes|F L EH0 SH EH T
fléchir|F L EH0 SH IY RH
fléchira|F L EH0 SH IY RH AE
fléchirai|F L EH0 SH IY RH EH0
fléchiraient|F L EH0 SH IY RH EH
fléchirais|F L EH0 SH IY RH EH
fléchirait|F L EH0 SH IY RH EH
fléchiras|F L EH0 SH IY RH AA
fléchirent|F L EH0 SH IY RH
fléchirez|F L EH0 SH IY RH EH0
fléchiriez|F L EH0 SH IY RH Y EH0
fléchirions|F L EH0 SH IY RH Y AO
fléchirons|F L EH0 SH IY RH AO
fléchiront|F L EH0 SH IY RH AO
fléchis|F L EH0 SH IY
fléchissaient|F L EH0 SH IY S EH
fléchissais|F L EH0 SH IY S EH
fléchissait|F L EH0 SH IY S EH
fléchissant|F L EH0 SH IY S AA
fléchisse|F L EH0 SH IY S
fléchissent|F L EH0 SH IY S
fléchisses|F L EH0 SH IY S
fléchissez|F L EH0 SH IY S EH0
fléchissiez|F L EH0 SH IY S Y EH0
fléchissions|F L EH0 SH IY S Y AO
fléchissons|F L EH0 SH IY S AO
fléchit|F L EH0 SH IY
fléchîmes|F L EH0 SH IY M
fléchît|F L EH0 SH IY
fléchîtes|F L EH0 SH IY T
flétan|F L EH0 T AA
flétri|F L EH0 T RH IY
flétrir|F L EH0 T RH IY RH
flétrissure|F L EH0 T RH IY S Y UW1 RH
flûte|F L Y UW1 T
flûteur|F L Y UW1 T ER RH
flûtiste|F L Y UW1 T IY S T
foc|F AO K
focaliser|F AO K AE L IY Z EH0
foch|F AO SH
focussa|F AO K Y UW1 S AE
focussai|F AO K Y UW1 S EH0
focussaient|F AO K Y UW1 S EH
focussais|F AO K Y UW1 S EH
focussait|F AO K Y UW1 S EH
focussant|F AO K Y UW1 S AA
focussas|F AO K Y UW1 S AA
focussasse|F AO K Y UW1 S AE S
focussassent|F AO K Y UW1 S AE S
focussasses|F AO K Y UW1 S AE S
focussassiez|F AO K Y UW1 S AE S Y EH0
focussassions|F AO K Y UW1 S AE S Y AO
focusse|F AO K Y UW1 S
focussent|F AO K Y UW1 S
focusser|F AO K Y UW1 S EH0
focussera|F AO K Y UW1 S RH AE
focusserai|F AO K Y UW1 S RH EH0
focusseraient|F AO K Y UW1 S RH EH
focusserais|F AO K Y UW1 S RH EH
focusserait|F AO K Y UW1 S RH EH
focusseras|F AO K Y UW1 S RH AA
focusserez|F AO K Y UW1 S RH EH0
focusseriez|F AO K Y UW1 S AH0 RH Y EH0
focusserions|F AO K Y UW1 S AH0 RH Y AO
focusserons|F AO K Y UW1 S RH AO
focusseront|F AO K Y UW1 S RH AO
focusses|F AO K Y UW1 S
focussez|F AO K Y UW1 S EH0
focussiez|F AO K Y UW1 S Y EH0
focussions|F AO K Y UW1 S Y AO
focussons|F AO K Y UW1 S AO
focussâmes|F AO K Y UW1 S AA M
focussât|F AO K Y UW1 S AA
focussâtes|F AO K Y UW1 S AA T
focussèrent|F AO K Y UW1 S EH RH
focussé|F AO K Y UW1 S EH0
foehn|F OE N
foehner|F OE N EH0
foi|F W AE
foie|F W AE
foies|F W AE
foin|F W EH
foirache|F W AE RH AE SH
foirail|F W AE RH AE Y
foire|F W AE RH
foirer|F W AE RH EH0
foiré|F W AE RH EH0
fois|F W AE
foison|F W AE Z AO
foisonna|F W AE Z AO N AE
foisonnai|F W AE Z AO N EH0
foisonnaient|F W AE Z AO N EH
foisonnais|F W AE Z AO N EH
foisonnait|F W AE Z AO N EH
foisonnant|F W AE Z AO N AA
foisonnante|F W AE Z AO N AA T
foisonnas|F W AE Z AO N AA
foisonnasse|F W AE Z AO N AE S
foisonnassent|F W AE Z AO N AE S
foisonnasses|F W AE Z AO N AE S
foisonnassiez|F W AE Z AO N AE S Y EH0
foisonnassions|F W AE Z AO N AE S Y AO
foisonne|F W AE Z AO N
foisonnement|F W AE Z AO N M AA
foisonnent|F W AE Z AO N
foisonner|F W AE Z AO N EH0
foisonnera|F W AE Z AO N RH AE
foisonnerai|F W AE Z AO N RH EH0
foisonneraient|F W AE Z AO N RH EH
foisonnerais|F W AE Z AO N RH EH
foisonnerait|F W AE Z AO N RH EH
foisonneras|F W AE Z AO N RH AA
foisonnerez|F W AE Z AO N RH EH0
foisonneriez|F W AE Z AO N AH0 RH Y EH0
foisonnerions|F W AE Z AO N AH0 RH Y AO
foisonnerons|F W AE Z AO N RH AO
foisonneront|F W AE Z AO N RH AO
foisonnes|F W AE Z AO N
foisonnez|F W AE Z AO N EH0
foisonniez|F W AE Z AO N Y EH0
foisonnions|F W AE Z AO N Y AO
foisonnons|F W AE Z AO N AO
foisonnâmes|F W AE Z AO N AA M
foisonnât|F W AE Z AO N AA
foisonnâtes|F W AE Z AO N AA T
foisonnèrent|F W AE Z AO N EH RH
foisonné|F W AE Z AO N EH0
foix|F W AE
fol|F AO L
folie|F AO L IY
foliole|F AO L Y AO L
folklo|F AO L K L OW0
folklore|F AO L K L AO RH
folklores|F AO L K L AO RH
folklorique|F AO L K L AO RH IY K
folkloriques|F AO L K L AO RH IY K
folle|F AO L
follement|F AO L M AA
follerie|F AO L RH IY
follet|F AO L EH
follicule|F AO L IY K Y UW1 L
follower|F AO L AO W ER RH
folâtre|F AO L AA T RH
folâtrent|F AO L AE T RH
folâtrer|F AO L AA T RH EH0
folâtres|F AO L AE T RH
fomenter|F AO M AA T EH0
fonce|F AO S
fonceder|F AO S D EH0
foncent|F AO S
foncer|F AO S EH0
foncera|F AO S RH AE
foncerai|F AO S RH EH0
fonceraient|F AO S RH EH
foncerais|F AO S RH EH
foncerait|F AO S RH EH
fonceras|F AO S RH AA
foncerez|F AO S RH EH0
fonceriez|F AO S AH0 RH Y EH0
foncerions|F AO S AH0 RH Y AO
foncerons|F AO S RH AO
fonceront|F AO S RH AO
fonces|F AO S
fonceur|F AO S ER RH
foncez|F AO S EH0
foncier|F AO S Y EH0
