ᆜ|Y UW0
석류나무|S AH NG N IY0 UW N AE M UW
석류석|S AH NG N IY0 UW S AH K
석방|S AH K P AE NG
석방하다|S AH K P AE NG AE D AE
석순|S AH K S UW N
석유|S AH G Y UW
석의|S AH G IY
석임|S AH G IY M
석존|S AH K T OW0 N
석탄|S AH K T AE N
석탄산|S AH K T AE N S AE N
섞다|S AH K T AE
섞이다|S AH K IY D AE
선고|S AH N G OW0
선고하다|S AH N G OW0 AE D AE
선교|S AH N G Y OW0
선교사|S AH N G Y OW0 S AE
선군|S AH N G UW N
선그림|S AH N G UW0 R IY M
선글라스|S AH N G UW0 L L AE S UW0
선동|S AH N D OW0 NG
선동하다|S AH N D OW0 NG AE D AE
선렬|S AH L IY L IY AH L
선로|S AH L L OW0
선명|S AH N M Y AH NG
선박|S AH N B AE K
선반|S AH N B AE N
선반공|S AH N B AE N G OW0 NG
선비|S AH N B IY
선상|S AH N S AE NG
선서|S AH N S AH
선술집|S AH N S UW L IY T IY P
선슨아|S AH N S UW0 N AE
선실|S AH N SH IY L
선심|S AH N SH IY M
선약|S AH N IY0 AE K
선언|S AH N AH N
선언하다|S AH N AH N AE D AE
선우|S AH N UW
선원|S AH N W AH N
선율|S AH N IY0 UW L
선인장|S AH N IY N IY0 D AE NG
선입견|S AH N IY P K Y AH N
선입관|S AH N IY P K W AE N
선입선출|S AH N IY P S AH N IY0 T UW L
선잠|S AH N IY0 D AE M
선장|S AH N IY0 D AE NG
선전|S AH N IY0 D AH N
선종|S AH N IY0 D OW0 NG
선지|S AH N IY0 D IY
선지자|S AH N IY0 D IY D AE
선진국|S AH N IY0 D IY N G UW K
선착장|S AH N IY0 T AE K T AE NG
선창|S AH N IY0 T AE NG
선체|S AH N IY0 T EH0
선풍|S AH N P UW NG
선풍기|S AH N P UW NG G IY
선혈|S AH N IY AH L
선형동물|S AH N IY AH NG D OW0 NG M UW L
선화|S AH N V W AE
설|S AH L
설거지|S AH L G AH D IY
설거지하다|S AH L G AH D IY AE D AE
설계|S AH L G Y EH0
설계도|S AH L G Y EH0 D OW0
설교|S AH L G Y OW0
설교자|S AH L G Y OW0 D AE
설기|S AH L G IY
설농탕|S AH L L OW0 NG T AE NG
설더구하다|S AH L D AH G UW AE D AE
설렁탕|S AH L L AH NG T AE NG
설레다|S AH L L EH0 D AE
설레이다|S AH L L EH0 IY D AE
설령|S AH L IY L IY AH NG
설립자|S AH L IY L IY IY P T AE
설립하다|S AH L IY L IY IY P AE D AE
설마|S AH L M AE
설명|S AH L M Y AH NG
설명하다|S AH L M Y AH NG AE D AE
설문|S AH L M UW N
설문지|S AH L M UW N IY0 D IY
설비|S AH L B IY
설사|S AH L S AE
설산|S AH L S AE N
설상가상|S AH L S AE NG G AE S AE NG
설설|S AH L S AH L
설연타|S AH R Y AH N T AE
설인|S AH R IY N
설전|S AH L IY T AH N
설정|S AH L IY T AH NG
설치|S AH L IY T IY
설치다|S AH L IY T IY D AE
설치되다|S AH L IY T IY D W EH0 D AE
설치류|S AH L IY T IY R Y UW
설치하다|S AH L IY T IY AE D AE
설탕|S AH L T AE NG
설탕단풍나무|S AH L T AE NG D AE N P UW NG N AE M UW
설포닐기|S AH L P OW0 N IY L G IY
설폰|S AH L P OW0 N
설프히드릴기|S AH L P UW0 IY IY D UW0 R IY L G IY
설하다|S AH R AE D AE
설화|S AH R V W AE
섥|S AH K
섬광|S AH M G W AE NG
섬기다|S AH M G IY D AE
섬네일|S AH M N EH0 IY L
섬돌|S AH M T OW0 L
섬망|S AH M M AE NG
섬멸|S AH M M Y AH L
섬서|S AH M S AH
섬섬옥수|S AH M S AH M OW0 K S UW
섬유|S AH M Y UW
섭씨|S AH P SH IY
섭취|S AH P T IY
섯|S AH T
성|S AH NG
성가시다|S AH NG G AE SH IY D AE
성공|S AH NG G OW0 NG
성공하다|S AH NG G OW0 NG AE D AE
성과|S AH NG K W AE
성곽|S AH NG G W AE K
성구|S AH NG G UW
성군|S AH NG G UW N
성남|S AH NG N AE M
성냥|S AH NG N IY0 AE NG
성녀|S AH NG N IY0 AH
성년|S AH NG N IY0 AH N
성능|S AH NG N UW0 NG
성독|S AH NG D OW0 K
성립|S AH NG N IY P
성립되다|S AH NG N IY P T W EH0 D AE
성망|S AH NG M AE NG
성명서|S AH NG M Y AH NG S AH
성문|S AH NG M UW N
성벽|S AH NG B Y AH K
성분|S AH NG B UW N
성실|S AH NG SH IY L
성심|S AH NG SH IY M
성어|S AH NG AH
성에|S AH NG EH0
성우|S AH NG UW
성운|S AH NG UW N
성의|S AH NG IY
성인|S AH NG IY N
성장|S AH NG D AE NG
성장하다|S AH NG D AE NG AE D AE
성적|S AH NG D AH K
성적표|S AH NG D AH K P Y OW0
성조|S AH NG D OW0
성좌|S AH NG D W AE
성취|S AH NG T IY
섶|S AH P
세|S EH0
세가락메추라기|S EH0 G AE R AE NG M EH0 T UW R AE G IY
세계|S EH0 G Y EH0
세계관|S EH0 G Y EH0 G W AE N
세계어|S EH0 G Y EH0 AH
세계적|S EH0 G Y EH0 D AH K
세계평화|S EH0 G Y EH0 P Y AH NG V W AE
세계화|S EH0 G Y EH0 V W AE
세관|S EH0 G W AE N
세균|S EH0 G Y UW N
세금|S EH0 G UW0 M
세기|S EH0 G IY
세꼬|S EH0 K OW0
세네갈|S EH0 N EH0 G AE L
세뇌|S EH0 N W EH0
세다|S EH0 D AE
세력|S EH0 R Y AH K
세련되다|S EH0 R Y AH N D W EH0 D AE
세례|S EH0 R Y EH0
세로|S EH0 R OW0
세륨|S EH0 R Y UW M
세르보크로아트어|S EH0 R UW0 B OW0 K HH UW0 R OW0 AE T UW0 AH
세르비아|S EH0 R UW0 B IY AE
세르비아어|S EH0 R UW0 B IY AE AH
세멘트|S EH0 M EH0 N T UW0
세면|S EH0 M Y AH N
세모|S EH0 M OW0
세모꼴|S EH0 M OW0 K OW0 L
세미나|S EH0 M IY N AE
세미콜론|S EH0 M IY K OW0 L L OW0 N
세벌식|S EH0 B AH L SH IY K
세상|S EH0 S AE NG
세상에|S EH0 S AE NG EH0
세수|S EH0 S UW
세수하다|S EH0 S UW AE D AE
세슘|S EH0 SH UW M
세습무|S EH0 S UW0 M M UW
세우다|S EH0 UW D AE
세워지다|S EH0 W AH D IY D AE
세월|S EH0 W AH L
세이셸|S EH0 IY SH EH0 L
세인트루시아|S EH0 IY N T UW0 R UW SH IY AE
세인트조지스|S EH0 IY N T UW0 D OW0 D IY S UW0
세인트존스|S EH0 IY N T UW0 D OW0 N S UW0
세일|S EH0 IY L
세입자|S EH0 IY P T AE
세제|S EH0 D EH0
세젤귀|S EH0 D EH0 L G IY
세존|S EH0 D OW0 N
세종|S EH0 D OW0 NG
세지다|S EH0 D IY D AE
세차|S EH0 T AE
세척|S EH0 T AH K
세탁|S EH0 T AE K
세탁기|S EH0 T AE K K IY
세탁소|S EH0 T AE K S OW0
세탁실|S EH0 T AE K SH IY L
세탁하다|S EH0 T AE K AE D AE
세트|S EH0 T UW0
세포|S EH0 P OW0
세포질|S EH0 P OW0 D IY L
세포학|S EH0 P OW0 AE K
섹션|S EH0 K SH AH N
섹스|S EH0 K S UW0
섹스하다|S EH0 K S UW0 AE D AE
섹시|S EH0 K SH IY
섹시하다|S EH0 K SH IY AE D AE
센터|S EH0 N T AH
센트|S EH0 N T UW0
센티미터|S EH0 N T IY M IY T AH
셀러리|S EH0 L L AH R IY
셀레나|S EH0 L L EH0 N AE
셀레늄|S EH0 L L EH0 N IY0 UW M
셀로판|S EH0 L L OW0 P AE N
셀룰로이드|S EH0 L L UW L L OW0 IY D UW0
셀카|S EH0 L K AE
셈|S EH0 M
셈틀|S EH0 M T UW0 L
셈판|S EH0 M P AE N
셋|S EH0 T
셔벗|SH AH B AH T
셔츠|SH AH T UW0
셔터|SH AH T AH
셔틀|SH AH T UW0 L
셸|SH EH0 L
소|S OW0
소고기|S OW0 G OW0 G IY
소곡|S OW0 G OW0 K
소곰|S OW0 G OW0 M
소굴|S OW0 G UW L
소금|S OW0 G UW0 M
소급|S OW0 G UW0 P
소꿉|S OW0 K UW P
소꿉동무|S OW0 K UW P T OW0 NG M UW
소꿉친구|S OW0 K UW P T IY N G UW
소나기|S OW0 N AE G IY
소나무|S OW0 N AE M UW
소나타|S OW0 N AE T AE
소낙비|S OW0 N AE K P IY
소녀|S OW0 N IY0 AH
소년|S OW0 N IY0 AH N
소년궁전|S OW0 N IY0 AH N G UW NG D AH N
소농|S OW0 N OW0 NG
소뇌|S OW0 N W EH0
소다|S OW0 D AE
소다빵|S OW0 D AE P AE NG
소도구|S OW0 D OW0 G UW
소독제|S OW0 D OW0 K T EH0
소돔사과|S OW0 D OW0 M S AE G W AE
소두|S OW0 D UW
소득|S OW0 D UW0 K
소라|S OW0 R AE
소라게|S OW0 R AE G EH0
소란스럽다|S OW0 R AE N S UW0 R AH P T AE
소련|S OW0 R Y AH N
소령|S OW0 R Y AH NG
소리|S OW0 R IY
소리꾼|S OW0 R IY K UW N
소리치다|S OW0 R IY T IY D AE
소리하다|S OW0 R IY AE D AE
소립자|S OW0 R IY P T AE
소말리아|S OW0 M AE L IY L IY IY AE
소망|S OW0 M AE NG
소멸|S OW0 M Y AH L
소멸하다|S OW0 M Y AH R AE D AE
소모전|S OW0 M OW0 D AH N
소문|S OW0 M UW N
소문자|S OW0 M UW N IY0 T AE
소믈리에|S OW0 M UW0 L IY L IY IY EH0
소박하다|S OW0 B AE K AE D AE
소반|S OW0 B AE N
소방관|S OW0 B AE NG G W AE N
소방서|S OW0 B AE NG S AH
소방수|S OW0 B AE NG S UW
소방차|S OW0 B AE NG T AE
소변|S OW0 B Y AH N
소비|S OW0 B IY
소비에트|S OW0 B IY EH0 T UW0
소비자|S OW0 B IY D AE
소비하다|S OW0 B IY AE D AE
소설|S OW0 S AH L
소속|S OW0 S OW0 K
소송|S OW0 S OW0 NG
소수|S OW0 S UW
소수민족|S OW0 S UW M IY N IY0 D OW0 K
소스|S OW0 S UW0
소슬|S OW0 S UW0 L
소슬하다|S OW0 S UW0 R AE D AE
소시지|S OW0 SH IY D IY
소식|S OW0 SH IY K
소심하다|S OW0 SH IY M AE D AE
소아|S OW0 AE
소아과|S OW0 AE K W AE
소외|S OW0 W EH0
소용|S OW0 Y OW0 NG
소용돌이|S OW0 Y OW0 NG D OW0 R IY
소원|S OW0 W AH N
소원하다|S OW0 W AH N AE D AE
소위|S OW0 IY
소유|S OW0 Y UW
소유물|S OW0 Y UW M UW L
소유자|S OW0 Y UW D AE
소유하다|S OW0 Y UW AE D AE
소음|S OW0 UW0 M
소음순|S OW0 UW0 M S UW N
소자|S OW0 D AE
소젖|S OW0 D AH T
소제|S OW0 D EH0
소제하다|S OW0 D EH0 AE D AE
소좌|S OW0 D W AE
소주|S OW0 D UW
소중하다|S OW0 D UW NG AE D AE
소중화|S OW0 D UW NG V W AE
소지품|S OW0 D IY P UW M
소지하다|S OW0 D IY AE D AE
소질|S OW0 D IY L
소집하다|S OW0 D IY P AE D AE
소총|S OW0 T OW0 NG
소치|S OW0 T IY
소파|S OW0 P AE
소포|S OW0 P OW0
소포제|S OW0 P OW0 D EH0
소품|S OW0 P UW M
소풍|S OW0 P UW NG
소프트볼|S OW0 P UW0 T UW0 B OW0 L
소프트웨어|S OW0 P UW0 T UW0 W EH0 AH
소피아|S OW0 P IY AE
소학교|S OW0 AE K K Y OW0
소형|S OW0 IY AH NG
소화|S OW0 V W AE
소화기|S OW0 V W AE G IY
소화전|S OW0 V W AE D AH N
소화하다|S OW0 V W AE AE D AE
소환|S OW0 V W AE N
속|S OW0 K
속견|S OW0 K K Y AH N
속구|S OW0 K K UW
속궁합|S OW0 K K UW NG AE P
속눈썹|S OW0 NG N UW N S AH P
속다|S OW0 K T AE
속담|S OW0 K T AE M
속도|S OW0 K T OW0
속도위반|S OW0 K T OW0 IY B AE N
속되다|S OW0 K T W EH0 D AE
속마음|S OW0 NG M AE UW0 M
속보|S OW0 K P OW0
속삭이다|S OW0 K S AE G IY D AE
속삭임|S OW0 K S AE G IY M
속성|S OW0 K S AH NG
속성음식|S OW0 K S AH NG UW0 M SH IY K
속세|S OW0 K S EH0
속셈|S OW0 K S EH0 M
속속|S OW0 K S OW0 K
속속들이|S OW0 K S OW0 K T UW0 R IY
속쓰림|S OW0 K S UW0 R IY M
속어|S OW0 G AH
속옷|S OW0 G OW0 T
속음|S OW0 G UW0 M
속이다|S OW0 G IY D AE
속임수|S OW0 G IY M S UW
속자|S OW0 K T AE
속전속결|S OW0 K T AH N S OW0 K K Y AH L
속칭|S OW0 K T IY NG
속편|S OW0 K P Y AH N
속하다|S OW0 K AE D AE
손|S OW0 N
손가락|S OW0 N K AE R AE K
손가락질|S OW0 N G AE R AE K T IY L
손가방|S OW0 N G AE B AE NG
손끝|S OW0 N K UW0 T
손녀|S OW0 N N IY0 AH
손님|S OW0 N N IY M
손님네|S OW0 N N IY M N EH0
손목|S OW0 N M OW0 K
손바닥|S OW0 N P AE D AE K
손발톱|S OW0 N B AE L T OW0 P
손뼉|S OW0 N P Y AH K
손상|S OW0 N S AE NG
손상하다|S OW0 N S AE NG AE D AE
손수건|S OW0 N S UW G AH N
손쉽다|S OW0 N SH IY P T AE
손실|S OW0 N SH IY L
손싸다|S OW0 N S AE D AE
손아귀|S OW0 N AE G IY
손자|S OW0 N IY0 D AE
손잡이|S OW0 N IY0 D AE B IY
손전등|S OW0 N IY0 T AH N D UW0 NG
손전화|S OW0 N IY0 D AH N V W AE
손주|S OW0 N IY0 D UW
손질|S OW0 N IY0 D IY L
손질하다|S OW0 N IY0 D IY R AE D AE
손톱|S OW0 N T OW0 P
손톱깎이|S OW0 N T OW0 P K AE K IY
솔|S OW0 L
솔깃하다|S OW0 L G IY T AE D AE
솔까말|S OW0 L K AE M AE L
솔나무|S OW0 L L AE M UW
솔로|S OW0 L L OW0
솔로몬|S OW0 L L OW0 M OW0 N
솔방울|S OW0 L P AE NG UW L
솔선수범|S OW0 L S AH N S UW B AH M
솔직|S OW0 L IY T IY K
솔직하다|S OW0 L IY T IY K AE D AE
솔크|S OW0 L K HH UW0
솜|S OW0 M
솜땀|S OW0 M T AE M
솜사탕|S OW0 M S AE T AE NG
솜씨|S OW0 M SH IY
솜털|S OW0 M T AH L
솟다|S OW0 T T AE
송|S OW0 NG
송곳|S OW0 NG G OW0 T
송과선|S OW0 NG G W AE S AH N
송구|S OW0 NG G UW
송금|S OW0 NG G UW0 M
송나라|S OW0 NG N AE R AE
송년회|S OW0 NG N IY0 AH N V W EH0
송도|S OW0 NG D OW0
송림|S OW0 NG N IY M
송부|S OW0 NG B UW
송사리|S OW0 NG S AE R IY
송아지|S OW0 NG AE D IY
송어|S OW0 NG AH
송이|S OW0 NG IY
송이송이|S OW0 NG IY S OW0 NG IY
송자|S OW0 NG D AE
송장|S OW0 NG D AE NG
송쿠|S OW0 NG K UW
송편|S OW0 NG P Y AH N
솥|S OW0 T
쇄도|S W EH D OW0
쇠|S W EH0
쇠가마우지|S W EH0 G AE M AE UW D IY
쇠갈밭쥐|S W EH0 G AE L B AE T T IY
쇠고기|S W EH0 G OW0 G IY
쇠기러기|S W EH0 G IY R AH G IY
쇠기름|S W EH0 G IY R UW0 M
쇠뇌|S W EH0 N W EH0
쇠뒤쥐|S W EH0 D IY D IY
쇠똥|S W EH0 T OW0 NG
쇠뜨기|S W EH0 T UW0 G IY
쇠붙이|S W EH0 B UW T IY
쇠뼈|S W EH0 P Y AH
쇠뿌러기|S W EH0 P UW R AH G IY
쇠뿔|S W EH0 P UW L
쇠오리|S W EH0 OW0 R IY
쇠퇴하다|S W EH0 T W EH0 AE D AE
쇠풀|S W EH0 P UW L
쇠하다|S W EH0 AE D AE
쇠황조롱이|S W EH0 V W AE NG D OW0 R OW0 NG IY
쇳돌|S W EH0 T T OW0 L
쇼|SH OW0
쇼라인|SH OW0 R AE IY N
쇼룸|SH OW0 R UW M
쇼비니즘|SH OW0 B IY N IY D UW0 M
쇼어라인|SH OW0 AH R AE IY N
쇼윈도|SH OW0 IY N D OW0
쇼츠|SH OW0 T UW0
쇼케이스|SH OW0 K EH0 IY S UW0
쇼크|SH OW0 K HH UW0
쇼트|SH OW0 T UW0
쇼트닝|SH OW0 T UW0 N IY NG
쇼핑|SH OW0 P IY NG
쇼핑하다|SH OW0 P IY NG AE D AE
수|S UW
수간|S UW G AE N
수감자|S UW G AE M D AE
수갑|S UW G AE P
수건|S UW G AH N
수고|S UW G OW0
수고하다|S UW G OW0 AE D AE
수괴|S UW G W EH0
수구여병|S UW G UW Y AH B Y AH NG
수권|S UW K W AH N
수급|S UW G UW0 P
수납장|S UW N AE P T AE NG
수녀|S UW N IY0 AH
수뇌상봉|S UW N W EH0 S AE NG B OW0 NG
수뇌회담|S UW N W EH0 V W EH0 D AE M
수뇨관|S UW N IY0 OW0 G W AE N
수능|S UW N UW0 NG
수다|S UW D AE
수다떨다|S UW D AE T AH L D AE
수단|S UW D AE N
수달|S UW D AE L
수도|S UW D OW0
수도권|S UW D OW0 K W AH N
수도꼭지|S UW D OW0 K OW0 K T IY
수도사|S UW D OW0 S AE
수도원|S UW D OW0 W AH N
수라|S UW R AE
수란|S UW R AE N
수량|S UW R Y AE NG
수레|S UW R EH0
수력|S UW R Y AH K
수련|S UW R Y AH N
수렴|S UW R Y AH M
수령|S UW R Y AH NG
수로|S UW R OW0
수록|S UW R OW0 K
수류탄|S UW R Y UW T AE N
수리|S UW R IY
수리남|S UW R IY N AE M
수리아|S UW R IY AE
수리하다|S UW R IY AE D AE
수많다|S UW M AE N T AE
수말|S UW M AE L
수면|S UW M Y AH N
수면제|S UW M Y AH N IY0 D EH0
수명|S UW M Y AH NG
수모|S UW M OW0
수문학|S UW M UW N AE K
수바|S UW B AE
수박|S UW B AE K
수법|S UW P AH P
수병|S UW B Y AH NG
수비|S UW B IY
수사|S UW S AE
수사관|S UW S AE G W AE N
수사학|S UW S AE AE K
수산|S UW S AE N
수산기|S UW S AE N G IY
수상|S UW S AE NG
수상자|S UW S AE NG D AE
수상하다|S UW S AE NG AE D AE
수서|S UW S AH
수석|S UW S AH K
수선|S UW S AH N
수성|S UW S AH NG
수세미|S UW S EH0 M IY
수소|S UW S OW0
수소탄|S UW S OW0 T AE N
수소폭탄|S UW S OW0 P OW0 K T AE N
수속|S UW S OW0 K
수송|S UW S OW0 NG
수송선|S UW S OW0 NG S AH N
수수|S UW S UW
수수께끼|S UW S UW K EH0 K IY
수수꽃다리|S UW S UW K OW0 T T AE R IY
수수미꾸리|S UW S UW M IY K UW R IY
수술|S UW S UW L
수습|S UW S UW0 P
수습하다|S UW S UW0 P AE D AE
수시로|S UW SH IY R OW0
수식어|S UW SH IY G AH
수신기|S UW SH IY N G IY
수신인|S UW SH IY N IY N
수심|S UW SH IY M
수십|S UW SH IY P
수양버들|S UW Y AE NG B AH D UW0 L
수어|S UW AH
수업|S UW AH P
수없이|S UW AH P SH IY
수염|S UW Y AH M
수염수리|S UW Y AH M S UW R IY
수영|S UW Y AH NG
수영복|S UW Y AH NG B OW0 K
수영장|S UW Y AH NG D AE NG
수영하다|S UW Y AH NG AE D AE
수오리|S UW OW0 R IY
수요|S UW Y OW0
수요일|S UW Y OW0 IY L
수용소|S UW Y OW0 NG S OW0
수원|S UW W AH N
수은|S UW UW0 N
수음|S UW UW0 M
수음하다|S UW UW0 M AE D AE
수의사|S UW IY S AE
수익|S UW IY K
수입|S UW IY P
수장국|S UW D AE NG G UW K
수장룡|S UW D AE NG N IY0 OW0 NG
수저|S UW D AH
수적|S UW T AH K
수전|S UW D AH N
수정|S UW D AH NG
수정란|S UW D AH NG N AE N
수정안|S UW D AH NG AE N
수정주의|S UW D AH NG D UW IY
수정체|S UW D AH NG T EH0
수제자|S UW D EH0 D AE
수조|S UW D OW0
수족관|S UW D OW0 K K W AE N
수준|S UW D UW N
수줍다|S UW D UW P T AE
수증기|S UW D UW0 NG G IY
수질|S UW D IY L
수집|S UW D IY P
수집하다|S UW D IY P AE D AE
수첩|S UW T AH P
수청목|S UW T AH NG M OW0 K
수축|S UW T UW K
수출|S UW T UW L
수출품|S UW T UW L P UW M
수취인|S UW T IY IY N
수치|S UW T IY
수칙|S UW T IY K
수컷|S UW K AH T
수코양이|S UW K OW0 Y AE NG IY
수탉|S UW T AE K
수통|S UW T OW0 NG
수판|S UW P AE N
수평|S UW P Y AH NG
수평선|S UW P Y AH NG S AH N
수포자|S UW P OW0 D AE
수표|S UW P Y OW0
수풀|S UW P UW L
수풍금|S UW P UW NG G UW0 M
수프|S UW P UW0
수피|S UW P IY
수필|S UW P IY L
수하물|S UW AE M UW L
수학|S UW AE K
수학자|S UW AE K T AE
수호|S UW V OW0
수호신|S UW V OW0 SH IY N
수화|S UW V W AE
수화기|S UW V W AE G IY
수확|S UW V W AE K
수효|S UW IY OW0
숙|S UW K
숙녀|S UW NG N IY0 AH
숙답|S UW K T AE P
숙련자|S UW NG N IY0 AH N IY0 D AE
숙명|S UW NG M Y AH NG
숙명론|S UW NG M Y AH NG N OW0 N
숙박|S UW K P AE K
숙박하다|S UW K P AE K AE D AE
숙소|S UW K S OW0
숙식|S UW K SH IY K
숙어|S UW G AH
숙이다|S UW G IY D AE
숙제|S UW K T EH0
숙제하다|S UW K T EH0 AE D AE
숙주나물|S UW K T UW N AE M UW L
숙청|S UW K T AH NG
숙취|S UW K T IY
순간|S UW N G AE N
순결|S UW N G Y AH L
순교|S UW N G Y OW0
순교자|S UW N G Y OW0 D AE
순도|S UW N D OW0
순두부|S UW N D UW B UW
순례|S UW L IY L IY EH0
순무|S UW N M UW
순박|S UW N B AE K
순박하다|S UW N B AE K AE D AE
순서|S UW N S AH
순수|S UW N S UW
순수하다|S UW N S UW AE D AE
순양함|S UW N IY0 AE NG AE M
순우리말|S UW N UW R IY M AE L
순위|S UW N IY
순조|S UW N IY0 D OW0
순진하다|S UW N IY0 D IY N AE D AE
순천|S UW N IY0 T AH N
순하다|S UW N AE D AE
순회심판소|S UW N V W EH0 SH IY M P AE N S OW0
순흥|S UW N HH UW0 NG
숟가락|S UW T K AE R AE K
술|S UW L
술기운|S UW L K IY UW N
술독|S UW L D OW0 K
술라쥐|S UW L L AE D IY
술맛|S UW L M AE T
술밑|S UW L M IY T
술병|S UW L P Y AH NG
술어|S UW R AH
술집|S UW L IY T IY P
술탄|S UW L T AE N
숨|S UW M
숨구멍|S UW M K UW M AH NG
숨기다|S UW M G IY D AE
숨다|S UW M T AE
숨바꼭질|S UW M B AE K OW0 K T IY L
숨쉬다|S UW M SH IY D AE
숨지다|S UW M D IY D AE
숨통|S UW M T OW0 NG
숫|S UW T
숫자|S UW T T AE
숫처녀|S UW T T AH N IY0 AH
숭|S UW NG
숭경|S UW NG G Y AH NG
숭경하다|S UW NG G Y AH NG AE D AE
숭고|S UW NG G OW0
숭늉|S UW NG N IY0 UW NG
숭어|S UW NG AH
숯|S UW T
숱|S UW T
숲|S UW P
숲들쥐|S UW P T UW0 L IY D IY
숲비둘기|S UW P P IY D UW L G IY
숴|S W AH
쉐|S W EH0
쉘|S W EH0 L
쉬|SH IY
쉬다|SH IY D AE
쉬리|SH IY R IY
쉰|SH IY N
쉴드치다|SH IY L D UW0 T IY D AE
쉼|SH IY M
쉽게|SH IY P K EH0
쉽다|SH IY P T AE
쉽사리|SH IY P S AE R IY
슈|SH UW
슈니첼|SH UW N IY T EH0 L
슈인|SH UW IY N
슈크림|SH UW K HH UW0 R IY M
슈트|SH UW T UW0
슈트케이스|SH UW T UW0 K EH0 IY S UW0
슈퍼|SH UW P AH
슈퍼마케트|SH UW P AH M AE K EH0 T UW0
슈퍼마켓|SH UW P AH M AE K EH0 T
슈퍼모델|SH UW P AH M OW0 D EH0 L
슈퍼스타|SH UW P AH S UW0 T AE
슛|SH UW T
스|S UW0
스께또|S UW0 K EH0 T OW0
스노보드|S UW0 N OW0 B OW0 D UW0
스님|S UW0 N IY M
스도쿠|S UW0 D OW0 K UW
스드메|S UW0 D UW0 M EH0
스라소니|S UW0 R AE S OW0 N IY
스르르|S UW0 R UW0 R UW0
스리랑카|S UW0 R IY R AE NG K AE
스마트폰|S UW0 M AE T UW0 P OW0 N
스며들다|S UW0 M Y AH D UW0 L D AE
스모|S UW0 M OW0
스모그|S UW0 M OW0 G UW0
스몰렌스크|S UW0 M OW0 L L EH0 N S UW0 K HH UW0
스무|S UW0 M UW
스무날|S UW0 M UW N AE L
스물|S UW0 M UW L
스미다|S UW0 M IY D AE
스빠게띠|S UW0 P AE G EH0 T IY
스스로|S UW0 S UW0 R OW0
스스이|S UW0 S UW0 IY
스승|S UW0 S UW0 NG
스시|S UW0 SH IY
스시국|S UW0 SH IY G UW K
스시녀|S UW0 SH IY N IY0 AH
스압|S UW0 AE P
스와질란드|S UW0 W AE D IY L L AE N D UW0
스웨덴|S UW0 W EH0 D EH0 N
스웨덴어|S UW0 W EH0 D EH0 N AH
스웨리예|S UW0 W EH0 R IY Y EH0
스웨터|S UW0 W EH0 T AH
스위스|S UW0 IY S UW0
스위치|S UW0 IY T IY
스치다|S UW0 T IY D AE
스카|S UW0 K AE
스카이|S UW0 K AE IY
스카프|S UW0 K AE P UW0
스칸듐|S UW0 K AE N D Y UW M
스칸디나비아|S UW0 K AE N D IY N AE B IY AE
스커트|S UW0 K AH T UW0
스컹크|S UW0 K AH NG K HH UW0
스케이트|S UW0 K EH0 IY T UW0
스케이트보드|S UW0 K EH0 IY T UW0 B OW0 D UW0
스케줄|S UW0 K EH0 D UW L
스케트|S UW0 K EH0 T UW0
스코어보드|S UW0 K OW0 AH B OW0 D UW0
스코페|S UW0 K OW0 P EH0
스쿠버다이빙|S UW0 K UW B AH D AE IY B IY NG
스쿠터|S UW0 K UW T AH
스쿼시|S UW0 K W AH SH IY
스크롤링|S UW0 K HH UW0 R OW0 L IY L IY IY NG
스크린|S UW0 K HH UW0 R IY N
스타|S UW0 T AE
스타디오|S UW0 T AE D IY OW0
스타디움|S UW0 T AE D IY UW M
스타벅스|S UW0 T AE B AH K S UW0
스타일|S UW0 T AE IY L
스테로이드|S UW0 T EH0 R OW0 IY D UW0
스테아르산|S UW0 T EH0 AE R UW0 S AE N
스테아린|S UW0 T EH0 AE R IY N
스테이크|S UW0 T EH0 IY K HH UW0
스테이플러|S UW0 T EH0 IY P UW0 L L AH
스테파노|S UW0 T EH0 P AE N OW0
스텝|S UW0 T EH0 P
스토리|S UW0 T OW0 R IY
스토브|S UW0 T OW0 B UW0
스토커|S UW0 T OW0 K AH
스톡홀름|S UW0 T OW0 K OW0 L L UW0 M
스톤헨지|S UW0 T OW0 N EH0 N IY0 D IY
스튜|S UW0 T Y UW
스튜디오|S UW0 T Y UW D IY OW0
스튜어디스|S UW0 T Y UW AH D IY S UW0
스트레스|S UW0 T UW0 R EH0 S UW0
스트레이트|S UW0 T UW0 R EH0 IY T UW0
스트레칭|S UW0 T UW0 R EH0 T IY NG
스트로|S UW0 T UW0 R OW0
스트론튬|S UW0 T UW0 R OW0 N T Y UW M
스트리크닌|S UW0 T UW0 R IY K HH UW0 N IY N
스티커|S UW0 T IY K AH
스틱|S UW0 T IY K
스파게티|S UW0 P AE G EH0 T IY
스파이|S UW0 P AE IY
스파이웨어|S UW0 P AE IY W EH0 AH
스펀지|S UW0 P AH N IY0 D IY
스페이드|S UW0 P EH0 IY D UW0
스페인|S UW0 P EH0 IY N
스페인어|S UW0 P EH0 IY N AH
스펙트럼|S UW0 P EH0 K T UW0 R AH M
스포일러|S UW0 P OW0 IY L L AH
스포츠|S UW0 P OW0 T UW0
스폰서|S UW0 P OW0 N S AH
스푸트니크|S UW0 P UW T UW0 N IY K HH UW0
스푼|S UW0 P UW N
스풀|S UW0 P UW L
